 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 05.02.13 12:00 0.01 0.14 0.06 0.35 0.01 0.53 0.00 0.08 0.02
 -------- 13:00 0.01 0.11 0.06 0.24 0.01 0.51 0.00 0.03 0.00
 -------- 14:00 0.00 0.13 0.05 0.24 0.01 0.52 0.00 0.03 0.00
 -------- 15:00 0.01 0.12 0.08 0.21 0.02 0.51 0.00 0.04 0.01
 -------- 16:00 0.00 0.12 0.08 0.20 0.01 0.51 0.00 0.03 0.01
 05.02.13 17:00 0.00 0.12 0.06 0.24 0.02 0.51 0.00 0.05 0.01
 -------- 18:00 0.01 0.17 0.13 0.37 0.02 0.53 0.00 0.04 0.01
 -------- 19:00 0.01 0.15 0.09 0.33 0.01 0.52 0.00 0.03 0.01
 -------- 20:00 0.01 0.13 0.04 0.26 0.01 0.52 0.00 0.05 0.01
 -------- 21:00 0.01 0.13 0.08 0.20 0.02 0.52 0.00 0.08 0.00
 05.02.13 22:00 0.01 0.12 0.05 0.23 0.02 0.51 0.00 0.05 0.01
 -------- 23:00 0.01 0.14 0.04 0.26 0.01 0.53 0.00 0.02 0.01
 -------- 00:00 0.01 0.15 0.06 0.26 0.01 0.53 0.00 0.04 0.01
 -------- 01:00 0.01 0.12 0.02 0.20 0.02 0.52 0.00 0.02 0.00
 -------- 02:00 0.00 0.11 0.05 0.13 0.02 0.52 0.00 0.06 0.01
 06.02.13 03:00 0.00 0.09 0.05 0.12 0.02 0.51 0.00 0.01 0.01
 -------- 04:00 0.00 0.10 0.03 0.12 0.02 0.51 0.00 0.05 0.01
 -------- 05:00 0.00 0.11 0.04 0.17 0.02 0.52 0.00 0.05 ----
 -------- 06:00 0.01 0.13 0.06 0.21 0.01 0.52 0.00 0.07 0.01
 -------- 07:00 0.00 0.12 0.03 0.22 0.01 0.53 0.00 0.02 0.00
 06.02.13 08:00 0.00 0.13 0.08 0.28 0.02 0.53 0.00 0.04 0.00
 -------- 09:00 0.00 0.12 0.07 0.28 0.01 0.52 0.00 0.02 0.01
 -------- 10:00 0.00 0.10 0.10 0.22 0.00 0.52 0.00 0.04 0.01
 -------- 11:00 0.00 0.12 0.09 0.24 0.03 0.52 0.00 0.07 0.01
 -------- 12:00 0.01 0.12 0.03 0.24 0.02 0.52 0.00 0.03 ----
 06.02.13 13:00 0.01 0.10 0.06 0.23 0.03 0.50 0.00 0.07 0.01
 -------- 14:00 0.01 0.13 0.08 0.28 0.02 0.52 0.00 0.01 0.01
 -------- 15:00 0.01 0.15 0.16 0.38 0.01 0.54 0.00 0.06 0.01
 -------- 16:00 0.01 0.15 0.22 0.42 0.02 0.54 0.00 0.06 0.01
 -------- 17:00 0.01 0.12 0.11 0.27 0.02 0.51 0.00 0.05 0.01
 06.02.13 18:00 0.01 0.12 0.08 0.26 0.02 0.52 0.00 0.04 0.01
 -------- 19:00 0.01 0.11 0.05 0.21 0.01 0.51 0.00 0.05 0.00
 -------- 20:00 0.01 0.11 0.05 0.20 0.01 0.52 0.00 0.06 0.01
 -------- 21:00 0.01 0.13 0.07 0.20 0.01 0.53 0.00 0.06 0.01
 -------- 22:00 0.01 0.11 0.03 0.19 0.01 0.53 0.00 0.05 0.01
 06.02.13 23:00 0.01 0.12 0.04 0.21 0.02 0.52 0.00 0.04 0.00
 -------- 00:00 0.01 0.12 0.07 0.23 0.02 0.52 0.00 0.01 0.02
 -------- 01:00 0.01 0.11 0.04 0.22 ---- 0.51 0.00 0.03 0.01
 -------- 02:00 0.01 0.13 0.05 0.25 0.01 0.52 0.00 0.02 0.01
 -------- 03:00 0.01 0.11 0.05 0.22 0.00 0.51 0.00 0.05 0.01
 07.02.13 04:00 0.01 0.10 0.07 0.20 0.01 0.50 0.00 0.03 0.01
 -------- 05:00 0.01 0.11 0.08 0.19 ---- 0.50 0.00 0.03 0.01
 -------- 06:00 0.01 0.10 0.05 0.18 0.02 0.49 0.00 0.03 0.01
 -------- 07:00 0.01 0.12 0.07 0.23 0.02 0.51 0.00 0.04 0.01
 -------- 08:00 0.01 0.13 0.10 0.24 0.02 0.51 0.00 0.03 0.01
 07.02.13 09:00 0.01 0.16 0.08 0.29 0.01 0.53 0.00 0.09 0.01
 -------- 10:00 0.01 0.14 0.11 0.30 0.03 0.53 0.00 0.06 0.01
 -------- 11:00 0.01 0.14 0.10 0.31 0.01 0.52 0.00 0.03 0.01
