 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 29.04.13 12:00 0.01 0.14 0.10 0.21 0.00 0.47 0.00 0.07 0.01
 -------- 13:00 0.01 0.15 0.07 0.17 0.02 0.47 0.00 0.03 0.01
 -------- 14:00 0.01 0.12 0.01 0.17 0.00 0.46 0.00 0.03 0.01
 -------- 15:00 0.00 0.10 ---- 0.22 0.01 0.47 0.00 0.05 0.01
 -------- 16:00 0.00 0.07 ---- 0.20 0.01 0.48 0.00 0.07 0.00
 29.04.13 17:00 0.00 0.06 0.00 0.16 0.02 0.47 0.00 0.08 0.01
 -------- 18:00 0.00 0.08 0.02 0.21 0.02 0.48 0.00 0.07 0.01
 -------- 19:00 0.00 0.11 0.03 0.25 0.01 0.48 0.00 0.04 0.01
 -------- 20:00 0.01 0.13 0.03 0.32 0.01 0.48 0.00 0.06 0.01
 -------- 21:00 0.01 0.19 0.04 0.41 0.01 0.50 0.00 0.06 0.01
 29.04.13 22:00 0.01 0.23 0.12 0.48 0.00 0.51 0.00 0.04 0.01
 -------- 23:00 0.01 0.22 0.09 0.41 0.02 0.51 0.00 0.06 0.01
 -------- 00:00 0.01 0.27 0.14 0.55 0.02 0.52 0.00 0.04 0.01
 -------- 01:00 0.01 0.26 0.12 0.58 0.02 0.52 0.00 0.03 0.01
 -------- 02:00 0.01 0.25 0.11 0.51 0.01 0.52 0.00 0.05 0.01
 30.04.13 03:00 0.01 0.22 0.07 0.44 0.02 0.50 0.00 0.06 0.01
 -------- 04:00 0.01 0.19 0.06 0.33 0.02 0.49 0.00 0.02 0.01
 -------- 05:00 0.01 0.17 0.06 0.33 0.01 0.48 0.00 0.05 0.01
 -------- 06:00 0.01 0.16 0.03 0.30 0.00 0.48 0.00 0.05 0.01
 -------- 07:00 0.00 0.12 0.04 0.21 0.01 0.47 0.00 0.04 0.01
 30.04.13 08:00 0.01 0.12 0.02 0.20 0.00 0.47 0.00 0.05 0.01
 -------- 09:00 0.00 0.12 0.04 0.25 0.02 0.47 0.00 0.06 0.01
 -------- 10:00 0.00 0.13 0.05 0.27 0.01 0.48 0.00 0.05 0.01
 -------- 11:00 0.00 0.12 0.02 0.22 0.01 0.47 0.00 0.06 0.01
 -------- 12:00 0.00 0.12 0.03 0.22 0.00 0.48 0.00 0.05 0.01
 30.04.13 13:00 0.01 0.16 ---- 0.30 0.03 0.49 0.00 0.04 0.01
 -------- 14:00 0.00 0.19 0.04 0.36 0.01 0.51 0.00 0.08 0.01
 -------- 15:00 0.00 0.17 0.04 0.32 0.01 0.49 0.00 0.06 0.01
 -------- 16:00 0.00 0.17 0.02 0.26 0.01 0.50 0.00 0.04 0.01
 -------- 17:00 0.00 0.17 0.03 0.22 0.01 0.50 0.00 0.06 0.01
 30.04.13 18:00 0.00 0.10 0.01 0.15 0.01 0.49 0.00 0.04 0.01
 -------- 19:00 0.00 0.10 ---- 0.17 0.02 0.49 0.00 0.07 0.01
 -------- 20:00 0.00 0.14 0.03 0.26 0.02 0.50 0.00 0.02 0.01
 -------- 21:00 0.01 0.21 ---- 0.40 0.00 0.52 0.00 0.04 0.01
 -------- 22:00 0.01 0.22 0.04 0.49 0.01 0.52 0.00 0.03 0.01
 30.04.13 23:00 0.01 0.22 0.01 0.44 0.02 0.51 0.00 0.04 0.00
 -------- 00:00 0.01 0.18 0.02 0.33 0.01 0.50 0.00 0.03 0.01
 -------- 01:00 0.01 0.16 0.03 0.28 0.00 0.50 0.00 0.03 0.01
 -------- 02:00 0.01 0.14 0.01 0.21 0.02 0.50 0.00 0.02 0.01
 -------- 03:00 0.01 0.14 0.03 0.21 0.02 0.49 0.00 0.05 0.01
 01.05.13 04:00 0.01 0.12 0.04 0.16 0.01 0.47 0.00 0.06 0.01
 -------- 05:00 0.01 0.15 0.03 0.22 0.01 0.49 0.00 0.04 0.01
 -------- 06:00 0.01 0.17 0.10 0.28 0.01 0.49 0.00 0.04 0.01
 -------- 07:00 0.01 0.17 0.04 0.25 0.01 0.48 0.00 0.04 0.00
 -------- 08:00 0.01 0.17 0.05 0.20 0.02 0.49 0.00 0.06 0.01
 01.05.13 09:00 0.00 0.13 0.01 0.15 0.01 0.47 0.00 0.02 0.01
 -------- 10:00 0.00 0.13 0.02 0.16 0.00 0.48 0.00 0.07 0.01
 -------- 11:00 0.00 0.09 0.04 0.11 0.02 0.47 0.00 0.07 0.01
