 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 17.09.12 12:00 0.01 0.24 0.20 0.01 0.50 0.00 0.06
 -------- 13:00 0.01 0.20 0.14 0.01 0.50 0.00 0.05
 -------- 14:00 0.01 0.11 0.17 0.01 0.50 0.00 0.04
 -------- 15:00 0.01 0.10 0.21 0.02 0.50 0.00 0.05
 -------- 16:00 0.01 0.09 0.20 0.02 0.50 0.00 0.04
 17.09.12 17:00 0.00 0.06 0.25 0.02 0.50 0.00 0.05
 -------- 18:00 0.01 0.11 0.23 0.02 0.50 0.00 0.04
 -------- 19:00 0.01 0.32 0.27 0.02 0.50 0.00 0.05
 -------- 20:00 0.01 0.46 0.43 0.01 0.50 0.00 0.03
 -------- 21:00 0.02 0.54 0.54 0.01 0.50 0.01 0.03
 17.09.12 22:00 0.02 0.63 0.56 0.02 0.50 0.01 0.04
 -------- 23:00 0.02 0.52 0.59 0.02 0.50 0.01 0.05
 -------- 00:00 0.02 0.50 0.57 0.02 0.50 0.01 0.04
 -------- 01:00 0.02 0.44 0.49 0.01 0.50 0.01 0.06
 -------- 02:00 0.02 0.39 0.44 0.02 0.50 0.01 0.03
 18.09.12 03:00 0.02 0.32 0.41 0.02 0.50 0.00 0.06
 -------- 04:00 0.01 0.27 0.34 0.01 0.50 0.00 0.04
 -------- 05:00 0.01 0.29 0.32 0.01 0.50 0.00 0.03
 -------- 06:00 0.01 0.21 0.30 0.02 0.50 0.00 0.04
 -------- 07:00 0.01 0.29 0.32 0.01 0.50 0.00 0.04
 18.09.12 08:00 0.01 0.30 0.33 0.02 0.50 0.00 0.03
 -------- 09:00 0.01 0.22 0.34 0.02 0.50 0.00 0.05
 -------- 10:00 0.01 0.23 0.34 0.01 0.50 0.00 0.06
 -------- 11:00 0.01 0.20 0.36 0.02 0.50 0.00 0.05
 -------- 12:00 0.01 0.21 0.35 0.02 0.50 0.00 0.05
 18.09.12 13:00 0.01 0.30 0.24 0.01 0.50 0.00 0.04
 -------- 14:00 0.01 0.09 0.19 0.01 0.50 0.00 0.04
 -------- 15:00 0.01 0.09 0.23 0.02 0.50 0.00 0.05
 -------- 16:00 0.01 0.10 0.20 0.02 0.50 0.00 0.05
 -------- 17:00 0.01 0.16 0.26 0.01 0.50 0.00 0.04
 18.09.12 18:00 0.01 0.17 0.28 0.01 0.50 0.00 0.05
 -------- 19:00 0.00 0.16 0.28 0.01 0.50 0.00 0.06
 -------- 20:00 0.01 0.23 0.39 0.01 0.50 0.00 0.03
 -------- 21:00 0.01 0.25 0.38 0.02 0.50 0.00 0.06
 -------- 22:00 0.01 0.25 0.39 0.02 0.50 0.00 0.03
 18.09.12 23:00 0.01 0.30 0.36 0.01 0.50 0.00 0.04
 -------- 00:00 0.01 0.33 0.39 0.01 0.50 0.00 0.05
 -------- 01:00 0.02 0.35 0.42 0.01 0.50 0.00 0.03
 -------- 02:00 0.01 0.32 0.41 0.02 0.50 0.00 0.04
 -------- 03:00 0.00 0.26 0.37 0.01 0.50 0.00 0.03
 19.09.12 04:00 0.01 0.24 0.38 0.01 0.50 0.00 0.04
 -------- 05:00 0.01 0.30 0.37 0.02 0.50 0.00 0.04
 -------- 06:00 0.02 0.27 0.39 0.02 0.50 0.00 0.06
 -------- 07:00 0.01 0.30 0.37 0.02 0.50 0.00 0.03
 -------- 08:00 0.01 0.32 0.37 0.02 0.50 0.00 0.03
 19.09.12 09:00 0.01 0.26 0.35 0.01 0.50 0.00 0.04
 -------- 10:00 0.01 0.22 0.36 0.02 0.50 0.00 0.05
 -------- 11:00 0.02 0.13 0.33 0.02 0.50 0.00 0.04
