 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 01.12.12 23:00 0.00 0.03 0.13 0.01 0.55 0.00 0.05 0.01
 -------- 00:00 0.01 0.03 0.12 0.01 0.55 0.00 0.02 0.01
 -------- 01:00 0.01 0.05 0.14 0.01 0.54 0.00 0.01 0.01
 -------- 02:00 0.00 0.02 0.12 0.01 0.55 0.00 0.02 0.00
 -------- 03:00 0.00 ---- 0.11 0.01 0.53 0.00 0.03 0.01
 02.12.12 04:00 0.00 0.01 0.12 0.02 0.54 0.00 0.03 0.00
 -------- 05:00 0.00 ---- 0.09 0.01 0.54 0.00 0.03 0.00
 -------- 06:00 0.00 0.01 0.07 0.01 0.55 0.00 0.04 0.01
 -------- 07:00 0.00 ---- 0.07 0.01 0.55 0.00 0.03 0.00
 -------- 08:00 0.00 ---- 0.10 0.02 0.53 0.00 0.03 0.00
 02.12.12 09:00 0.00 ---- 0.12 0.01 0.53 0.00 0.06 0.00
 -------- 10:00 0.00 ---- 0.12 0.01 0.55 0.00 0.04 0.00
 -------- 11:00 0.00 ---- 0.12 0.01 0.54 0.00 0.06 0.00
 -------- 12:00 0.00 ---- 0.11 0.01 0.53 0.00 0.03 0.00
 -------- 13:00 0.00 ---- 0.13 0.02 0.54 0.00 0.04 0.01
 02.12.12 14:00 0.00 0.05 0.12 0.02 0.53 0.00 0.06 ----
 -------- 15:00 0.00 0.01 0.16 0.02 0.53 0.00 0.05 0.00
 -------- 16:00 0.00 0.02 0.16 0.01 0.53 0.00 0.04 0.00
 -------- 17:00 0.00 0.01 0.18 0.02 0.53 0.00 0.03 0.01
 -------- 18:00 0.00 0.01 0.19 0.01 0.54 0.00 0.05 0.01
 02.12.12 19:00 0.00 0.02 0.21 0.01 0.54 0.00 0.04 0.00
 -------- 20:00 0.00 0.04 0.20 0.02 0.53 0.00 0.02 0.01
 -------- 21:00 0.00 0.01 0.21 0.02 0.53 0.00 0.02 0.00
 -------- 22:00 0.00 0.03 0.23 0.02 0.53 0.00 0.04 0.01
 -------- 23:00 0.00 0.01 0.19 0.01 0.52 0.00 0.02 0.00
 03.12.12 00:00 0.00 ---- 0.19 0.02 0.52 0.00 0.05 0.00
 -------- 01:00 0.00 0.03 0.19 0.01 0.52 0.00 0.06 0.01
 -------- 02:00 0.00 ---- 0.21 0.01 0.53 0.00 0.03 0.00
 -------- 03:00 0.00 0.02 0.18 0.01 0.53 0.00 0.03 0.00
 -------- 04:00 0.00 0.04 0.26 0.01 0.53 0.00 0.04 0.01
 03.12.12 05:00 0.00 0.02 0.26 0.01 0.53 0.00 0.04 0.00
 -------- 06:00 0.00 0.06 0.27 0.01 0.54 0.00 0.02 0.01
 -------- 07:00 0.00 0.04 0.27 0.01 0.53 0.00 0.05 0.00
 -------- 08:00 0.02 0.07 0.29 0.01 0.51 0.00 0.04 0.02
 -------- 09:00 0.07 0.13 0.30 0.02 0.47 0.00 0.02 0.00
 03.12.12 10:00 0.05 0.06 0.30 0.01 0.49 0.00 0.05 0.01
 -------- 11:00 0.05 0.13 0.30 0.02 0.50 0.00 0.04 0.00
 -------- 12:00 0.02 0.08 0.28 0.01 0.53 0.00 0.02 0.01
 -------- 13:00 0.07 0.06 0.29 0.02 0.50 0.00 0.06 0.01
 -------- 14:00 0.08 0.14 0.30 0.02 0.46 0.00 0.05 0.01
 03.12.12 15:00 0.07 0.07 0.30 0.01 0.46 0.00 0.04 0.01
 -------- 16:00 0.01 0.10 0.29 0.01 0.52 0.00 0.02 0.00
 -------- 17:00 0.00 0.08 0.28 0.02 0.54 0.00 0.05 0.01
 -------- 18:00 0.00 0.10 0.29 0.01 0.54 0.00 0.03 0.00
 -------- 19:00 0.00 0.17 0.26 0.01 0.53 0.00 0.03 0.01
 03.12.12 20:00 0.00 0.10 0.24 0.01 0.53 0.00 0.05 0.00
 -------- 21:00 0.01 0.15 0.23 0.02 0.52 0.00 0.03 0.01
 -------- 22:00 0.01 0.17 0.19 0.02 0.51 0.00 0.04 0.01
