 Date Time CO OZ NO2 CHX NO
 22.11.12 12:00 0.10 0.02 0.20 1.58 0.07
 -------- 13:00 0.10 0.03 0.18 1.58 0.05
 -------- 14:00 0.08 0.09 0.17 1.50 0.02
 -------- 15:00 0.07 0.11 0.15 1.47 0.02
 -------- 16:00 0.07 0.08 0.17 1.48 0.02
 22.11.12 17:00 0.08 0.09 0.18 1.47 0.02
 -------- 18:00 0.11 0.08 0.20 1.50 0.02
 -------- 19:00 0.09 0.07 0.20 1.47 0.02
 -------- 20:00 0.08 0.09 0.17 1.48 0.02
 -------- 21:00 0.08 0.09 0.17 1.48 0.02
 22.11.12 22:00 0.07 0.09 0.16 1.47 0.01
 -------- 23:00 0.06 0.10 0.15 1.47 0.01
 -------- 00:00 0.06 0.10 0.14 1.47 0.01
 -------- 01:00 0.05 0.12 0.11 1.49 0.01
 -------- 02:00 0.04 0.16 0.10 1.45 0.00
 23.11.12 03:00 0.04 0.16 0.10 1.46 0.00
 -------- 04:00 0.04 0.14 0.09 1.44 0.01
 -------- 05:00 0.04 0.14 0.08 1.44 0.01
 -------- 06:00 0.05 0.11 0.11 1.46 0.01
 -------- 07:00 0.07 0.08 0.13 1.46 0.01
 23.11.12 08:00 0.07 0.08 0.13 1.47 0.02
 -------- 09:00 0.07 0.07 0.13 1.47 0.02
 -------- 10:00 0.07 0.06 0.14 1.52 0.03
 -------- 11:00 0.07 0.08 0.10 1.46 0.03
 -------- 12:00 0.07 0.11 0.11 1.47 0.02
 23.11.12 13:00 0.07 0.10 0.12 1.48 0.03
 -------- 14:00 0.07 0.08 0.13 1.49 0.03
 -------- 15:00 0.09 0.06 0.14 1.50 0.03
 -------- 16:00 0.09 0.03 0.18 1.53 0.05
 -------- 17:00 0.09 0.01 0.19 1.56 0.05
 23.11.12 18:00 0.10 0.01 0.20 1.74 0.05
 -------- 19:00 0.11 0.02 0.17 1.57 0.05
 -------- 20:00 0.11 0.01 0.15 1.54 0.04
 -------- 21:00 0.11 0.01 0.18 1.55 0.04
 -------- 22:00 0.10 0.01 0.18 1.55 0.04
 23.11.12 23:00 0.09 0.01 0.16 1.54 0.04
 -------- 00:00 0.08 0.01 0.14 1.52 0.03
 -------- 01:00 0.07 0.03 0.13 1.49 0.02
 -------- 02:00 0.06 0.05 0.11 1.48 0.01
 -------- 03:00 0.05 0.06 0.10 1.47 0.01
 24.11.12 04:00 0.04 0.04 0.10 1.48 0.02
 -------- 05:00 0.04 0.04 0.10 1.48 0.01
 -------- 06:00 0.04 0.05 0.08 1.49 0.02
 -------- 07:00 0.05 0.03 0.10 1.51 0.03
 -------- 08:00 0.07 0.01 0.11 1.54 0.05
 24.11.12 09:00 0.08 0.02 0.13 1.55 0.05
 -------- 10:00 0.07 0.02 0.11 1.53 0.04
 -------- 11:00 0.06 0.02 0.10 1.54 0.04
