 Date Time CO OZ NO2 CHX NO
 10.10.12 00:00 0.06 0.06 0.13 1.49 0.00
 -------- 01:00 0.05 0.06 0.12 1.45 0.00
 -------- 02:00 0.04 0.08 0.10 1.40 ----
 -------- 03:00 0.04 0.08 0.09 1.40 ----
 -------- 04:00 0.04 0.07 0.10 1.46 ----
 10.10.12 05:00 0.05 0.05 0.11 1.51 0.01
 -------- 06:00 0.05 0.05 0.12 1.50 0.01
 -------- 07:00 0.06 0.04 0.12 1.45 0.01
 -------- 08:00 0.09 0.03 0.16 1.50 0.03
 -------- 09:00 0.08 0.02 0.15 1.50 0.03
 10.10.12 10:00 0.09 0.01 0.14 1.47 0.03
 -------- 11:00 0.10 0.01 0.11 1.51 0.04
 -------- 12:00 0.09 0.03 0.10 1.46 0.05
 -------- 13:00 0.06 0.07 0.08 1.43 0.02
 -------- 14:00 0.07 0.04 0.12 1.46 0.02
 10.10.12 15:00 0.08 0.05 0.12 1.44 0.02
 -------- 16:00 0.08 0.05 0.12 1.44 0.02
 -------- 17:00 0.08 0.05 0.14 1.45 0.02
 -------- 18:00 0.08 0.03 0.14 1.44 0.01
 -------- 19:00 0.10 0.05 0.12 1.47 0.01
 10.10.12 20:00 0.06 0.11 0.10 1.43 0.00
 -------- 21:00 0.06 0.12 0.10 1.42 0.00
 -------- 22:00 0.07 0.10 0.11 1.43 0.00
 -------- 23:00 0.06 0.08 0.10 1.44 0.00
 -------- 00:00 0.06 0.09 0.08 1.41 0.01
 11.10.12 01:00 0.06 0.11 0.06 1.40 ----
 -------- 02:00 0.04 0.11 0.05 1.40 ----
 -------- 03:00 0.04 0.10 0.04 1.39 ----
 -------- 04:00 0.04 0.10 0.04 1.39 ----
 -------- 05:00 0.04 0.08 0.05 1.39 ----
 11.10.12 06:00 0.05 0.05 0.07 1.40 0.01
 -------- 07:00 0.07 0.03 0.09 1.42 0.01
 -------- 08:00 0.07 0.02 0.09 1.42 0.02
 -------- 09:00 0.07 0.03 0.10 1.42 0.02
 -------- 10:00 0.06 0.05 0.07 1.41 0.01
 11.10.12 11:00 0.06 0.06 0.07 1.41 0.01
 -------- 12:00 0.06 0.06 0.07 1.42 0.01
 -------- 13:00 0.06 0.07 0.06 1.41 0.01
 -------- 14:00 0.06 0.07 0.06 1.40 0.01
 -------- 15:00 0.06 0.06 0.06 1.41 0.02
 11.10.12 16:00 0.06 0.07 0.08 1.41 0.01
 -------- 17:00 0.07 0.05 0.11 1.42 0.02
 -------- 18:00 0.09 0.03 0.12 1.45 0.03
 -------- 19:00 0.10 0.01 0.14 1.47 0.03
 -------- 20:00 0.11 0.01 0.14 1.48 0.05
 11.10.12 21:00 0.13 ---- 0.15 1.55 0.10
 -------- 22:00 0.10 ---- 0.13 1.48 0.05
 -------- 23:00 0.11 ---- 0.12 1.50 0.09
