 Date Time CO OZ NO2 CHX NO
 03.04.13 12:00 0.08 0.25 0.10 1.53 0.05
 -------- 13:00 0.08 0.24 0.11 1.54 0.05
 -------- 14:00 0.07 0.28 0.09 1.51 0.05
 -------- 15:00 0.07 0.29 0.10 1.52 0.05
 -------- 16:00 0.08 0.27 0.12 1.50 0.05
 03.04.13 17:00 0.08 0.31 0.11 1.50 0.04
 -------- 18:00 0.09 0.31 0.13 1.49 0.04
 -------- 19:00 0.09 0.24 0.20 1.50 0.04
 -------- 20:00 0.09 0.29 0.17 1.49 0.03
 -------- 21:00 0.09 0.26 0.19 1.49 0.03
 03.04.13 22:00 0.10 0.19 0.22 1.51 0.03
 -------- 23:00 0.10 0.17 0.23 1.51 0.04
 -------- 00:00 0.08 0.20 0.20 1.52 0.03
 -------- 01:00 0.07 0.26 0.14 1.54 0.03
 -------- 02:00 0.06 0.26 0.14 1.56 0.03
 04.04.13 03:00 0.06 0.28 0.13 1.55 0.03
 -------- 04:00 0.06 0.28 0.12 1.56 0.03
 -------- 05:00 0.06 0.32 0.12 1.56 0.03
 -------- 06:00 0.07 0.24 0.18 1.55 0.04
 -------- 07:00 0.09 0.19 0.22 1.52 0.05
 04.04.13 08:00 0.10 0.19 0.22 1.54 0.07
 -------- 09:00 0.09 0.23 0.21 1.51 0.09
 -------- 10:00 0.08 0.30 0.17 1.49 0.07
 -------- 11:00 0.06 0.43 0.10 1.46 0.05
 -------- 12:00 0.06 0.46 0.07 1.46 0.05
 04.04.13 13:00 0.06 0.44 0.07 1.44 0.05
 -------- 14:00 0.06 0.44 0.07 1.43 0.05
 -------- 15:00 0.06 0.43 0.09 1.43 0.05
 -------- 16:00 0.06 0.47 0.06 1.42 0.04
 -------- 17:00 0.06 0.42 0.10 1.43 0.04
 04.04.13 18:00 0.08 0.39 0.12 1.43 0.03
 -------- 19:00 0.09 0.29 0.18 1.45 0.04
 -------- 20:00 0.08 0.25 0.20 1.45 0.03
 -------- 21:00 0.08 0.19 0.23 1.46 0.03
 -------- 22:00 0.08 0.19 0.22 1.48 0.03
 04.04.13 23:00 0.08 0.11 0.28 1.59 0.04
 -------- 00:00 0.06 0.02 0.36 1.57 0.05
 -------- 01:00 0.05 0.22 0.22 1.46 0.04
 -------- 02:00 0.04 0.45 0.06 1.42 0.03
 -------- 03:00 0.04 0.46 0.05 1.43 0.03
 05.04.13 04:00 0.04 0.28 0.16 1.50 0.03
 -------- 05:00 0.05 0.05 0.32 1.59 0.04
 -------- 06:00 0.07 0.05 0.32 1.61 0.05
 -------- 07:00 0.08 0.05 0.32 1.59 0.07
 -------- 08:00 0.08 0.15 0.26 1.53 0.07
 05.04.13 09:00 0.08 0.28 0.16 1.50 0.06
 -------- 10:00 0.09 0.20 0.20 1.52 0.08
 -------- 11:00 0.08 0.19 0.21 1.54 0.09
