 Date Time CO OZ NO2 CHX NO
 23.01.13 00:00 0.08 0.12 0.08 1.52 ----
 -------- 01:00 0.08 0.14 0.05 1.52 ----
 -------- 02:00 0.12 0.14 0.07 1.55 0.01
 -------- 03:00 0.07 0.13 0.06 1.51 ----
 -------- 04:00 0.05 0.19 0.02 1.50 ----
 23.01.13 05:00 0.05 0.19 0.01 1.50 ----
 -------- 06:00 0.06 0.16 0.04 1.51 ----
 -------- 07:00 0.08 0.09 0.08 1.54 0.01
 -------- 08:00 0.09 0.09 0.08 1.57 0.00
 -------- 09:00 0.10 0.03 0.12 1.61 0.04
 23.01.13 10:00 0.12 0.04 0.12 1.64 0.05
 -------- 11:00 0.16 0.03 0.17 1.78 0.20
 -------- 12:00 0.08 0.13 0.06 1.60 0.04
 -------- 13:00 0.08 0.12 0.06 1.59 0.05
 -------- 14:00 0.07 0.12 0.07 1.59 0.05
 23.01.13 15:00 0.06 0.20 0.03 1.48 0.01
 -------- 16:00 0.09 0.12 0.10 1.54 0.02
 -------- 17:00 0.09 0.06 0.15 1.57 0.03
 -------- 18:00 0.09 0.02 0.18 1.57 0.04
 -------- 19:00 0.09 0.01 0.19 1.59 0.07
 23.01.13 20:00 0.12 0.01 0.19 1.65 0.09
 -------- 21:00 0.12 ---- 0.21 1.66 0.13
 -------- 22:00 0.11 ---- 0.20 1.63 0.11
 -------- 23:00 0.13 ---- 0.21 1.79 0.18
 -------- 00:00 0.15 ---- 0.21 1.73 0.13
 24.01.13 01:00 0.11 ---- 0.20 1.68 0.16
 -------- 02:00 0.09 ---- 0.19 1.72 0.13
 -------- 03:00 0.13 ---- 0.19 1.78 0.18
 -------- 04:00 0.18 0.01 0.21 2.08 0.42
 -------- 05:00 0.12 ---- 0.21 1.73 0.22
 24.01.13 06:00 0.09 ---- 0.19 1.64 0.07
 -------- 07:00 0.11 ---- 0.19 1.69 0.07
 -------- 08:00 0.10 0.02 0.17 1.66 0.04
 -------- 09:00 0.13 0.01 0.18 1.75 0.09
 -------- 10:00 0.11 0.01 0.18 1.77 0.10
 24.01.13 11:00 0.10 0.03 0.15 1.66 0.09
 -------- 12:00 0.07 0.11 0.09 1.55 0.03
 -------- 13:00 0.09 0.13 0.07 1.53 0.03
 -------- 14:00 0.07 0.12 0.09 1.54 0.04
 -------- 15:00 0.06 0.14 0.08 1.53 0.02
 24.01.13 16:00 0.06 0.14 0.09 1.55 0.02
 -------- 17:00 0.06 0.13 0.10 1.51 0.01
 -------- 18:00 0.05 0.16 0.09 1.54 0.01
 -------- 19:00 0.07 0.14 0.10 1.53 0.01
 -------- 20:00 0.07 0.14 0.10 1.54 0.01
 24.01.13 21:00 0.09 0.10 0.12 1.57 0.02
 -------- 22:00 0.09 0.18 0.07 1.52 0.00
 -------- 23:00 0.06 0.17 0.06 1.50 0.00
