 Date Time CO OZ NO2 CHX NO
 05.02.13 00:00 0.04 0.16 ---- 1.46 0.00
 -------- 01:00 0.04 0.19 ---- 1.45 0.00
 -------- 02:00 0.04 0.24 ---- 1.44 ----
 -------- 03:00 0.04 0.26 ---- 1.43 ----
 -------- 04:00 0.04 0.18 ---- 1.43 ----
 05.02.13 05:00 0.04 0.25 ---- 1.43 ----
 -------- 06:00 0.05 0.26 ---- 1.43 ----
 -------- 07:00 0.06 0.28 ---- 1.44 ----
 -------- 08:00 0.07 0.23 0.02 1.47 ----
 -------- 09:00 0.08 0.12 0.09 1.52 0.01
 05.02.13 10:00 0.09 0.06 0.15 1.54 0.04
 -------- 11:00 0.09 0.06 0.15 1.54 0.05
 -------- 12:00 0.08 0.10 0.11 1.52 0.04
 -------- 13:00 0.08 0.12 0.08 1.52 0.04
 -------- 14:00 0.08 0.13 0.05 1.51 0.03
 05.02.13 15:00 0.08 0.08 0.10 1.54 0.05
 -------- 16:00 0.09 0.09 0.10 1.52 0.03
 -------- 17:00 0.09 0.06 0.14 1.64 0.03
 -------- 18:00 0.08 0.06 0.14 1.67 0.02
 -------- 19:00 0.11 0.04 0.15 1.61 0.03
 05.02.13 20:00 0.09 0.05 0.13 1.54 0.02
 -------- 21:00 0.09 0.07 0.11 1.53 0.02
 -------- 22:00 0.28 0.07 0.10 1.58 0.02
 -------- 23:00 0.07 0.08 0.09 1.51 0.01
 -------- 00:00 0.09 0.05 0.10 1.53 0.02
 06.02.13 01:00 0.06 0.11 0.06 1.51 0.01
 -------- 02:00 0.06 0.14 0.04 1.48 0.00
 -------- 03:00 0.05 0.15 0.03 1.47 0.00
 -------- 04:00 0.04 0.17 0.02 1.44 ----
 -------- 05:00 0.04 0.14 0.04 1.44 0.00
 06.02.13 06:00 0.06 0.12 0.06 1.45 0.01
 -------- 07:00 0.07 0.12 0.07 1.47 0.01
 -------- 08:00 0.08 0.07 0.10 1.47 0.01
 -------- 09:00 0.08 0.11 0.09 1.46 0.01
 -------- 10:00 0.09 0.13 0.08 1.46 0.01
 06.02.13 11:00 0.08 0.14 0.07 1.47 0.01
 -------- 12:00 0.08 0.14 0.07 1.46 0.02
 -------- 13:00 0.08 0.13 0.09 1.47 0.02
 -------- 14:00 0.08 0.10 0.12 1.51 0.03
 -------- 15:00 0.09 0.11 0.13 1.69 0.03
 06.02.13 16:00 0.10 0.07 0.18 1.54 0.02
 -------- 17:00 0.11 0.10 0.12 1.54 0.01
 -------- 18:00 0.09 0.08 0.13 1.55 0.01
 -------- 19:00 0.11 0.08 0.12 1.56 0.02
 -------- 20:00 0.10 0.06 0.10 1.55 0.02
 06.02.13 21:00 0.09 0.06 0.10 1.53 0.02
 -------- 22:00 0.10 0.08 0.08 1.51 0.01
 -------- 23:00 0.10 0.11 0.07 1.50 0.01
