 Date Time CO OZ NO2 CHX NO
 26.02.13 00:00 0.12 0.15 0.16 1.61 0.01
 -------- 01:00 0.08 0.21 0.10 1.52 0.01
 -------- 02:00 0.07 0.23 0.09 1.53 0.00
 -------- 03:00 0.08 0.17 0.13 1.55 0.00
 -------- 04:00 0.07 0.22 0.09 1.53 0.00
 26.02.13 05:00 0.06 0.20 0.10 1.52 0.00
 -------- 06:00 0.07 0.21 0.10 1.53 0.00
 -------- 07:00 0.11 0.12 0.18 1.59 0.02
 -------- 08:00 0.11 0.09 0.22 1.61 0.04
 -------- 09:00 0.08 0.23 0.09 1.57 0.02
 26.02.13 10:00 0.08 0.18 0.14 1.58 0.04
 -------- 11:00 0.07 0.21 0.12 1.60 0.05
 -------- 12:00 0.06 0.31 0.05 1.56 0.03
 -------- 13:00 0.06 0.36 0.02 1.56 0.02
 -------- 14:00 0.06 0.35 0.04 1.56 0.02
 26.02.13 15:00 0.05 0.39 0.02 1.49 0.02
 -------- 16:00 0.04 0.44 0.01 1.44 0.01
 -------- 17:00 0.05 0.46 0.01 1.42 0.00
 -------- 18:00 0.08 0.37 0.05 1.48 0.00
 -------- 19:00 0.07 0.31 0.08 1.48 0.00
 26.02.13 20:00 0.09 0.23 0.13 1.49 0.01
 -------- 21:00 0.07 0.32 0.06 1.47 0.00
 -------- 22:00 0.05 0.38 0.02 1.45 0.00
 -------- 23:00 0.05 0.43 ---- 1.43 0.00
 -------- 00:00 0.05 0.45 ---- 1.44 ----
 27.02.13 01:00 0.05 0.47 ---- 1.43 ----
 -------- 02:00 0.04 0.47 ---- 1.43 ----
 -------- 03:00 0.04 0.47 ---- 1.43 ----
 -------- 04:00 0.04 0.45 ---- 1.45 ----
 -------- 05:00 0.04 0.39 ---- 1.49 0.00
 27.02.13 06:00 0.05 0.31 0.05 1.55 0.00
 -------- 07:00 0.06 0.22 0.11 1.56 0.01
 -------- 08:00 0.06 0.26 0.08 1.50 0.01
 -------- 09:00 0.06 0.28 0.06 1.48 0.01
 -------- 10:00 0.06 0.28 0.06 1.47 0.01
 27.02.13 11:00 0.06 0.28 0.04 1.48 0.02
 -------- 12:00 0.05 0.30 0.02 1.49 0.02
 -------- 13:00 0.06 0.28 0.02 1.48 0.02
 -------- 14:00 0.04 0.28 0.02 1.47 0.01
 -------- 15:00 ---- 0.26 0.03 1.46 0.02
 27.02.13 16:00 ---- 0.24 0.04 1.46 0.02
 -------- 17:00 ---- 0.23 0.07 1.51 0.02
 -------- 18:00 ---- 0.25 0.07 1.49 0.01
 -------- 19:00 0.02 0.18 0.12 1.50 0.01
 -------- 20:00 0.02 0.18 0.11 1.49 0.01
 27.02.13 21:00 0.02 0.20 0.09 1.48 0.01
 -------- 22:00 0.05 0.15 0.16 1.54 0.06
 -------- 23:00 0.05 ---- 0.24 1.55 0.11
