 Date Time CO OZ NO2 CHX NO
 21.03.13 00:00 0.06 0.13 0.15 1.54 0.06
 -------- 01:00 0.06 0.15 0.12 1.53 0.06
 -------- 02:00 0.05 0.23 0.05 1.51 0.05
 -------- 03:00 0.04 0.25 0.03 1.50 0.05
 -------- 04:00 0.05 0.23 0.05 1.53 0.05
 21.03.13 05:00 0.06 0.20 0.07 1.64 0.05
 -------- 06:00 0.06 0.19 0.08 1.57 0.05
 -------- 07:00 0.06 0.21 0.08 1.53 0.05
 -------- 08:00 0.06 0.20 0.09 1.54 0.06
 -------- 09:00 0.06 0.21 0.09 1.54 0.07
 21.03.13 10:00 0.06 0.24 0.06 1.54 0.07
 -------- 11:00 0.06 0.30 0.02 1.52 0.07
 -------- 12:00 0.06 0.32 0.02 1.53 0.07
 -------- 13:00 0.06 0.34 0.02 1.56 0.06
 -------- 14:00 0.06 0.33 0.02 1.58 0.06
 21.03.13 15:00 0.05 0.38 0.01 1.56 0.06
 -------- 16:00 0.04 0.39 0.01 1.51 0.06
 -------- 17:00 0.05 0.36 0.01 1.49 0.05
 -------- 18:00 0.06 0.33 0.04 1.66 0.05
 -------- 19:00 0.06 0.30 0.07 1.67 0.05
 21.03.13 20:00 0.06 0.29 0.07 1.57 0.04
 -------- 21:00 0.06 0.34 0.05 1.49 0.04
 -------- 22:00 0.06 0.25 0.13 1.52 0.05
 -------- 23:00 0.06 0.18 0.19 1.53 0.05
 -------- 00:00 0.09 0.11 0.24 1.60 0.05
 22.03.13 01:00 0.09 0.02 0.31 1.65 0.14
 -------- 02:00 0.08 0.01 0.30 1.60 0.16
 -------- 03:00 0.09 ---- 0.30 1.67 0.19
 -------- 04:00 0.07 ---- 0.30 1.71 0.13
 -------- 05:00 0.07 0.01 0.30 1.75 0.19
 22.03.13 06:00 0.13 0.01 0.31 1.83 0.42
 -------- 07:00 0.21 0.01 0.33 2.04 0.51
 -------- 08:00 0.23 0.01 0.34 1.98 0.55
 -------- 09:00 0.15 0.03 0.31 1.83 0.33
 -------- 10:00 0.15 0.06 0.27 1.80 0.29
 22.03.13 11:00 0.13 0.08 0.26 1.73 0.27
 -------- 12:00 0.05 0.28 0.10 1.51 0.11
 -------- 13:00 0.06 0.28 0.07 1.53 0.09
 -------- 14:00 0.05 0.30 0.05 1.49 0.08
 -------- 15:00 0.05 0.32 0.02 1.47 0.07
 22.03.13 16:00 0.05 0.32 0.03 1.48 0.06
 -------- 17:00 0.05 0.28 0.04 1.49 0.06
 -------- 18:00 0.05 0.25 0.06 1.50 0.05
 -------- 19:00 0.06 0.17 0.10 1.53 0.05
 -------- 20:00 0.06 0.11 0.13 1.50 0.06
 22.03.13 21:00 0.05 0.11 0.12 1.51 0.05
 -------- 22:00 0.06 0.05 0.14 1.50 0.06
 -------- 23:00 0.05 0.06 0.12 1.51 0.06
