 Date Time CO OZ NO2 CHX NO
 21.01.13 00:00 0.12 ---- 0.66 1.81 0.14
 -------- 01:00 0.12 ---- 0.63 1.86 0.14
 -------- 02:00 0.12 ---- 0.61 1.92 0.14
 -------- 03:00 0.12 ---- 0.59 1.82 0.13
 -------- 04:00 0.10 ---- 0.52 1.76 0.10
 21.01.13 05:00 0.10 ---- 0.51 1.76 0.11
 -------- 06:00 0.11 ---- 0.52 1.78 0.11
 -------- 07:00 0.13 ---- 0.59 1.81 0.15
 -------- 08:00 0.15 ---- 0.62 1.87 0.17
 -------- 09:00 0.14 ---- 0.60 1.85 0.14
 21.01.13 10:00 0.12 0.01 0.55 1.89 0.12
 -------- 11:00 0.10 0.01 0.45 1.88 0.10
 -------- 12:00 0.08 0.03 0.30 1.78 0.06
 -------- 13:00 0.08 0.06 0.26 1.65 0.05
 -------- 14:00 0.08 0.06 0.29 1.62 0.05
 21.01.13 15:00 0.06 0.10 0.25 1.57 0.03
 -------- 16:00 0.13 0.09 0.27 1.78 0.03
 -------- 17:00 0.09 0.04 0.24 2.18 0.04
 -------- 18:00 0.09 0.01 0.25 1.78 0.04
 -------- 19:00 0.08 0.02 0.24 1.62 0.04
 21.01.13 20:00 0.10 0.09 0.19 1.55 0.01
 -------- 21:00 0.10 0.05 0.21 1.55 0.01
 -------- 22:00 0.08 0.04 0.19 1.55 0.01
 -------- 23:00 0.07 0.03 0.20 1.53 0.01
 -------- 00:00 0.07 0.05 0.20 1.54 0.02
 22.01.13 01:00 0.05 0.09 0.17 1.51 0.01
 -------- 02:00 0.04 0.14 0.14 1.49 ----
 -------- 03:00 0.04 0.14 0.15 1.49 ----
 -------- 04:00 0.04 0.11 0.17 1.51 ----
 -------- 05:00 0.04 0.08 0.19 1.50 0.01
 22.01.13 06:00 0.06 0.06 0.20 1.56 0.01
 -------- 07:00 0.07 0.06 0.20 1.56 0.02
 -------- 08:00 0.10 0.04 0.22 1.60 0.04
 -------- 09:00 0.11 0.03 0.24 1.63 0.05
 -------- 10:00 0.13 0.01 0.27 1.69 0.17
 22.01.13 11:00 0.13 0.05 0.13 1.66 0.11
 -------- 12:00 0.06 0.10 0.07 1.59 0.05
 -------- 13:00 0.02 0.12 0.08 1.58 0.04
 -------- 14:00 0.04 0.14 0.08 1.56 0.03
 -------- 15:00 ---- 0.17 0.05 1.54 0.02
 22.01.13 16:00 0.03 0.16 0.08 1.53 0.01
 -------- 17:00 0.09 0.06 0.15 1.61 0.03
 -------- 18:00 0.07 0.07 0.14 1.59 0.02
 -------- 19:00 0.09 0.09 0.12 1.57 0.01
 -------- 20:00 0.09 0.07 0.14 1.58 0.02
 22.01.13 21:00 0.17 0.07 0.15 1.64 0.05
 -------- 22:00 0.09 0.09 0.12 1.56 0.01
 -------- 23:00 0.08 0.13 0.07 1.52 ----
