 Date Time CO OZ NO2 CHX NO
 24.01.13 00:00 0.15 ---- 0.20 1.71 0.11
 -------- 01:00 0.11 ---- 0.20 1.68 0.16
 -------- 02:00 0.09 ---- 0.19 1.72 0.13
 -------- 03:00 0.13 ---- 0.19 1.78 0.18
 -------- 04:00 0.18 0.01 0.21 2.08 0.42
 24.01.13 05:00 0.12 ---- 0.21 1.73 0.22
 -------- 06:00 0.09 ---- 0.19 1.64 0.07
 -------- 07:00 0.11 ---- 0.19 1.69 0.07
 -------- 08:00 0.10 0.02 0.17 1.66 0.04
 -------- 09:00 0.13 0.01 0.18 1.75 0.09
 24.01.13 10:00 0.11 0.01 0.18 1.77 0.10
 -------- 11:00 0.10 0.03 0.15 1.66 0.09
 -------- 12:00 0.07 0.11 0.09 1.55 0.03
 -------- 13:00 0.09 0.13 0.07 1.53 0.03
 -------- 14:00 0.07 0.12 0.09 1.54 0.04
 24.01.13 15:00 0.06 0.14 0.08 1.53 0.02
 -------- 16:00 0.06 0.14 0.09 1.55 0.02
 -------- 17:00 0.06 0.13 0.10 1.51 0.01
 -------- 18:00 0.05 0.16 0.09 1.54 0.01
 -------- 19:00 0.07 0.14 0.10 1.53 0.01
 24.01.13 20:00 0.07 0.14 0.10 1.54 0.01
 -------- 21:00 0.09 0.10 0.12 1.57 0.02
 -------- 22:00 0.09 0.18 0.07 1.52 0.00
 -------- 23:00 0.06 0.18 0.06 1.49 0.01
 -------- 00:00 0.05 0.21 0.04 1.48 0.01
 25.01.13 01:00 0.05 0.15 0.08 1.50 0.00
 -------- 02:00 0.05 0.23 0.02 1.49 ----
 -------- 03:00 0.04 0.25 0.01 1.47 ----
 -------- 04:00 0.04 0.24 0.03 1.48 ----
 -------- 05:00 0.04 0.18 0.05 1.50 ----
 25.01.13 06:00 0.06 0.16 0.06 1.53 0.00
 -------- 07:00 0.07 0.08 0.13 1.54 0.02
 -------- 08:00 0.07 0.05 0.14 1.54 0.03
 -------- 09:00 0.07 0.04 0.14 1.55 0.03
 -------- 10:00 0.07 0.06 0.13 1.54 0.04
 25.01.13 11:00 0.06 0.12 0.09 1.54 0.03
 -------- 12:00 0.05 0.18 0.04 1.50 0.02
 -------- 13:00 0.06 0.19 0.04 1.54 0.02
 -------- 14:00 0.06 0.18 0.05 1.57 0.03
 -------- 15:00 0.07 0.17 0.06 1.56 0.03
 25.01.13 16:00 0.07 0.16 0.07 1.55 0.02
 -------- 17:00 0.06 0.15 0.08 1.53 0.01
 -------- 18:00 0.07 0.16 0.08 1.53 0.01
 -------- 19:00 0.11 0.13 0.10 1.59 0.01
 -------- 20:00 0.08 0.08 0.13 1.57 0.02
 25.01.13 21:00 0.09 0.08 0.13 1.60 0.02
 -------- 22:00 0.08 0.09 0.11 1.58 0.01
 -------- 23:00 0.06 0.05 0.13 1.59 0.02
