 Date Time CO OZ NO2 CHX NO
 04.04.13 00:00 0.08 0.21 0.20 1.52 0.03
 -------- 01:00 0.07 0.26 0.14 1.54 0.03
 -------- 02:00 0.06 0.26 0.14 1.56 0.03
 -------- 03:00 0.06 0.28 0.13 1.55 0.03
 -------- 04:00 0.06 0.28 0.12 1.56 0.03
 04.04.13 05:00 0.06 0.32 0.12 1.56 0.03
 -------- 06:00 0.07 0.24 0.18 1.55 0.04
 -------- 07:00 0.09 0.19 0.22 1.52 0.05
 -------- 08:00 0.10 0.19 0.22 1.54 0.07
 -------- 09:00 0.09 0.23 0.21 1.51 0.09
 04.04.13 10:00 0.08 0.30 0.17 1.49 0.07
 -------- 11:00 0.06 0.43 0.10 1.46 0.05
 -------- 12:00 0.06 0.46 0.07 1.46 0.05
 -------- 13:00 0.06 0.44 0.07 1.44 0.05
 -------- 14:00 0.06 0.44 0.07 1.43 0.05
 04.04.13 15:00 0.06 0.43 0.09 1.43 0.05
 -------- 16:00 0.06 0.47 0.06 1.42 0.04
 -------- 17:00 0.06 0.42 0.10 1.43 0.04
 -------- 18:00 0.08 0.39 0.12 1.43 0.03
 -------- 19:00 0.09 0.29 0.18 1.45 0.04
 04.04.13 20:00 0.08 0.25 0.20 1.45 0.03
 -------- 21:00 0.08 0.19 0.23 1.46 0.03
 -------- 22:00 0.08 0.19 0.22 1.48 0.03
 -------- 23:00 0.08 0.11 0.28 1.59 0.04
 -------- 00:00 0.06 0.02 0.36 1.57 0.05
 05.04.13 01:00 0.05 0.22 0.22 1.46 0.04
 -------- 02:00 0.04 0.45 0.06 1.42 0.03
 -------- 03:00 0.04 0.46 0.05 1.43 0.03
 -------- 04:00 0.04 0.28 0.16 1.50 0.03
 -------- 05:00 0.05 0.05 0.32 1.59 0.04
 05.04.13 06:00 0.07 0.05 0.32 1.61 0.05
 -------- 07:00 0.08 0.05 0.32 1.59 0.07
 -------- 08:00 0.08 0.15 0.26 1.53 0.07
 -------- 09:00 0.08 0.28 0.16 1.50 0.06
 -------- 10:00 0.09 0.20 0.20 1.52 0.08
 05.04.13 11:00 0.08 0.19 0.21 1.54 0.09
 -------- 12:00 0.10 0.19 0.22 1.54 0.10
 -------- 13:00 0.10 0.18 0.22 1.55 0.10
 -------- 14:00 0.10 0.13 0.26 1.57 0.10
 -------- 15:00 0.10 0.13 0.27 1.57 0.09
 05.04.13 16:00 0.10 0.11 0.29 1.57 0.08
 -------- 17:00 0.11 0.09 0.31 1.62 0.08
 -------- 18:00 0.11 0.08 0.32 1.58 0.07
 -------- 19:00 0.11 0.05 0.33 1.62 0.07
 -------- 20:00 0.11 0.08 0.29 1.59 0.06
 05.04.13 21:00 0.10 0.13 0.21 1.54 0.05
 -------- 22:00 0.10 0.05 0.25 1.54 0.06
 -------- 23:00 0.09 0.09 0.18 1.63 0.05
