 Date Time CO OZ NO2 CHX NO
 13.04.13 23:00 0.08 0.28 0.19 1.50 0.02
 -------- 00:00 0.07 0.29 0.17 1.45 0.02
 -------- 01:00 0.06 0.33 0.17 1.42 0.02
 -------- 02:00 0.06 0.19 0.25 1.43 0.02
 -------- 03:00 0.06 0.30 0.17 1.42 0.02
 14.04.13 04:00 0.05 0.34 0.14 1.42 0.02
 -------- 05:00 0.04 0.34 0.14 1.42 0.02
 -------- 06:00 0.05 0.31 0.15 1.43 0.02
 -------- 07:00 0.06 0.29 0.17 1.42 0.02
 -------- 08:00 0.07 0.28 0.18 1.47 0.03
 14.04.13 09:00 0.07 0.29 0.19 1.49 0.04
 -------- 10:00 0.06 0.39 0.16 1.50 0.04
 -------- 11:00 0.08 0.40 0.16 1.50 0.05
 -------- 12:00 0.07 0.43 0.16 1.47 0.04
 -------- 13:00 0.07 0.53 0.12 1.45 0.03
 14.04.13 14:00 0.07 0.56 0.11 1.43 0.03
 -------- 15:00 0.06 0.61 0.11 1.40 0.03
 -------- 16:00 0.07 0.64 0.11 1.40 0.02
 -------- 17:00 0.08 0.58 0.13 1.40 0.02
 -------- 18:00 0.08 0.48 0.17 1.42 0.02
 14.04.13 19:00 0.09 0.51 0.15 1.43 0.02
 -------- 20:00 0.10 0.45 0.18 1.44 0.02
 -------- 21:00 0.10 0.41 0.19 1.44 0.02
 -------- 22:00 0.10 0.27 0.26 1.47 0.02
 -------- 23:00 0.09 0.24 0.26 1.47 0.02
 15.04.13 00:00 0.08 0.21 0.26 1.45 0.03
 -------- 01:00 0.08 0.20 0.26 1.49 0.02
 -------- 02:00 0.05 0.36 0.15 1.41 0.02
 -------- 03:00 0.04 0.24 0.23 1.42 0.02
 -------- 04:00 0.04 0.26 0.19 1.42 0.02
 15.04.13 05:00 0.05 0.19 0.24 1.44 0.02
 -------- 06:00 0.07 0.04 0.33 1.48 0.06
 -------- 07:00 0.12 0.01 0.37 1.55 0.12
 -------- 08:00 0.15 0.03 0.37 1.62 0.15
 -------- 09:00 0.12 0.14 0.30 1.70 0.08
 15.04.13 10:00 0.11 0.28 0.25 1.52 0.06
 -------- 11:00 0.10 0.34 0.24 1.49 0.05
 -------- 12:00 0.07 0.58 0.13 1.42 0.03
 -------- 13:00 0.06 0.59 0.12 1.41 0.03
 -------- 14:00 0.06 0.62 0.10 1.41 0.03
 15.04.13 15:00 0.07 0.66 0.10 1.41 0.02
 -------- 16:00 0.08 0.68 0.09 1.38 0.02
 -------- 17:00 0.08 0.70 0.10 1.39 0.02
 -------- 18:00 0.09 0.67 0.12 1.42 0.02
 -------- 19:00 0.09 0.50 0.20 1.47 0.02
 15.04.13 20:00 0.12 0.41 0.25 1.47 0.02
 -------- 21:00 0.13 0.32 0.29 1.66 0.02
 -------- 22:00 0.21 0.01 0.46 1.80 0.08
