 Date Time CO OZ NO2 CHX NO
 30.11.12 00:00 0.06 0.01 0.11 1.56 0.03
 -------- 01:00 0.06 0.02 0.10 1.55 0.03
 -------- 02:00 0.06 0.01 0.09 1.55 0.02
 -------- 03:00 0.06 0.01 0.10 1.56 0.03
 -------- 04:00 0.04 0.01 0.08 1.54 0.03
 30.11.12 05:00 0.04 0.01 0.07 1.54 0.03
 -------- 06:00 0.06 0.01 0.08 1.57 0.05
 -------- 07:00 0.06 ---- 0.08 1.57 0.06
 -------- 08:00 0.08 ---- 0.08 1.59 0.06
 -------- 09:00 0.08 ---- 0.10 1.59 0.07
 30.11.12 10:00 0.08 ---- 0.09 1.67 0.07
 -------- 11:00 0.08 ---- 0.09 1.61 0.08
 -------- 12:00 0.08 0.01 0.08 1.64 0.09
 -------- 13:00 0.08 ---- 0.08 1.64 0.09
 -------- 14:00 0.09 ---- 0.08 1.63 0.09
 30.11.12 15:00 0.10 ---- 0.07 1.66 0.10
 -------- 16:00 0.10 0.01 0.08 1.64 0.10
 -------- 17:00 0.09 0.02 0.07 1.62 0.09
 -------- 18:00 0.11 ---- 0.08 1.62 0.10
 -------- 19:00 0.17 ---- 0.10 1.78 0.19
 30.11.12 20:00 0.18 ---- 0.10 1.78 0.20
 -------- 21:00 0.11 ---- 0.09 1.63 0.10
 -------- 22:00 0.11 ---- 0.09 1.59 0.08
 -------- 23:00 0.10 ---- 0.09 1.58 0.06
 -------- 00:00 0.09 ---- 0.11 1.58 0.06
 01.12.12 01:00 0.08 ---- 0.13 1.55 0.04
 -------- 02:00 0.09 ---- 0.11 1.55 0.05
 -------- 03:00 0.08 ---- 0.13 1.56 0.03
 -------- 04:00 0.07 0.01 0.11 1.52 0.02
 -------- 05:00 0.06 0.05 0.10 1.49 0.02
 01.12.12 06:00 0.06 0.08 0.06 1.48 0.01
 -------- 07:00 0.07 0.03 0.07 1.50 0.02
 -------- 08:00 0.08 0.01 0.08 1.54 0.04
 -------- 09:00 0.09 0.01 0.08 1.52 0.04
 -------- 10:00 0.09 0.01 0.07 1.52 0.05
 01.12.12 11:00 0.13 ---- 0.09 1.59 0.09
 -------- 12:00 0.12 0.01 0.08 1.59 0.08
 -------- 13:00 0.12 ---- 0.09 1.62 0.08
 -------- 14:00 0.12 ---- 0.08 1.60 0.07
 -------- 15:00 0.15 ---- 0.09 1.64 0.10
 01.12.12 16:00 0.17 ---- 0.10 1.62 0.10
 -------- 17:00 0.15 ---- 0.08 1.61 0.09
 -------- 18:00 0.16 ---- 0.08 1.63 0.10
 -------- 19:00 0.15 ---- 0.09 1.62 0.10
 -------- 20:00 0.15 ---- 0.10 1.71 0.12
 01.12.12 21:00 0.16 ---- 0.10 1.80 0.12
 -------- 22:00 0.16 ---- 0.07 1.78 0.10
