 Date Time CO OZ NO2 CHX NO
 26.02.13 12:00 0.06 0.31 0.05 1.57 0.03
 -------- 13:00 0.06 0.36 0.02 1.56 0.02
 -------- 14:00 0.06 0.35 0.04 1.56 0.02
 -------- 15:00 0.05 0.39 0.02 1.49 0.02
 -------- 16:00 0.04 0.44 0.01 1.44 0.01
 26.02.13 17:00 0.05 0.46 0.01 1.42 0.00
 -------- 18:00 0.08 0.37 0.05 1.48 0.00
 -------- 19:00 0.07 0.31 0.08 1.48 0.00
 -------- 20:00 0.09 0.23 0.13 1.49 0.01
 -------- 21:00 0.07 0.32 0.06 1.47 0.00
 26.02.13 22:00 0.05 0.38 0.02 1.45 0.00
 -------- 23:00 0.05 0.43 ---- 1.43 0.00
 -------- 00:00 0.05 0.45 ---- 1.44 ----
 -------- 01:00 0.05 0.47 ---- 1.43 ----
 -------- 02:00 0.04 0.47 ---- 1.43 ----
 27.02.13 03:00 0.04 0.47 ---- 1.43 ----
 -------- 04:00 0.04 0.45 ---- 1.45 ----
 -------- 05:00 0.04 0.39 ---- 1.49 0.00
 -------- 06:00 0.05 0.31 0.05 1.55 0.00
 -------- 07:00 0.06 0.22 0.11 1.56 0.01
 27.02.13 08:00 0.06 0.26 0.08 1.50 0.01
 -------- 09:00 0.06 0.28 0.06 1.48 0.01
 -------- 10:00 0.06 0.28 0.06 1.47 0.01
 -------- 11:00 0.06 0.28 0.04 1.48 0.02
 -------- 12:00 0.05 0.30 0.02 1.49 0.02
 27.02.13 13:00 0.06 0.28 0.02 1.48 0.02
 -------- 14:00 0.04 0.28 0.02 1.47 0.01
 -------- 15:00 ---- 0.26 0.03 1.46 0.02
 -------- 16:00 ---- 0.24 0.04 1.46 0.02
 -------- 17:00 ---- 0.23 0.07 1.51 0.02
 27.02.13 18:00 ---- 0.25 0.07 1.49 0.01
 -------- 19:00 0.02 0.18 0.12 1.50 0.01
 -------- 20:00 0.02 0.18 0.11 1.49 0.01
 -------- 21:00 0.02 0.20 0.09 1.48 0.01
 -------- 22:00 0.05 0.15 0.16 1.54 0.06
 27.02.13 23:00 0.05 ---- 0.25 1.56 0.11
 -------- 00:00 0.06 ---- 0.24 1.62 0.09
 -------- 01:00 0.03 0.07 0.14 1.55 0.03
 -------- 02:00 0.02 0.12 0.09 1.48 0.01
 -------- 03:00 ---- 0.18 0.05 1.48 0.01
 28.02.13 04:00 ---- 0.30 ---- 1.45 0.00
 -------- 05:00 ---- 0.35 ---- 1.43 0.00
 -------- 06:00 ---- 0.34 ---- 1.43 0.00
 -------- 07:00 ---- 0.32 ---- 1.43 0.01
 -------- 08:00 ---- 0.33 ---- 1.43 0.01
 28.02.13 09:00 ---- 0.31 ---- 1.44 0.01
 -------- 10:00 ---- 0.25 0.02 1.46 0.02
 -------- 11:00 ---- 0.23 0.02 1.48 0.02
