 Date Time CO OZ NO2 CHX NO
 05.12.12 12:00 0.06 0.14 0.10 1.52 0.03
 -------- 13:00 0.07 0.18 0.07 1.50 0.03
 -------- 14:00 0.05 0.15 0.09 1.49 0.03
 -------- 15:00 0.07 0.09 0.14 1.52 0.04
 -------- 16:00 0.08 0.06 0.17 1.52 0.05
 05.12.12 17:00 0.10 0.01 0.25 1.56 0.08
 -------- 18:00 0.13 0.01 0.25 1.61 0.10
 -------- 19:00 0.11 0.01 0.21 1.61 0.09
 -------- 20:00 0.11 0.01 0.22 1.61 0.09
 -------- 21:00 0.10 0.01 0.20 1.64 0.08
 05.12.12 22:00 0.12 0.04 0.23 1.64 0.09
 -------- 23:00 0.09 0.03 0.22 1.64 0.08
 -------- 00:00 0.07 0.01 0.18 1.93 0.07
 -------- 01:00 0.07 0.02 0.18 1.71 0.06
 -------- 02:00 0.07 ---- 0.18 1.65 0.06
 06.12.12 03:00 0.06 0.01 0.17 1.52 0.04
 -------- 04:00 0.04 0.01 0.16 1.50 0.05
 -------- 05:00 0.04 0.03 0.14 1.50 0.03
 -------- 06:00 0.05 0.02 0.15 1.51 0.03
 -------- 07:00 0.07 0.03 0.14 1.52 0.03
 06.12.12 08:00 0.06 0.05 0.13 1.51 0.03
 -------- 09:00 0.08 0.02 0.14 1.53 0.04
 -------- 10:00 0.08 0.01 0.17 1.59 0.06
 -------- 11:00 0.08 0.01 0.16 1.59 0.06
 -------- 12:00 0.08 0.02 0.15 1.54 0.07
 06.12.12 13:00 0.08 0.02 0.15 1.54 0.07
 -------- 14:00 0.09 0.02 0.15 1.60 0.07
 -------- 15:00 0.09 0.03 0.13 1.67 0.06
 -------- 16:00 0.07 0.04 0.10 1.52 0.05
 -------- 17:00 0.08 0.01 0.14 1.53 0.05
 06.12.12 18:00 0.08 0.02 0.11 1.52 0.05
 -------- 19:00 0.07 0.02 0.10 1.53 0.04
 -------- 20:00 0.07 0.06 0.10 1.50 0.03
 -------- 21:00 0.07 0.02 0.13 1.51 0.04
 -------- 22:00 0.08 0.01 0.14 1.52 0.05
 06.12.12 23:00 0.06 0.01 0.10 1.52 0.04
 -------- 00:00 0.07 ---- 0.16 1.61 0.06
 -------- 01:00 0.06 ---- 0.13 1.57 0.05
 -------- 02:00 0.06 ---- 0.12 1.54 0.04
 -------- 03:00 0.05 ---- 0.12 1.56 0.04
 07.12.12 04:00 0.04 0.01 0.10 1.57 0.03
 -------- 05:00 0.05 0.03 0.11 1.53 0.03
 -------- 06:00 0.06 0.03 0.14 1.54 0.04
 -------- 07:00 0.07 0.01 0.14 1.57 0.05
 -------- 08:00 0.06 0.04 0.10 1.52 0.04
 07.12.12 09:00 0.06 0.05 0.09 1.51 0.04
 -------- 10:00 0.06 0.04 0.11 1.51 0.04
 -------- 11:00 0.06 0.06 0.10 1.50 0.04
