 Date Time CO OZ NO2 CHX NO
 20.11.12 00:00 0.06 0.03 0.06 1.50 0.01
 -------- 01:00 0.06 0.03 0.05 1.49 0.01
 -------- 02:00 0.06 0.02 0.06 1.51 0.01
 -------- 03:00 0.06 0.02 0.06 1.50 0.01
 -------- 04:00 0.06 0.01 0.06 1.50 0.01
 20.11.12 05:00 0.06 0.01 0.07 1.51 0.02
 -------- 06:00 0.07 0.01 0.07 1.50 0.02
 -------- 07:00 0.08 0.01 0.07 1.49 0.04
 -------- 08:00 0.11 0.01 0.07 1.51 0.04
 -------- 09:00 0.09 0.02 0.07 1.49 0.03
 20.11.12 10:00 0.09 0.04 0.06 1.52 0.04
 -------- 11:00 0.08 0.05 0.06 1.51 0.04
 -------- 12:00 0.09 0.04 0.06 1.52 0.04
 -------- 13:00 0.13 0.01 0.10 1.65 0.10
 -------- 14:00 0.09 0.01 0.10 1.55 0.05
 20.11.12 15:00 0.08 0.03 0.10 1.52 0.03
 -------- 16:00 0.07 0.10 0.10 1.48 0.01
 -------- 17:00 0.09 0.05 0.12 1.50 0.02
 -------- 18:00 0.08 0.06 0.11 1.50 0.02
 -------- 19:00 0.11 0.08 0.10 1.52 0.02
 20.11.12 20:00 0.08 0.05 0.10 1.50 0.02
 -------- 21:00 0.09 0.06 0.10 1.50 0.01
 -------- 22:00 0.08 0.08 0.10 1.49 0.02
 -------- 23:00 0.07 0.11 0.10 1.48 0.01
 -------- 00:00 0.06 0.14 0.08 1.47 0.01
 21.11.12 01:00 0.06 0.15 0.07 1.47 0.01
 -------- 02:00 0.06 0.18 0.06 1.45 0.01
 -------- 03:00 0.06 0.18 0.06 1.45 0.01
 -------- 04:00 0.05 0.21 0.07 1.44 0.00
 -------- 05:00 0.06 0.16 0.07 1.45 0.00
 21.11.12 06:00 0.08 0.02 0.16 1.53 0.03
 -------- 07:00 0.09 0.01 0.15 1.53 0.04
 -------- 08:00 0.11 0.01 0.15 1.53 0.05
 -------- 09:00 0.08 0.01 0.15 1.53 0.04
 -------- 10:00 0.10 0.01 0.15 1.56 0.06
 21.11.12 11:00 0.12 0.01 0.17 1.60 0.09
 -------- 12:00 0.09 0.03 0.11 1.51 0.03
 -------- 13:00 0.08 0.04 0.11 1.50 0.02
 -------- 14:00 0.07 0.05 0.09 1.49 0.02
 -------- 15:00 0.08 0.02 0.11 1.51 0.03
 21.11.12 16:00 0.09 0.03 0.10 1.50 0.03
 -------- 17:00 0.10 0.01 0.13 1.53 0.03
 -------- 18:00 0.10 0.01 0.14 1.52 0.03
 -------- 19:00 0.12 0.01 0.17 1.56 0.06
 -------- 20:00 0.10 0.03 0.13 1.49 0.02
 21.11.12 21:00 0.09 0.03 0.14 1.48 0.02
 -------- 22:00 0.09 0.02 0.14 1.50 0.02
 -------- 23:00 0.12 ---- 0.15 1.57 0.06
