 Date Time CO OZ NO2 CHX NO
 30.03.13 00:00 0.93 0.04 0.57 2.91 1.88
 -------- 01:00 0.51 0.03 0.59 2.44 1.09
 -------- 02:00 0.37 0.03 0.51 2.55 0.79
 -------- 03:00 0.25 0.01 0.49 2.39 0.57
 -------- 04:00 0.16 0.01 0.45 2.16 0.35
 30.03.13 05:00 0.13 ---- 0.42 2.08 0.26
 -------- 06:00 0.07 ---- 0.39 1.80 0.13
 -------- 07:00 0.11 0.01 0.37 1.84 0.16
 -------- 08:00 0.14 0.02 0.36 2.17 0.26
 -------- 09:00 0.09 0.10 0.32 1.98 0.14
 30.03.13 10:00 0.07 0.22 0.24 1.81 0.11
 -------- 11:00 0.05 0.34 0.14 1.69 0.08
 -------- 12:00 0.06 0.35 0.13 1.53 0.09
 -------- 13:00 0.06 0.49 0.06 1.48 0.06
 -------- 14:00 0.06 0.59 0.02 1.45 0.06
 30.03.13 15:00 0.05 0.58 0.01 1.45 0.05
 -------- 16:00 0.06 0.56 0.01 1.45 0.05
 -------- 17:00 0.06 0.51 0.03 1.45 0.05
 -------- 18:00 0.06 0.51 0.05 1.47 0.05
 -------- 19:00 0.06 0.50 0.06 1.48 0.05
 30.03.13 20:00 0.06 0.54 0.05 1.47 0.05
 -------- 21:00 0.06 0.49 0.07 1.48 0.05
 -------- 22:00 0.07 0.53 0.05 1.48 0.05
 -------- 23:00 0.06 0.50 0.04 1.47 0.05
 -------- 00:00 0.05 0.50 0.02 1.45 0.05
 31.03.13 01:00 0.04 0.46 0.01 1.45 0.05
 -------- 02:00 0.05 0.43 0.01 1.44 0.05
 -------- 03:00 0.06 0.40 0.01 1.46 0.05
 -------- 04:00 0.05 0.35 0.01 1.44 0.05
 -------- 05:00 0.04 0.29 0.03 1.43 0.05
 31.03.13 06:00 0.05 0.24 0.08 1.45 0.05
 -------- 07:00 0.06 0.23 0.09 1.57 0.05
 -------- 08:00 0.06 0.23 0.08 1.54 0.05
 -------- 09:00 0.08 0.16 0.14 1.53 0.06
 -------- 10:00 0.07 0.22 0.09 1.50 0.06
 31.03.13 11:00 0.06 0.28 0.05 1.49 0.06
 -------- 12:00 0.07 0.29 0.04 1.51 0.07
 -------- 13:00 0.08 0.25 0.06 1.51 0.07
 -------- 14:00 0.06 0.32 0.02 1.47 0.06
 -------- 15:00 0.06 0.36 0.01 1.46 0.05
 31.03.13 16:00 0.07 0.35 0.05 1.49 0.06
 -------- 17:00 0.06 0.45 0.03 1.47 0.05
 -------- 18:00 0.09 0.38 0.07 1.50 0.05
 -------- 19:00 0.09 0.26 0.15 1.52 0.05
 -------- 20:00 0.09 0.16 0.22 1.56 0.05
 31.03.13 21:00 0.10 0.22 0.20 1.52 0.04
 -------- 22:00 0.15 0.06 0.31 1.62 0.08
 -------- 23:00 0.17 ---- 0.33 1.71 0.17
