 Date Time CO OZ NO2 CHX NO
 24.02.13 23:00 0.08 0.18 0.10 1.53 0.01
 -------- 00:00 0.09 0.20 0.09 1.55 0.01
 -------- 01:00 0.08 0.21 0.07 1.53 0.01
 -------- 02:00 0.07 0.20 0.07 1.53 0.00
 -------- 03:00 0.07 0.23 0.06 1.53 0.00
 25.02.13 04:00 0.06 0.28 0.01 1.50 0.00
 -------- 05:00 0.06 0.23 0.06 1.53 0.00
 -------- 06:00 0.07 0.16 0.11 1.55 0.01
 -------- 07:00 0.08 0.11 0.14 1.56 0.02
 -------- 08:00 0.09 0.08 0.18 1.60 0.03
 25.02.13 09:00 0.09 0.10 0.16 1.59 0.04
 -------- 10:00 0.09 0.16 0.13 1.57 0.04
 -------- 11:00 0.08 0.21 0.09 1.57 0.04
 -------- 12:00 0.07 0.28 0.06 1.53 0.03
 -------- 13:00 0.07 0.31 0.05 1.53 0.03
 25.02.13 14:00 0.07 0.34 0.04 1.52 0.02
 -------- 15:00 0.06 0.36 0.04 1.50 0.02
 -------- 16:00 0.07 0.36 0.05 1.49 0.01
 -------- 17:00 0.08 0.32 0.08 1.49 0.01
 -------- 18:00 0.09 0.27 0.11 1.51 0.01
 25.02.13 19:00 0.13 0.20 0.15 1.55 0.01
 -------- 20:00 0.10 0.28 0.09 1.52 0.01
 -------- 21:00 0.11 0.25 0.10 1.52 0.01
 -------- 22:00 0.09 0.13 0.15 1.52 0.01
 -------- 23:00 0.09 0.20 0.13 1.51 0.01
 26.02.13 00:00 0.11 0.17 0.14 1.58 0.01
 -------- 01:00 0.08 0.21 0.10 1.52 0.01
 -------- 02:00 0.07 0.23 0.09 1.53 0.00
 -------- 03:00 0.08 0.17 0.13 1.55 0.00
 -------- 04:00 0.07 0.22 0.09 1.53 0.00
 26.02.13 05:00 0.06 0.20 0.10 1.52 0.00
 -------- 06:00 0.07 0.21 0.10 1.53 0.00
 -------- 07:00 0.11 0.12 0.18 1.59 0.02
 -------- 08:00 0.11 0.09 0.22 1.61 0.04
 -------- 09:00 0.08 0.23 0.09 1.57 0.02
 26.02.13 10:00 0.08 0.18 0.14 1.58 0.04
 -------- 11:00 0.07 0.21 0.12 1.60 0.05
 -------- 12:00 0.06 0.31 0.05 1.56 0.03
 -------- 13:00 0.06 0.36 0.02 1.56 0.02
 -------- 14:00 0.06 0.35 0.04 1.56 0.02
 26.02.13 15:00 0.05 0.39 0.02 1.49 0.02
 -------- 16:00 0.04 0.44 0.01 1.44 0.01
 -------- 17:00 0.05 0.46 0.01 1.42 0.00
 -------- 18:00 0.08 0.37 0.05 1.48 0.00
 -------- 19:00 0.07 0.31 0.08 1.48 0.00
 26.02.13 20:00 0.09 0.23 0.13 1.49 0.01
 -------- 21:00 0.07 0.32 0.06 1.47 0.00
 -------- 22:00 0.06 0.37 0.03 1.46 0.00
