 Date Time CO OZ NO2 CHX NO
 02.12.12 00:00 0.16 ---- 0.08 1.69 0.12
 -------- 01:00 0.13 ---- 0.09 1.68 0.09
 -------- 02:00 0.13 ---- 0.08 1.72 0.09
 -------- 03:00 0.08 ---- 0.06 1.64 0.03
 -------- 04:00 0.08 ---- 0.06 1.64 0.03
 02.12.12 05:00 0.08 ---- 0.06 1.63 0.03
 -------- 06:00 0.08 ---- 0.06 1.56 0.03
 -------- 07:00 0.07 ---- 0.05 1.61 0.03
 -------- 08:00 0.07 ---- 0.07 1.63 0.04
 -------- 09:00 0.07 ---- 0.07 1.61 0.04
 02.12.12 10:00 0.07 0.01 0.07 1.58 0.03
 -------- 11:00 0.08 0.02 0.07 1.52 0.03
 -------- 12:00 0.07 0.04 0.07 1.52 0.03
 -------- 13:00 0.09 0.05 0.07 1.55 0.03
 -------- 14:00 0.08 0.03 0.08 1.52 0.03
 02.12.12 15:00 0.07 0.02 0.09 1.51 0.04
 -------- 16:00 0.07 0.03 0.10 1.50 0.03
 -------- 17:00 0.07 0.02 0.11 1.53 0.02
 -------- 18:00 0.09 ---- 0.14 1.53 0.06
 -------- 19:00 0.08 0.01 0.13 1.52 0.04
 02.12.12 20:00 0.05 0.09 0.06 1.48 0.02
 -------- 21:00 0.06 0.05 0.07 1.48 0.02
 -------- 22:00 0.06 0.05 0.09 1.48 0.02
 -------- 23:00 0.05 0.08 0.07 1.48 0.02
 -------- 00:00 0.06 0.07 0.07 1.48 0.02
 03.12.12 01:00 0.04 0.10 0.05 1.46 0.02
 -------- 02:00 0.04 0.12 0.06 1.46 0.01
 -------- 03:00 0.04 0.10 0.07 1.49 0.01
 -------- 04:00 0.05 0.07 0.09 1.48 0.01
 -------- 05:00 0.07 0.02 0.16 1.55 0.02
 03.12.12 06:00 0.08 ---- 0.17 1.63 0.04
 -------- 07:00 0.07 ---- 0.16 1.57 0.07
 -------- 08:00 0.09 ---- 0.21 1.68 0.10
 -------- 09:00 0.10 ---- 0.19 1.68 0.09
 -------- 10:00 0.11 ---- 0.20 1.63 0.14
 03.12.12 11:00 0.10 0.01 0.18 1.65 0.14
 -------- 12:00 0.10 0.01 0.17 1.68 0.13
 -------- 13:00 0.11 0.01 0.16 1.65 0.12
 -------- 14:00 0.09 0.02 0.16 1.57 0.12
 -------- 15:00 0.10 0.01 0.17 1.64 0.11
 03.12.12 16:00 0.10 0.01 0.16 1.57 0.08
 -------- 17:00 0.09 ---- 0.17 1.59 0.06
 -------- 18:00 0.09 ---- 0.16 1.59 0.06
 -------- 19:00 0.08 0.01 0.13 1.57 0.04
 -------- 20:00 0.06 0.04 0.12 1.56 0.03
 03.12.12 21:00 0.06 0.05 0.10 1.69 0.03
 -------- 22:00 0.07 0.05 0.13 1.60 0.03
 -------- 23:00 0.06 0.02 0.14 1.57 0.03
