 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 30.03.13 00:00 0.08 0.15 0.78 0.76 0.01 0.39 0.00 2.36 ----
 -------- 01:00 0.04 0.13 0.81 0.93 ---- 0.32 0.01 2.23 ----
 -------- 02:00 0.05 0.13 0.71 0.85 ---- 0.13 0.00 2.15 ----
 -------- 03:00 0.03 0.10 0.63 0.69 ---- 0.06 0.00 2.20 ----
 -------- 04:00 0.03 0.10 0.55 0.70 ---- 0.06 0.00 1.96 ----
 30.03.13 05:00 0.03 0.10 0.51 0.64 ---- 0.04 0.00 2.04 ----
 -------- 06:00 0.01 0.14 0.49 0.55 0.00 0.07 0.00 1.81 ----
 -------- 07:00 0.02 0.18 0.49 0.52 0.01 0.06 0.00 1.99 ----
 -------- 08:00 0.05 0.14 0.64 0.65 0.01 0.26 0.00 1.56 ----
 -------- 09:00 0.03 0.14 0.59 0.62 ---- 0.05 0.00 1.48 ----
 30.03.13 10:00 0.02 0.24 0.65 0.47 0.02 0.04 0.00 0.34 ----
 -------- 11:00 0.01 0.31 0.68 0.33 0.03 0.13 0.00 1.80 ----
 -------- 12:00 0.01 0.31 0.76 0.34 0.04 0.12 0.00 0.96 ----
 -------- 13:00 0.01 0.39 0.74 0.26 0.05 0.53 0.00 0.95 ----
 -------- 14:00 0.01 0.48 0.78 0.16 0.06 0.50 0.00 0.51 ----
 30.03.13 15:00 0.01 0.44 0.76 0.19 0.06 0.47 0.00 1.36 ----
 -------- 16:00 0.01 0.49 0.72 0.12 0.06 0.48 0.00 0.81 ----
 -------- 17:00 0.01 0.43 0.60 0.22 ---- 0.47 0.00 1.58 ----
 -------- 18:00 0.01 0.37 0.64 0.27 0.04 0.38 0.00 0.73 ----
 -------- 19:00 0.01 0.35 0.52 0.30 ---- 0.34 0.00 1.63 ----
 30.03.13 20:00 0.01 0.34 0.50 0.33 ---- 0.08 0.00 1.18 ----
 -------- 21:00 0.01 0.34 0.48 0.31 ---- 0.44 0.00 1.79 ----
 -------- 22:00 0.01 0.36 0.52 0.33 ---- 0.37 0.00 0.95 ----
 -------- 23:00 0.01 0.32 0.50 0.37 ---- 0.15 0.00 1.22 ----
 -------- 00:00 0.01 0.29 0.48 0.33 ---- 0.16 0.00 0.74 ----
 31.03.13 01:00 0.01 0.30 0.47 0.25 ---- 0.26 0.00 0.80 ----
 -------- 02:00 0.01 0.28 0.49 0.27 ---- 0.08 0.00 1.26 ----
 -------- 03:00 0.01 0.27 0.47 0.29 ---- 0.07 0.00 0.70 ----
 -------- 04:00 0.01 0.25 0.45 0.31 ---- 0.06 0.00 0.73 ----
 -------- 05:00 0.01 0.23 0.46 0.29 ---- 0.05 0.00 0.47 ----
 31.03.13 06:00 0.01 0.31 0.43 0.19 ---- 0.26 0.00 1.10 ----
 -------- 07:00 0.01 0.28 0.45 0.24 0.02 0.11 0.00 0.80 ----
 -------- 08:00 0.01 0.27 0.46 0.23 0.03 0.19 0.00 1.34 ----
 -------- 09:00 0.01 0.33 0.44 0.17 0.05 0.16 0.00 0.10 ----
 -------- 10:00 0.01 0.27 0.42 0.23 0.03 0.07 0.00 1.27 ----
 31.03.13 11:00 0.01 0.25 0.42 0.22 0.03 0.14 0.00 0.85 ----
 -------- 12:00 0.01 0.27 0.58 0.20 0.04 0.10 0.00 1.23 ----
 -------- 13:00 0.01 0.27 0.63 0.17 0.04 0.05 0.00 1.08 ----
 -------- 14:00 0.01 0.28 0.66 0.15 0.04 0.05 0.00 0.83 ----
 -------- 15:00 0.00 0.28 0.70 0.17 0.04 0.05 0.00 1.21 ----
 31.03.13 16:00 0.00 0.28 0.75 0.18 0.04 0.18 0.00 0.96 ----
 -------- 17:00 0.00 0.32 0.78 0.17 0.04 0.49 0.00 1.05 ----
 -------- 18:00 0.00 0.35 0.75 0.17 0.05 0.55 ---- 0.62 ----
 -------- 19:00 0.00 0.29 0.68 0.24 0.04 0.21 0.00 1.79 ----
 -------- 20:00 0.00 0.21 0.68 0.35 0.03 0.06 0.00 0.94 ----
 31.03.13 21:00 0.00 0.19 0.64 0.36 0.02 0.11 0.00 2.14 ----
 -------- 22:00 0.01 0.14 0.65 0.42 0.01 0.07 0.00 1.51 ----
 -------- 23:00 0.01 0.10 0.63 0.51 0.00 0.09 0.00 1.95 ----
 -------- 00:00 0.01 0.13 0.67 0.47 ---- 0.08 0.00 1.54 ----
