 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 02.03.13 12:00 0.01 0.30 0.09 0.19 0.03 0.24 0.00 ----
 -------- 13:00 0.01 0.28 0.16 0.23 0.03 0.06 0.00 ----
 -------- 14:00 0.01 0.29 0.13 0.24 0.03 0.07 0.00 ----
 -------- 15:00 0.01 0.28 0.12 0.25 0.03 0.05 0.00 ----
 -------- 16:00 0.01 0.29 0.11 0.23 0.02 0.14 0.00 ----
 02.03.13 17:00 0.01 0.30 0.12 0.24 0.03 0.14 0.00 ----
 -------- 18:00 0.01 0.29 0.13 0.27 0.03 0.10 0.00 ----
 -------- 19:00 0.01 0.22 0.13 0.36 0.01 0.08 0.00 ----
 -------- 20:00 0.01 0.21 0.16 0.36 0.03 0.08 0.00 ----
 -------- 21:00 0.01 0.23 0.14 0.34 0.01 0.07 0.00 ----
 02.03.13 22:00 0.01 0.19 0.17 0.37 0.02 0.08 0.00 ----
 -------- 23:00 0.01 0.15 0.17 0.43 ---- 0.08 0.00 ----
 -------- 00:00 0.01 0.12 0.24 0.51 ---- 0.08 0.00 ----
 -------- 01:00 0.01 0.11 0.25 0.56 ---- 0.08 0.00 ----
 -------- 02:00 0.01 0.10 0.21 0.54 ---- 0.08 0.00 ----
 03.03.13 03:00 0.01 0.10 0.24 0.53 ---- 0.08 0.00 ----
 -------- 04:00 0.01 0.12 0.24 0.57 ---- 0.08 0.00 ----
 -------- 05:00 0.01 0.12 0.21 0.55 ---- 0.09 0.00 ----
 -------- 06:00 0.01 0.12 0.21 0.56 ---- 0.07 0.00 ----
 -------- 07:00 0.02 0.12 0.18 0.52 ---- 0.07 0.00 ----
 03.03.13 08:00 0.02 0.14 0.19 0.49 ---- 0.08 0.00 ----
 -------- 09:00 0.03 0.20 0.15 0.37 ---- 0.10 0.00 ----
 -------- 10:00 0.04 0.25 0.11 0.31 ---- 0.07 0.00 ----
 -------- 11:00 0.02 0.25 0.14 0.33 ---- 0.07 0.00 ----
 -------- 12:00 0.02 0.24 0.14 0.35 0.03 0.06 0.00 ----
 03.03.13 13:00 0.01 0.29 0.11 0.28 ---- 0.10 0.00 ----
 -------- 14:00 0.03 0.28 0.11 0.31 0.02 0.09 0.00 0.00
 -------- 15:00 0.04 0.33 0.11 0.23 0.04 0.21 0.00 ----
 -------- 16:00 0.02 0.32 0.08 0.24 ---- 0.17 0.00 ----
 -------- 17:00 0.09 0.25 0.13 0.32 ---- 0.40 0.00 ----
 03.03.13 18:00 0.10 0.26 0.15 0.36 ---- 0.23 0.00 ----
 -------- 19:00 0.06 0.27 0.15 0.31 ---- 0.18 0.00 ----
 -------- 20:00 0.02 0.29 0.10 0.26 ---- 0.23 0.00 ----
 -------- 21:00 0.04 0.29 0.08 0.27 ---- 0.07 0.00 ----
 -------- 22:00 0.06 0.27 0.10 0.28 ---- 0.18 0.00 ----
 03.03.13 23:00 0.01 0.28 0.03 0.29 ---- 0.09 0.00 ----
 -------- 00:00 0.01 0.33 0.03 0.22 ---- 0.31 0.00 ----
 -------- 01:00 0.01 0.27 0.06 0.25 ---- 0.11 0.00 ----
 -------- 02:00 0.01 0.27 0.04 0.29 ---- 0.08 0.00 ----
 -------- 03:00 0.01 0.26 0.05 0.29 ---- 0.06 0.00 ----
 04.03.13 04:00 0.01 0.28 0.03 0.25 ---- 0.06 0.00 ----
 -------- 05:00 0.01 0.33 0.01 0.19 ---- 0.15 0.00 ----
 -------- 06:00 0.01 0.30 0.05 0.20 ---- 0.13 0.00 ----
 -------- 07:00 0.01 0.28 0.08 0.27 ---- 0.04 0.00 ----
 -------- 08:00 0.01 0.28 0.08 0.30 ---- 0.12 0.00 ----
 04.03.13 09:00 0.01 0.29 0.09 0.29 ---- 0.06 0.00 ----
 -------- 10:00 0.01 0.30 0.06 0.28 ---- 0.06 0.00 ----
 -------- 11:00 0.01 0.31 0.04 0.24 ---- 0.14 0.00 ----
