 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 04.02.13 00:00 0.01 0.23 0.10 0.17 0.03 0.11 0.00 ----
 -------- 01:00 0.01 0.22 0.07 0.17 0.02 0.20 0.00 ----
 -------- 02:00 0.01 0.21 0.06 0.17 0.02 0.17 0.00 ----
 -------- 03:00 0.01 0.22 0.03 0.17 0.01 0.10 0.00 ----
 -------- 04:00 0.01 0.16 0.08 0.22 0.01 0.11 0.00 ----
 04.02.13 05:00 0.01 0.14 0.06 0.27 0.00 0.12 0.00 ----
 -------- 06:00 0.01 0.09 0.10 0.32 ---- 0.12 0.00 ----
 -------- 07:00 0.02 0.09 0.08 0.34 ---- 0.09 0.00 ----
 -------- 08:00 0.02 0.09 0.12 0.38 ---- 0.11 0.00 ----
 -------- 09:00 0.02 0.10 0.15 0.45 ---- 0.16 0.00 ----
 04.02.13 10:00 0.02 0.10 0.12 0.46 ---- 0.27 0.00 ----
 -------- 11:00 0.01 0.10 0.13 0.38 ---- 0.11 0.00 ----
 -------- 12:00 0.01 0.09 0.23 0.40 ---- 0.11 0.00 ----
 -------- 13:00 0.01 0.09 0.21 0.32 ---- 0.13 0.00 ----
 -------- 14:00 0.01 0.10 0.23 0.26 ---- 0.11 0.00 ----
 04.02.13 15:00 0.01 0.08 0.22 0.26 ---- 0.10 0.00 ----
 -------- 16:00 0.01 0.10 0.23 0.26 ---- 0.13 0.00 ----
 -------- 17:00 0.01 0.11 0.35 0.23 ---- 0.15 0.00 ----
 -------- 18:00 0.01 0.13 0.23 0.20 ---- 0.13 0.00 ----
 -------- 19:00 0.00 0.11 0.17 0.18 ---- 0.17 0.00 ----
 04.02.13 20:00 0.00 0.15 0.18 0.17 ---- 0.09 0.00 ----
 -------- 21:00 0.00 0.18 0.18 0.18 ---- 0.09 0.00 ----
 -------- 22:00 0.00 0.18 0.19 0.17 ---- 0.09 0.00 ----
 -------- 23:00 0.00 0.14 0.18 0.19 ---- 0.10 0.00 ----
 -------- 00:00 0.00 0.15 0.17 0.17 ---- 0.09 0.00 ----
 05.02.13 01:00 0.00 0.17 0.19 0.15 0.01 0.09 0.00 ----
 -------- 02:00 0.00 0.20 0.17 0.12 0.02 0.09 0.00 ----
 -------- 03:00 0.00 0.23 0.17 0.13 0.03 0.13 0.00 ----
 -------- 04:00 0.00 0.26 0.15 0.14 0.03 0.23 0.00 ----
 -------- 05:00 0.00 0.21 0.18 0.16 0.02 0.08 0.00 ----
 05.02.13 06:00 0.00 0.19 0.19 0.19 0.02 0.08 0.00 ----
 -------- 07:00 0.00 0.18 0.16 0.21 0.02 0.08 0.00 ----
 -------- 08:00 0.00 0.17 0.20 0.23 0.01 0.08 0.00 ----
 -------- 09:00 0.00 0.17 0.27 0.33 0.01 0.09 0.00 ----
 -------- 10:00 0.01 0.16 0.24 0.39 ---- 0.13 0.00 ----
 05.02.13 11:00 0.01 0.18 0.18 0.33 0.01 0.09 0.00 ----
 -------- 12:00 0.01 0.19 0.17 0.33 0.01 0.09 0.00 ----
 -------- 13:00 0.01 0.20 0.14 0.30 0.02 0.10 0.00 ----
 -------- 14:00 0.01 0.21 0.20 0.28 0.01 0.09 0.00 ----
 -------- 15:00 0.01 0.21 0.17 0.27 0.01 0.13 0.00 ----
 05.02.13 16:00 0.01 0.20 0.14 0.26 0.01 0.09 0.00 ----
 -------- 17:00 0.01 0.22 0.13 0.27 ---- 0.11 0.00 ----
 -------- 18:00 0.01 0.18 0.15 0.31 0.00 0.11 0.00 ----
