 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 04.03.13 00:00 0.01 0.34 0.03 0.22 ---- 0.34 0.00 ----
 -------- 01:00 0.01 0.27 0.06 0.25 ---- 0.11 0.00 ----
 -------- 02:00 0.01 0.27 0.04 0.29 ---- 0.08 0.00 ----
 -------- 03:00 0.01 0.26 0.05 0.29 ---- 0.06 0.00 ----
 -------- 04:00 0.01 0.28 0.03 0.25 ---- 0.06 0.00 ----
 04.03.13 05:00 0.01 0.33 0.01 0.19 ---- 0.15 0.00 ----
 -------- 06:00 0.01 0.30 0.05 0.20 ---- 0.13 0.00 ----
 -------- 07:00 0.01 0.28 0.08 0.27 ---- 0.04 0.00 ----
 -------- 08:00 0.01 0.28 0.08 0.30 ---- 0.12 0.00 ----
 -------- 09:00 0.01 0.29 0.09 0.29 ---- 0.06 0.00 ----
 04.03.13 10:00 0.01 0.30 0.06 0.28 ---- 0.06 0.00 ----
 -------- 11:00 0.01 0.31 0.04 0.24 ---- 0.14 0.00 ----
 -------- 12:00 0.01 0.33 0.03 0.24 ---- 0.09 0.00 ----
 -------- 13:00 0.01 0.33 0.01 0.25 ---- 0.13 0.00 ----
 -------- 14:00 0.01 0.36 0.02 0.21 ---- 0.34 0.00 ----
 04.03.13 15:00 0.01 0.37 ---- 0.17 ---- 0.38 0.00 ----
 -------- 16:00 0.01 0.36 0.01 0.19 0.01 0.39 0.00 ----
 -------- 17:00 0.01 0.33 ---- 0.20 0.02 0.32 0.00 ----
 -------- 18:00 0.01 0.31 ---- 0.22 0.02 0.22 0.00 ----
 -------- 19:00 0.01 0.29 0.04 0.24 0.03 0.12 0.00 ----
 04.03.13 20:00 0.01 0.32 0.05 0.26 ---- 0.21 0.00 ----
 -------- 21:00 0.01 0.26 0.03 0.28 ---- 0.06 0.00 ----
 -------- 22:00 0.02 0.24 0.05 0.31 ---- 0.07 0.00 ----
 -------- 23:00 0.02 0.22 0.07 0.34 ---- 0.06 0.00 ----
 -------- 00:00 0.03 0.22 0.06 0.32 ---- 0.05 0.00 ----
 05.03.13 01:00 0.04 0.18 0.10 0.37 ---- 0.05 0.00 ----
 -------- 02:00 0.03 0.20 0.09 0.32 ---- 0.05 0.00 ----
 -------- 03:00 0.02 0.19 0.11 0.36 ---- 0.06 0.00 ----
 -------- 04:00 0.01 0.14 0.11 0.42 ---- 0.07 0.00 ----
 -------- 05:00 0.02 0.11 0.16 0.47 ---- 0.08 0.00 ----
 05.03.13 06:00 0.01 0.10 0.13 0.48 ---- 0.06 0.00 ----
 -------- 07:00 0.01 0.11 0.15 0.49 ---- 0.07 0.00 ----
 -------- 08:00 0.01 0.13 0.15 0.52 ---- 0.06 0.00 ----
 -------- 09:00 0.01 0.14 0.18 0.51 ---- 0.07 0.00 ----
 -------- 10:00 0.01 0.15 0.20 0.50 ---- 0.06 0.00 ----
 05.03.13 11:00 0.01 0.19 0.22 0.48 ---- 0.06 0.00 ----
 -------- 12:00 0.02 0.21 0.21 0.48 ---- 0.05 0.00 ----
 -------- 13:00 0.01 0.22 0.20 0.46 0.01 0.06 0.00 ----
 -------- 14:00 0.01 0.24 0.24 0.37 ---- 0.11 0.00 ----
 -------- 15:00 0.01 0.29 0.29 0.31 ---- 0.26 0.00 ----
 05.03.13 16:00 0.01 0.26 0.09 0.31 ---- 0.05 0.00 ----
 -------- 17:00 0.01 0.26 0.16 0.33 0.03 0.06 0.00 ----
 -------- 18:00 0.01 0.25 0.10 0.35 0.03 0.06 0.00 ----
 -------- 19:00 0.01 0.21 0.11 0.41 0.01 0.12 0.00 ----
 -------- 20:00 0.02 0.19 0.12 0.43 0.01 0.07 0.00 ----
 05.03.13 21:00 0.02 0.18 0.21 0.47 ---- 0.08 0.00 ----
 -------- 22:00 0.02 0.12 0.23 0.60 ---- 0.09 0.00 ----
 -------- 23:00 0.01 0.12 0.22 0.59 ---- 0.07 0.00 ----
