 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 18.02.13 00:00 0.01 0.25 0.13 0.24 0.03 0.12 0.00 ----
 -------- 01:00 0.01 0.26 0.11 0.21 0.03 0.07 0.00 ----
 -------- 02:00 0.01 0.27 0.10 0.19 0.03 0.06 0.00 ----
 -------- 03:00 0.01 0.25 0.13 0.23 0.03 0.08 0.00 ----
 -------- 04:00 0.01 0.25 0.11 0.25 0.02 0.07 0.00 ----
 18.02.13 05:00 0.01 0.25 0.13 0.25 0.02 0.07 0.00 ----
 -------- 06:00 0.01 0.23 0.12 0.27 0.03 0.07 0.00 ----
 -------- 07:00 0.01 0.22 0.12 0.28 0.02 0.09 0.00 ----
 -------- 08:00 0.01 0.18 0.11 0.34 0.02 0.07 0.00 ----
 -------- 09:00 0.01 0.18 0.13 0.35 0.00 0.08 0.00 ----
 18.02.13 10:00 0.01 0.20 0.17 0.33 0.01 0.08 0.00 ----
 -------- 11:00 0.01 0.17 0.17 0.37 0.01 0.07 0.00 ----
 -------- 12:00 0.01 0.16 0.16 0.38 0.01 0.12 0.00 ----
 -------- 13:00 0.01 0.17 0.16 0.38 0.01 0.08 0.00 ----
 -------- 14:00 0.01 0.18 0.15 0.36 0.01 0.08 0.00 ----
 18.02.13 15:00 0.01 0.18 0.10 0.32 0.02 0.08 0.00 ----
 -------- 16:00 0.01 0.20 0.14 0.32 0.01 0.08 0.00 ----
 -------- 17:00 0.01 0.19 0.12 0.29 0.01 0.08 0.00 ----
 -------- 18:00 0.01 0.19 0.15 0.30 0.01 0.09 0.00 ----
 -------- 19:00 0.01 0.17 0.11 0.33 0.01 0.09 0.00 ----
 18.02.13 20:00 0.01 0.16 0.13 0.35 0.02 0.09 0.00 ----
 -------- 21:00 0.01 0.15 0.16 0.38 0.01 0.08 0.00 ----
 -------- 22:00 0.01 0.12 0.12 0.38 ---- 0.08 0.00 ----
 -------- 23:00 0.01 0.11 0.12 0.40 0.01 0.09 0.00 ----
 -------- 00:00 0.01 0.12 0.15 0.39 0.00 0.09 0.00 ----
 19.02.13 01:00 0.01 0.11 0.12 0.38 0.00 0.08 0.00 ----
 -------- 02:00 0.01 0.11 0.12 0.38 0.00 0.09 0.00 ----
 -------- 03:00 0.01 0.12 0.12 0.37 0.01 0.09 0.00 ----
 -------- 04:00 0.01 0.16 0.13 0.34 ---- 0.08 0.00 ----
 -------- 05:00 0.01 0.18 0.13 0.31 0.01 0.07 0.00 ----
 19.02.13 06:00 0.01 0.17 0.15 0.32 0.02 0.08 0.00 ----
 -------- 07:00 0.01 0.14 0.14 0.35 0.01 0.08 0.00 ----
 -------- 08:00 0.01 0.12 0.15 0.41 ---- 0.08 0.00 ----
 -------- 09:00 0.01 0.12 0.14 0.42 ---- 0.08 0.00 ----
 -------- 10:00 0.01 0.15 0.15 0.37 0.01 0.08 0.00 ----
 19.02.13 11:00 0.01 0.21 0.15 0.32 0.01 0.07 0.00 ----
 -------- 12:00 0.01 0.24 0.10 0.24 0.02 0.07 0.00 ----
 -------- 13:00 0.01 0.25 0.11 0.24 0.03 0.07 0.00 ----
 -------- 14:00 0.01 0.26 0.17 0.26 0.03 0.07 0.00 ----
 -------- 15:00 0.01 0.25 0.13 0.30 0.03 0.07 0.00 ----
 19.02.13 16:00 0.01 0.24 0.07 0.28 0.02 0.11 0.00 ----
 -------- 17:00 0.01 0.24 0.09 0.27 0.03 0.07 0.00 ----
 -------- 18:00 0.01 0.22 0.09 0.31 0.01 0.08 0.00 ----
 -------- 19:00 0.01 0.18 0.08 0.36 0.01 0.09 0.00 ----
 -------- 20:00 0.01 0.18 0.10 0.38 0.00 0.06 0.00 ----
