 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 18.11.12 12:00 0.00 0.24 0.03 0.14 0.02 0.11 0.00 1.95 ----
 -------- 13:00 0.00 0.23 0.03 0.14 0.01 0.38 0.00 2.08 ----
 -------- 14:00 0.00 0.22 0.04 0.13 0.01 0.30 0.00 1.99 ----
 -------- 15:00 0.01 0.22 0.06 0.14 0.02 0.19 0.00 2.01 ----
 -------- 16:00 0.00 0.21 0.06 0.14 0.01 0.36 0.00 2.30 ----
 18.11.12 17:00 0.01 0.23 0.01 0.14 0.03 0.09 0.00 1.83 ----
 -------- 18:00 0.00 0.23 0.01 0.14 0.02 0.36 0.00 2.38 ----
 -------- 19:00 0.00 0.22 0.02 0.12 0.02 0.10 0.00 1.98 ----
 -------- 20:00 0.00 0.24 ---- 0.12 0.01 0.15 0.00 2.14 ----
 -------- 21:00 0.00 0.21 0.01 0.14 0.01 0.29 0.00 2.22 ----
 18.11.12 22:00 0.00 0.23 ---- 0.14 0.02 0.15 0.00 1.87 ----
 -------- 23:00 0.00 0.23 ---- 0.11 0.01 0.27 0.00 2.19 ----
 -------- 00:00 0.00 0.21 0.01 0.08 0.01 0.24 0.00 1.98 ----
 -------- 01:00 0.00 0.25 ---- 0.10 0.02 0.18 0.00 2.09 ----
 -------- 02:00 0.00 0.22 ---- 0.08 0.00 0.28 0.00 1.87 ----
 19.11.12 03:00 0.00 0.25 ---- 0.07 0.02 0.16 0.00 2.02 ----
 -------- 04:00 0.00 0.22 ---- 0.07 0.02 0.24 0.00 2.20 ----
 -------- 05:00 0.00 0.21 ---- 0.07 0.01 0.19 0.00 1.71 ----
 -------- 06:00 0.00 0.20 0.01 0.09 0.00 0.11 0.00 2.31 ----
 -------- 07:00 0.01 0.18 ---- 0.13 0.00 0.10 0.00 1.77 ----
 19.11.12 08:00 0.00 0.15 0.03 0.16 0.01 0.11 0.00 2.19 ----
 -------- 09:00 0.01 0.13 0.02 0.18 0.01 0.17 0.00 2.03 ----
 -------- 10:00 0.01 0.17 ---- 0.17 0.01 0.10 0.00 1.98 ----
 -------- 11:00 0.01 0.11 0.03 0.23 0.01 0.11 0.00 2.10 ----
 -------- 12:00 0.01 0.13 0.03 0.20 0.01 0.11 0.00 1.87 ----
 19.11.12 13:00 0.01 0.13 0.01 0.20 0.01 0.12 0.00 2.16 ----
 -------- 14:00 0.01 0.13 ---- 0.18 0.01 0.16 0.00 1.60 ----
 -------- 15:00 0.01 0.13 0.02 0.19 0.01 0.16 0.00 2.16 ----
 -------- 16:00 0.01 0.10 0.03 0.24 0.01 0.12 0.00 2.03 ----
 -------- 17:00 0.01 0.11 0.01 0.23 0.01 0.11 0.00 1.84 ----
 19.11.12 18:00 0.00 0.11 0.02 0.20 0.01 0.12 0.00 2.28 ----
 -------- 19:00 0.01 0.09 0.01 0.19 0.01 0.11 0.00 1.87 ----
 -------- 20:00 0.01 0.12 ---- 0.16 0.01 0.12 0.00 2.11 ----
 -------- 21:00 0.01 0.10 0.00 0.18 0.01 0.11 0.00 1.90 ----
 -------- 22:00 0.00 0.08 ---- 0.19 0.01 0.12 0.00 2.05 ----
 19.11.12 23:00 0.00 0.08 ---- 0.18 0.01 0.12 0.00 1.99 ----
 -------- 00:00 0.01 0.09 ---- 0.17 0.01 0.12 0.00 1.88 ----
 -------- 01:00 0.00 0.09 ---- 0.16 0.01 0.13 0.00 2.20 ----
 -------- 02:00 0.00 0.08 ---- 0.15 0.01 0.11 0.00 1.61 ----
 -------- 03:00 0.00 0.09 ---- 0.15 0.01 0.13 0.00 2.27 ----
 20.11.12 04:00 0.00 0.08 ---- 0.15 0.01 0.12 0.00 2.04 ----
 -------- 05:00 0.00 0.09 ---- 0.14 0.01 0.12 0.00 1.97 ----
 -------- 06:00 0.00 0.08 ---- 0.15 0.01 0.12 0.00 2.15 ----
 -------- 07:00 0.00 0.08 ---- 0.16 0.01 0.11 0.00 1.99 ----
 -------- 08:00 0.01 0.09 ---- 0.17 0.01 0.16 0.00 2.20 ----
 20.11.12 09:00 0.01 0.09 ---- 0.20 0.01 0.12 0.00 1.88 ----
 -------- 10:00 0.01 0.09 0.00 0.19 ---- 0.13 0.00 2.15 ----
 -------- 11:00 0.01 0.09 0.03 0.21 ---- 0.34 0.00 1.94 ----
