 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 20.11.12 12:00 0.01 0.08 ---- 0.19 0.01 0.21 0.00 2.04 ----
 -------- 13:00 0.01 0.10 0.07 0.21 ---- 0.39 0.00 2.29 ----
 -------- 14:00 0.01 0.09 0.16 0.24 0.01 0.59 0.00 1.79 ----
 -------- 15:00 0.01 0.11 0.13 0.24 0.01 0.24 0.00 2.42 ----
 -------- 16:00 0.01 0.12 0.11 0.26 0.02 0.15 0.00 2.10 ----
 20.11.12 17:00 0.01 0.14 0.10 0.23 0.01 0.11 0.00 2.29 ----
 -------- 18:00 0.00 0.12 0.09 0.24 0.01 0.15 0.00 2.08 ----
 -------- 19:00 0.00 0.13 0.07 0.22 0.01 0.26 0.00 2.11 ----
 -------- 20:00 0.00 0.14 0.12 0.21 0.01 0.12 0.00 2.21 ----
 -------- 21:00 0.00 0.13 0.08 0.20 0.01 0.15 0.00 1.92 ----
 20.11.12 22:00 0.00 0.13 0.11 0.22 0.02 0.12 0.00 2.39 ----
 -------- 23:00 0.00 0.15 0.07 0.18 0.01 0.24 0.00 1.61 ----
 -------- 00:00 0.00 0.18 0.10 0.16 0.01 0.10 0.00 2.35 ----
 -------- 01:00 0.01 0.17 0.08 0.17 0.01 0.15 0.00 2.19 ----
 -------- 02:00 0.00 0.18 0.07 0.15 0.01 0.14 0.00 1.99 ----
 21.11.12 03:00 0.00 0.20 0.06 0.11 0.01 0.18 0.00 2.28 ----
 -------- 04:00 0.00 0.20 0.02 0.11 0.01 0.22 0.00 1.94 ----
 -------- 05:00 0.01 0.22 0.03 0.12 0.03 0.15 0.00 2.26 ----
 -------- 06:00 0.01 0.14 0.01 0.24 0.00 0.09 0.00 1.86 ----
 -------- 07:00 0.01 0.13 0.05 0.26 0.01 0.12 0.00 2.30 ----
 21.11.12 08:00 0.01 0.10 0.04 0.33 0.01 0.11 0.00 1.81 ----
 -------- 09:00 0.01 0.07 0.07 0.34 0.01 0.16 0.00 1.96 ----
 -------- 10:00 0.01 0.09 0.12 0.32 ---- 0.17 0.00 2.34 ----
 -------- 11:00 0.01 0.09 0.09 0.29 0.01 0.17 0.00 1.78 ----
 -------- 12:00 0.01 0.10 0.10 0.29 0.00 0.22 0.00 2.36 ----
 21.11.12 13:00 0.01 0.11 0.10 0.27 0.01 0.44 0.00 1.99 ----
 -------- 14:00 0.01 0.09 0.10 0.28 ---- 0.51 0.00 2.16 ----
 -------- 15:00 0.01 0.11 0.07 0.26 0.00 0.12 0.00 2.11 ----
 -------- 16:00 0.01 0.09 0.08 0.26 0.01 0.22 0.00 2.05 ----
 -------- 17:00 0.01 0.10 0.09 0.27 ---- 0.20 0.00 2.20 ----
 21.11.12 18:00 0.01 0.09 0.08 0.26 0.01 0.11 0.00 1.89 ----
 -------- 19:00 0.01 0.08 0.09 0.30 0.01 0.23 0.00 2.32 ----
 -------- 20:00 0.02 0.09 0.09 0.28 0.01 0.21 0.00 1.79 ----
 -------- 21:00 0.01 0.10 0.06 0.29 0.01 0.16 0.00 2.23 ----
 -------- 22:00 0.01 0.09 0.08 0.28 0.00 0.11 0.00 2.20 ----
 21.11.12 23:00 0.01 0.10 0.08 0.28 0.01 0.16 0.00 2.04 ----
 -------- 00:00 0.01 0.09 0.08 0.26 0.01 0.16 0.00 2.30 ----
 -------- 01:00 0.01 0.12 0.09 0.25 0.01 0.12 0.00 2.04 ----
 -------- 02:00 0.01 0.10 0.06 0.25 0.01 0.16 0.00 2.34 ----
 -------- 03:00 0.01 0.10 0.06 0.26 0.01 0.11 0.00 2.07 ----
 22.11.12 04:00 0.01 0.10 0.05 0.25 0.01 0.12 0.00 2.18 ----
 -------- 05:00 0.01 0.07 0.04 0.25 0.01 0.15 0.00 1.97 ----
 -------- 06:00 0.01 0.08 0.05 0.23 0.01 0.11 0.00 1.96 ----
 -------- 07:00 0.01 0.08 0.05 0.25 0.00 0.21 0.00 2.35 ----
 -------- 08:00 0.01 0.09 0.06 0.26 0.00 0.12 0.00 1.81 ----
 22.11.12 09:00 0.02 0.10 0.09 0.29 ---- 0.16 0.00 2.25 ----
 -------- 10:00 0.01 0.08 0.09 0.29 ---- 0.36 0.00 2.09 ----
 -------- 11:00 0.01 0.10 0.12 0.30 0.00 0.18 0.00 2.20 ----
