 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 22.11.12 00:00 0.01 0.09 0.08 0.26 0.01 0.18 0.00 2.24 ----
 -------- 01:00 0.01 0.12 0.09 0.25 0.01 0.12 0.00 2.04 ----
 -------- 02:00 0.01 0.10 0.06 0.25 0.01 0.16 0.00 2.34 ----
 -------- 03:00 0.01 0.10 0.06 0.26 0.01 0.11 0.00 2.07 ----
 -------- 04:00 0.01 0.10 0.05 0.25 0.01 0.12 0.00 2.18 ----
 22.11.12 05:00 0.01 0.07 0.04 0.25 0.01 0.15 0.00 1.97 ----
 -------- 06:00 0.01 0.08 0.05 0.23 0.01 0.11 0.00 1.96 ----
 -------- 07:00 0.01 0.08 0.05 0.25 0.00 0.21 0.00 2.35 ----
 -------- 08:00 0.01 0.09 0.06 0.26 0.00 0.12 0.00 1.81 ----
 -------- 09:00 0.02 0.10 0.09 0.29 ---- 0.16 0.00 2.25 ----
 22.11.12 10:00 0.01 0.08 0.09 0.29 ---- 0.36 0.00 2.09 ----
 -------- 11:00 0.01 0.10 0.12 0.30 0.00 0.18 0.00 2.20 ----
 -------- 12:00 0.01 0.11 0.14 0.31 0.00 0.12 0.00 2.27 ----
 -------- 13:00 0.01 0.13 0.14 0.31 0.02 0.26 0.00 2.16 ----
 -------- 14:00 0.01 0.19 0.15 0.28 0.01 0.24 0.00 2.33 ----
 22.11.12 15:00 0.01 0.17 0.09 0.31 0.01 0.62 ---- 2.01 ----
 -------- 16:00 0.01 0.17 0.10 0.26 0.01 0.42 0.00 2.38 ----
 -------- 17:00 0.01 0.21 0.09 0.25 0.02 0.13 0.00 1.96 ----
 -------- 18:00 0.01 0.23 0.03 0.27 0.01 0.59 ---- 2.09 ----
 -------- 19:00 0.01 0.26 0.08 0.22 0.02 0.36 0.00 2.25 ----
 22.11.12 20:00 0.01 0.24 0.04 0.22 0.02 0.26 0.00 1.95 ----
 -------- 21:00 0.00 0.23 0.05 0.21 0.02 0.58 ---- 2.32 ----
 -------- 22:00 0.01 0.25 0.04 0.19 0.03 0.29 0.00 2.09 ----
 -------- 23:00 0.01 0.23 0.04 0.20 0.02 0.42 0.00 2.29 ----
 -------- 00:00 0.01 0.21 0.05 0.23 0.01 0.30 0.00 2.13 ----
 23.11.12 01:00 0.01 0.20 0.06 0.22 0.01 0.19 0.00 2.19 ----
 -------- 02:00 0.01 0.18 0.05 0.23 0.01 0.19 0.00 2.31 ----
 -------- 03:00 0.01 0.20 0.05 0.20 0.02 0.14 0.00 1.92 ----
 -------- 04:00 0.01 0.22 0.04 0.17 0.02 0.48 0.00 2.37 ----
 -------- 05:00 0.01 0.22 0.03 0.14 0.01 0.13 0.00 1.80 ----
 23.11.12 06:00 0.01 0.20 0.04 0.17 0.01 0.15 0.00 2.10 ----
 -------- 07:00 0.01 0.14 0.05 0.21 0.01 0.18 0.00 2.14 ----
 -------- 08:00 0.01 0.17 0.07 0.23 0.01 0.16 0.00 2.01 ----
 -------- 09:00 0.01 0.17 0.04 0.24 0.01 0.25 0.00 2.23 ----
 -------- 10:00 0.01 0.18 0.02 0.25 0.01 0.15 0.00 2.04 ----
 23.11.12 11:00 0.01 0.16 0.06 0.23 0.01 0.15 0.00 2.34 ----
 -------- 12:00 0.01 0.18 0.01 0.24 0.01 0.16 0.00 2.00 ----
 -------- 13:00 0.01 0.17 0.05 0.25 0.01 0.17 0.00 2.23 ----
 -------- 14:00 0.01 0.15 0.06 0.28 0.01 0.14 0.00 2.00 ----
 -------- 15:00 0.01 0.15 0.06 0.30 0.01 0.15 0.00 1.83 ----
 23.11.12 16:00 0.01 0.15 0.10 0.31 0.01 0.11 0.00 2.25 ----
 -------- 17:00 0.01 0.12 0.09 0.34 0.01 0.16 0.00 1.89 ----
 -------- 18:00 0.01 0.11 0.12 0.37 ---- 0.11 0.00 2.32 ----
 -------- 19:00 0.01 0.12 0.12 0.34 0.00 0.10 0.00 2.26 ----
 -------- 20:00 0.01 0.12 0.08 0.31 0.01 0.14 0.00 2.19 ----
 23.11.12 21:00 0.01 0.13 0.05 0.27 0.01 0.12 0.00 2.23 ----
 -------- 22:00 0.01 0.11 0.04 0.30 0.01 0.20 0.00 2.05 ----
 -------- 23:00 0.01 0.11 0.02 0.25 0.01 0.15 0.00 2.27 ----
