 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 29.12.12 00:00 0.01 0.20 0.07 0.15 0.03 0.10 0.00 1.98 ----
 -------- 01:00 0.01 0.22 0.08 0.13 0.03 0.14 0.00 2.24 ----
 -------- 02:00 0.00 0.24 0.08 0.13 0.03 0.10 0.00 2.00 ----
 -------- 03:00 0.01 0.27 0.06 0.13 0.04 0.13 0.00 2.15 ----
 -------- 04:00 0.01 0.26 0.06 0.12 0.04 0.20 0.00 2.21 ----
 29.12.12 05:00 0.01 0.24 0.05 0.13 0.03 0.27 0.00 1.87 ----
 -------- 06:00 0.01 0.23 0.08 0.14 0.03 0.35 0.00 2.49 ----
 -------- 07:00 0.01 0.23 0.09 0.15 0.03 0.09 0.00 1.92 ----
 -------- 08:00 0.01 0.23 0.10 0.15 0.04 0.15 0.00 2.31 ----
 -------- 09:00 0.01 0.22 0.11 0.19 0.02 0.10 0.00 2.33 ----
 29.12.12 10:00 0.00 0.20 0.11 0.22 0.03 0.13 0.00 1.90 ----
 -------- 11:00 0.00 0.18 0.14 0.22 0.02 0.14 0.00 2.30 ----
 -------- 12:00 0.00 0.18 0.13 0.20 0.01 0.10 0.00 1.93 ----
 -------- 13:00 0.00 0.23 0.14 0.17 0.03 0.10 0.00 2.06 ----
 -------- 14:00 0.00 0.23 0.11 0.16 0.03 0.09 0.00 1.87 ----
 29.12.12 15:00 0.00 0.20 0.11 0.18 0.03 0.10 0.00 1.86 ----
 -------- 16:00 0.00 0.21 0.10 0.17 0.03 0.09 0.00 2.05 ----
 -------- 17:00 0.00 0.20 0.13 0.16 0.02 0.09 0.00 1.85 ----
 -------- 18:00 0.00 0.20 0.15 0.18 0.03 0.10 0.00 2.27 ----
 -------- 19:00 0.00 0.20 0.11 0.18 0.02 0.08 0.00 1.48 ----
 29.12.12 20:00 0.00 0.19 0.13 0.16 0.02 0.10 0.00 2.22 ----
 -------- 21:00 0.00 0.19 0.14 0.17 0.02 0.08 0.00 1.88 ----
 -------- 22:00 0.00 0.20 0.15 0.17 0.02 0.09 0.00 2.06 ----
 -------- 23:00 0.00 0.24 0.09 0.13 0.03 0.09 0.00 1.74 ----
 -------- 00:00 0.00 0.21 0.11 0.14 0.03 0.09 0.00 2.07 ----
 30.12.12 01:00 0.00 0.22 0.10 0.13 0.02 0.08 0.00 1.75 ----
 -------- 02:00 0.00 0.23 0.10 0.11 0.02 0.09 0.00 1.94 ----
 -------- 03:00 0.00 0.21 0.13 0.13 0.03 0.09 0.00 1.69 ----
 -------- 04:00 0.00 0.24 0.10 0.11 0.02 0.08 0.00 1.94 ----
 -------- 05:00 0.00 0.23 0.10 0.11 0.03 0.08 0.00 1.73 ----
 30.12.12 06:00 0.00 0.21 0.11 0.14 0.02 0.09 0.00 1.77 ----
 -------- 07:00 0.00 0.20 0.11 0.15 0.03 0.09 0.00 1.58 ----
 -------- 08:00 0.00 0.17 0.12 0.17 0.02 0.09 0.00 1.59 ----
 -------- 09:00 0.00 0.16 0.11 0.17 0.01 0.09 0.00 1.97 ----
 -------- 10:00 0.00 0.16 0.23 0.18 0.01 0.09 0.00 1.28 ----
 30.12.12 11:00 0.00 0.16 0.13 0.18 0.01 0.09 0.00 1.76 ----
 -------- 12:00 0.00 0.17 0.14 0.18 0.01 0.08 0.00 1.37 ----
 -------- 13:00 0.00 0.18 0.14 0.18 0.01 0.09 0.00 1.90 ----
 -------- 14:00 0.00 0.17 0.12 0.19 0.02 0.08 0.00 1.72 ----
 -------- 15:00 0.00 0.17 0.25 0.20 0.02 0.09 0.00 1.91 ----
 30.12.12 16:00 0.00 0.15 0.19 0.23 0.01 0.08 0.00 0.96 ----
 -------- 17:00 0.00 0.15 0.17 0.25 0.01 0.10 0.00 1.99 ----
 -------- 18:00 0.00 0.13 0.15 0.27 0.01 0.09 0.00 1.54 ----
 -------- 19:00 0.00 0.10 0.15 0.29 ---- 0.09 0.00 1.73 ----
 -------- 20:00 0.00 0.11 0.13 0.27 0.00 0.09 0.00 1.68 ----
 30.12.12 21:00 0.01 0.11 0.16 0.29 ---- 0.09 0.00 1.55 ----
 -------- 22:00 0.01 0.11 0.15 0.31 ---- 0.10 0.00 1.81 ----
