 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 23.01.13 12:00 0.02 0.14 0.32 0.41 ---- 0.07 0.00 ---- ----
 -------- 13:00 0.01 0.20 0.17 0.31 0.01 0.08 0.00 ---- ----
 -------- 14:00 0.01 0.19 0.22 0.29 ---- 0.06 0.00 ---- ----
 -------- 15:00 0.01 0.20 0.19 0.29 ---- 0.06 0.00 1.14 ----
 -------- 16:00 0.01 0.19 0.15 0.31 ---- 0.07 0.00 1.33 ----
 23.01.13 17:00 0.01 0.14 0.13 0.36 ---- 0.07 0.00 0.90 ----
 -------- 18:00 0.01 0.14 0.18 0.39 ---- 0.08 0.00 1.41 ----
 -------- 19:00 0.01 0.13 0.45 0.41 ---- 0.08 0.00 0.87 ----
 -------- 20:00 0.01 0.11 0.25 0.42 ---- 0.08 0.00 1.63 ----
 -------- 21:00 0.01 0.13 0.22 0.41 ---- 0.07 0.00 0.93 ----
 23.01.13 22:00 0.01 0.14 0.27 0.43 ---- 0.08 0.00 1.80 ----
 -------- 23:00 0.01 0.12 0.17 0.47 ---- 0.08 0.00 1.25 ----
 -------- 00:00 0.01 0.11 0.15 0.46 ---- 0.11 0.00 1.48 ----
 -------- 01:00 0.02 0.14 0.17 0.44 ---- 0.11 0.00 ---- ----
 -------- 02:00 0.02 0.13 0.24 0.46 ---- 0.09 0.00 0.50 ----
 24.01.13 03:00 0.02 0.13 0.18 0.49 ---- 0.09 0.00 1.04 ----
 -------- 04:00 0.02 0.13 0.21 0.46 ---- 0.08 0.00 ---- ----
 -------- 05:00 0.01 0.11 0.14 0.44 ---- 0.11 0.00 ---- ----
 -------- 06:00 0.02 0.15 0.24 0.50 ---- 0.16 0.00 ---- ----
 -------- 07:00 0.01 0.10 0.15 0.46 ---- 0.14 0.00 ---- ----
 24.01.13 08:00 0.02 0.10 0.22 0.45 ---- 0.12 0.00 ---- ----
 -------- 09:00 0.02 0.09 0.26 0.48 ---- 0.09 0.00 1.47 ----
 -------- 10:00 0.02 0.11 0.18 0.45 ---- 0.09 0.00 1.46 ----
 -------- 11:00 0.01 0.14 0.14 0.39 ---- 0.10 0.00 1.20 ----
 -------- 12:00 0.01 0.19 0.11 0.32 ---- 0.09 0.00 1.79 ----
 24.01.13 13:00 0.01 0.18 0.14 0.33 ---- 0.09 0.00 1.07 ----
 -------- 14:00 0.01 0.17 0.14 0.29 ---- 0.08 0.00 1.73 ----
 -------- 15:00 0.01 0.21 0.15 0.29 ---- 0.09 0.00 1.20 ----
 -------- 16:00 0.01 0.18 0.16 0.29 ---- 0.08 0.00 1.46 ----
 -------- 17:00 0.01 0.18 0.15 0.30 ---- 0.08 0.00 0.82 ----
 24.01.13 18:00 0.00 0.22 0.14 0.24 ---- 0.08 0.00 0.95 ----
 -------- 19:00 0.00 0.23 0.17 0.21 ---- 0.07 0.00 0.79 ----
 -------- 20:00 0.00 0.21 0.11 0.25 ---- 0.08 0.00 1.42 ----
 -------- 21:00 0.00 0.17 0.14 0.28 ---- 0.07 0.00 0.73 ----
 -------- 22:00 0.01 0.18 0.19 0.28 ---- 0.08 0.00 1.93 ----
 24.01.13 23:00 0.00 0.20 0.12 0.22 ---- 0.07 0.00 0.81 ----
 -------- 00:00 0.01 0.24 0.26 0.21 ---- 0.11 0.00 1.53 ----
 -------- 01:00 0.01 0.22 0.12 0.28 ---- 0.07 0.00 0.85 ----
 -------- 02:00 0.01 0.19 0.14 0.30 ---- 0.08 0.00 1.46 ----
 -------- 03:00 0.01 0.18 0.12 0.28 ---- 0.07 0.00 0.99 ----
 25.01.13 04:00 0.01 0.20 0.10 0.25 0.02 0.11 0.00 1.51 ----
 -------- 05:00 0.01 0.21 0.14 0.24 ---- 0.08 0.00 1.08 ----
 -------- 06:00 0.01 0.21 0.12 0.26 ---- 0.09 0.00 1.20 ----
 -------- 07:00 0.01 0.17 0.13 0.29 ---- 0.07 0.00 0.66 ----
 -------- 08:00 0.01 0.14 0.13 0.35 ---- 0.08 0.00 2.00 ----
 25.01.13 09:00 0.01 0.17 0.16 0.33 ---- 0.11 0.00 1.14 ----
 -------- 10:00 0.01 0.20 0.16 0.32 ---- 0.07 0.00 1.05 ----
 -------- 11:00 0.01 0.20 0.17 0.31 ---- 0.07 0.00 0.66 ----
