 Date Time CO NO2 NO
 16.01.13 00:00 0.08 0.26 0.01
 -------- 01:00 0.08 0.33 0.03
 -------- 02:00 0.08 0.32 0.01
 -------- 03:00 0.08 0.34 0.02
 -------- 04:00 0.07 0.34 0.02
 16.01.13 05:00 0.06 0.32 0.02
 -------- 06:00 0.07 0.35 0.05
 -------- 07:00 0.08 0.42 0.11
 -------- 08:00 0.09 0.40 0.12
 -------- 09:00 0.10 0.35 0.08
 16.01.13 10:00 0.11 0.33 0.07
 -------- 11:00 0.12 0.32 0.09
 -------- 12:00 0.22 0.31 0.11
 -------- 13:00 0.13 0.33 0.13
 -------- 14:00 0.13 0.33 0.12
 16.01.13 15:00 0.13 0.32 0.13
 -------- 16:00 0.19 0.33 0.15
 -------- 17:00 0.17 0.35 0.18
 -------- 18:00 0.22 0.40 0.31
 -------- 19:00 0.19 0.38 0.24
 16.01.13 20:00 0.16 0.32 0.14
 -------- 21:00 0.14 0.31 0.12
 -------- 22:00 0.14 0.30 0.11
 -------- 23:00 0.11 0.29 0.07
 -------- 00:00 0.10 0.27 0.04
 17.01.13 01:00 0.08 0.25 0.04
 -------- 02:00 0.07 0.22 0.02
 -------- 03:00 0.06 0.19 0.01
 -------- 04:00 0.06 0.18 0.01
 -------- 05:00 0.06 0.16 0.01
 17.01.13 06:00 0.06 0.17 0.01
 -------- 07:00 0.07 0.21 0.03
 -------- 08:00 0.08 0.22 0.03
 -------- 09:00 0.08 0.24 0.04
 -------- 10:00 0.08 0.23 0.03
 17.01.13 11:00 0.08 0.22 0.04
 -------- 12:00 0.08 0.20 0.04
 -------- 13:00 0.09 0.18 0.04
 -------- 14:00 0.08 0.17 0.03
 -------- 15:00 0.08 0.19 0.04
 17.01.13 16:00 0.10 0.23 0.04
 -------- 17:00 0.10 0.22 0.04
 -------- 18:00 0.08 0.21 0.03
 -------- 19:00 0.08 0.20 0.01
 -------- 20:00 0.08 0.20 0.02
 17.01.13 21:00 0.08 0.20 0.01
 -------- 22:00 0.08 0.25 0.05
 -------- 23:00 0.07 0.23 0.04
 -------- 00:00 0.06 0.20 0.03
