 Date Time CO NO2 NO
 24.02.13 23:00 0.13 0.43 0.06
 -------- 00:00 0.14 0.43 0.06
 -------- 01:00 0.13 0.45 0.06
 -------- 02:00 0.12 0.42 0.06
 -------- 03:00 0.11 0.37 0.04
 25.02.13 04:00 0.10 0.38 0.04
 -------- 05:00 0.10 0.38 0.06
 -------- 06:00 0.10 0.39 0.08
 -------- 07:00 0.12 0.38 0.07
 -------- 16:00 0.06 0.15 0.02
 25.02.13 17:00 0.07 0.17 0.02
 -------- 18:00 0.07 0.19 0.01
 -------- 19:00 0.09 0.25 0.01
 -------- 20:00 0.10 0.39 0.01
 -------- 21:00 0.09 0.31 0.01
 25.02.13 22:00 0.08 0.28 0.01
 -------- 23:00 0.09 0.31 0.01
 -------- 00:00 0.10 0.43 0.03
 -------- 01:00 0.11 0.41 0.02
 -------- 02:00 0.11 0.41 0.04
 26.02.13 03:00 0.11 0.41 0.03
 -------- 04:00 0.12 0.41 0.05
 -------- 05:00 0.12 0.39 0.03
 -------- 06:00 0.11 0.39 0.05
 -------- 07:00 0.11 0.42 0.07
 26.02.13 08:00 0.15 0.44 0.08
 -------- 09:00 0.13 0.39 0.06
 -------- 10:00 0.13 0.38 0.10
 -------- 11:00 0.13 0.37 0.12
 -------- 12:00 0.10 0.31 0.08
 26.02.13 13:00 0.10 0.27 0.06
 -------- 14:00 0.09 0.27 0.06
 -------- 15:00 0.07 0.19 0.03
 -------- 16:00 0.06 0.18 0.02
 -------- 17:00 0.05 0.17 0.02
 26.02.13 18:00 0.06 0.22 0.02
 -------- 19:00 0.07 0.24 0.01
 -------- 20:00 0.08 0.31 0.01
 -------- 21:00 0.08 0.29 0.01
 -------- 22:00 0.08 0.28 0.01
