 Date Time CO NO2 NO
 07.01.13 00:00 0.06 0.14 0.02
 -------- 01:00 0.04 0.11 0.01
 -------- 02:00 0.04 0.09 0.01
 -------- 03:00 0.04 0.09 0.01
 -------- 04:00 0.04 0.09 0.01
 07.01.13 05:00 0.04 0.08 0.01
 -------- 06:00 0.04 0.09 0.01
 -------- 07:00 0.04 0.09 0.01
 -------- 08:00 0.06 0.10 0.01
 -------- 09:00 0.06 0.12 0.01
 07.01.13 10:00 0.06 0.12 0.01
 -------- 11:00 0.06 0.12 0.02
 -------- 12:00 0.06 0.11 0.02
 -------- 13:00 0.06 0.10 0.02
 -------- 14:00 0.06 0.11 0.02
 07.01.13 15:00 0.06 0.10 0.02
 -------- 16:00 0.06 0.11 0.02
 -------- 17:00 0.06 0.10 0.02
 -------- 18:00 0.07 0.14 0.02
 -------- 19:00 0.06 0.13 0.01
 07.01.13 20:00 0.06 0.10 0.01
 -------- 21:00 0.06 0.12 0.01
 -------- 22:00 0.06 0.12 0.01
 -------- 23:00 0.06 0.10 0.01
 -------- 00:00 0.06 0.10 0.01
 08.01.13 01:00 0.06 0.08 0.01
 -------- 02:00 0.06 0.07 0.01
 -------- 03:00 0.06 0.07 0.01
 -------- 04:00 0.07 0.08 0.01
 -------- 05:00 0.06 0.09 0.01
 08.01.13 06:00 0.07 0.07 0.01
 -------- 07:00 0.08 0.10 0.01
 -------- 08:00 0.08 0.13 0.02
 -------- 09:00 0.09 0.16 0.03
 -------- 10:00 0.09 0.15 0.03
 08.01.13 11:00 0.08 0.13 0.03
 -------- 12:00 0.09 0.13 0.04
 -------- 13:00 0.10 0.13 0.04
 -------- 14:00 0.08 0.14 0.05
 -------- 15:00 0.08 0.15 0.04
 08.01.13 16:00 0.08 0.16 0.05
 -------- 17:00 0.09 0.18 0.05
 -------- 18:00 0.10 0.19 0.06
 -------- 19:00 0.09 0.18 0.04
 -------- 20:00 0.09 0.19 0.03
 08.01.13 21:00 0.09 0.20 0.04
 -------- 22:00 0.09 0.20 0.03
 -------- 23:00 0.09 0.21 0.04
