 Date Time CO NO2 NO
 13.02.13 12:00 0.12 0.36 0.14
 -------- 13:00 0.12 0.35 0.15
 -------- 14:00 0.11 0.34 0.12
 -------- 15:00 0.09 0.32 0.09
 -------- 16:00 0.08 0.36 0.11
 13.02.13 17:00 0.08 0.37 0.10
 -------- 18:00 0.08 0.40 0.07
 -------- 19:00 0.08 0.37 0.05
 -------- 20:00 0.07 0.29 0.02
 -------- 21:00 0.08 0.26 0.02
 13.02.13 22:00 0.08 0.27 0.01
 -------- 23:00 0.09 0.38 0.04
 -------- 00:00 0.09 0.35 0.03
 -------- 01:00 0.08 0.34 0.02
 -------- 02:00 0.11 0.40 0.13
 14.02.13 03:00 0.10 0.39 0.09
 -------- 04:00 0.10 0.38 0.08
 -------- 05:00 0.10 0.37 0.08
 -------- 06:00 0.10 0.36 0.08
 -------- 07:00 0.10 0.35 0.08
 14.02.13 17:00 0.12 0.36 0.07
 -------- 18:00 0.13 0.42 0.08
 -------- 19:00 0.12 0.37 0.05
 -------- 20:00 0.10 0.27 0.01
 -------- 21:00 0.10 0.33 0.02
 14.02.13 22:00 0.13 0.39 0.06
 -------- 23:00 0.14 0.41 0.10
 -------- 00:00 0.15 0.40 0.11
 -------- 01:00 0.16 0.40 0.14
 -------- 02:00 0.15 0.40 0.12
 15.02.13 03:00 0.13 0.39 0.12
 -------- 04:00 0.12 0.37 0.10
 -------- 05:00 0.12 0.39 0.14
 -------- 06:00 0.12 0.38 0.12
 -------- 07:00 0.11 0.38 0.12
 15.02.13 08:00 0.11 0.38 0.12
 -------- 09:00 0.13 0.40 0.14
 -------- 10:00 0.14 0.41 0.16
 -------- 11:00 0.17 0.42 0.21
