 Date Time CO NO2 NO
 19.12.12 00:00 0.06 0.28 0.08
 -------- 01:00 0.05 0.29 0.07
 -------- 02:00 0.05 0.28 0.06
 -------- 03:00 0.06 0.30 0.08
 -------- 04:00 0.06 0.28 0.07
 19.12.12 05:00 0.07 0.30 0.12
 -------- 06:00 0.07 0.29 0.11
 -------- 07:00 0.07 0.29 0.12
 -------- 08:00 0.10 0.30 0.16
 -------- 09:00 0.09 0.29 0.13
 19.12.12 10:00 0.09 0.27 0.11
 -------- 11:00 0.08 0.27 0.14
 -------- 12:00 0.09 0.24 0.14
 -------- 13:00 0.11 0.31 0.21
 -------- 14:00 0.12 0.38 0.26
 19.12.12 15:00 0.11 0.34 0.23
 -------- 16:00 0.15 0.33 0.23
 -------- 17:00 0.12 0.34 0.21
 -------- 18:00 0.13 0.39 0.27
 -------- 19:00 0.13 0.40 0.24
 19.12.12 20:00 0.08 0.36 0.16
 -------- 21:00 0.09 0.39 0.15
 -------- 22:00 0.08 0.34 0.08
 -------- 23:00 0.09 0.35 0.13
 -------- 00:00 0.08 0.34 0.11
 20.12.12 01:00 0.08 0.32 0.07
 -------- 02:00 0.08 0.31 0.07
 -------- 03:00 0.08 0.31 0.09
 -------- 04:00 0.08 0.32 0.11
 -------- 05:00 0.09 0.32 0.13
 20.12.12 06:00 0.10 0.35 0.18
 -------- 07:00 0.10 0.32 0.15
 -------- 08:00 0.13 0.38 0.23
 -------- 09:00 0.15 0.40 0.26
 -------- 10:00 0.17 0.41 0.32
 20.12.12 11:00 0.18 0.40 0.39
 -------- 12:00 0.19 0.38 0.29
 -------- 13:00 0.21 0.38 0.29
 -------- 14:00 0.25 0.46 0.41
 -------- 15:00 0.26 0.49 0.49
 20.12.12 16:00 0.24 0.42 0.35
 -------- 17:00 0.22 0.38 0.29
 -------- 18:00 0.18 0.36 0.22
 -------- 19:00 0.19 0.37 0.24
 -------- 20:00 0.20 0.37 0.24
 20.12.12 21:00 0.18 0.35 0.21
 -------- 22:00 0.18 0.34 0.22
 -------- 23:00 0.19 0.34 0.23
