 Date Time CO NO2 NO
 15.04.13 00:00 0.12 0.58 0.06
 -------- 01:00 0.10 0.42 0.01
 -------- 02:00 0.08 0.36 0.05
 -------- 03:00 0.08 0.36 0.01
 -------- 04:00 0.08 0.39 0.02
 15.04.13 05:00 0.08 0.37 0.04
 -------- 06:00 0.08 0.41 0.05
 -------- 07:00 0.09 0.40 0.07
 -------- 08:00 0.11 0.41 0.18
 -------- 09:00 0.14 0.48 0.19
 15.04.13 10:00 0.14 0.43 0.11
 -------- 11:00 0.14 0.44 0.10
 -------- 12:00 0.13 0.35 0.05
 -------- 13:00 0.10 0.26 0.03
 -------- 14:00 0.09 0.25 0.02
 15.04.13 15:00 0.08 0.22 0.02
 -------- 16:00 0.07 0.19 0.02
 -------- 17:00 0.06 0.13 0.01
 -------- 18:00 0.07 0.15 0.01
 -------- 19:00 0.07 0.15 0.01
 15.04.13 20:00 0.08 0.25 0.01
 -------- 21:00 0.13 0.43 0.02
 -------- 22:00 0.17 0.53 0.02
 -------- 23:00 0.18 0.59 0.05
 -------- 00:00 0.19 0.64 0.16
 16.04.13 01:00 0.24 0.57 0.24
 -------- 02:00 0.21 0.55 0.21
 -------- 03:00 0.20 0.54 0.23
 -------- 04:00 0.18 0.50 0.24
 -------- 05:00 0.17 0.52 0.27
 16.04.13 06:00 0.16 0.45 0.21
 -------- 07:00 0.17 0.44 0.25
 -------- 08:00 0.17 0.56 0.26
 -------- 09:00 0.15 0.52 0.14
 -------- 10:00 0.11 0.40 0.06
 16.04.13 11:00 0.12 0.41 0.06
 -------- 12:00 0.11 0.38 0.05
 -------- 13:00 0.08 0.25 0.03
 -------- 14:00 0.07 0.11 0.01
 -------- 15:00 0.06 0.10 0.01
 16.04.13 16:00 0.06 0.09 0.01
 -------- 17:00 0.06 0.12 0.01
 -------- 18:00 0.05 0.09 0.01
 -------- 19:00 0.06 0.09 0.01
 -------- 20:00 0.07 0.13 0.01
 16.04.13 21:00 0.10 0.32 0.01
 -------- 22:00 0.11 0.34 0.02
 -------- 23:00 0.13 0.42 0.03
