 Date Time CO NO2 NO
 01.03.13 12:00 0.08 0.16 0.03
 -------- 13:00 0.08 0.15 0.02
 -------- 14:00 0.08 0.15 0.03
 -------- 15:00 0.07 0.15 0.02
 -------- 16:00 0.06 0.16 0.02
 01.03.13 17:00 0.06 0.13 0.01
 -------- 18:00 0.06 0.12 0.01
 -------- 19:00 0.06 0.13 0.01
 -------- 20:00 0.06 0.12 0.01
 -------- 21:00 0.06 0.13 0.01
 01.03.13 22:00 0.06 0.12 0.01
 -------- 23:00 0.05 0.13 0.01
 -------- 00:00 0.06 0.16 0.02
 -------- 01:00 0.05 0.12 0.01
 -------- 02:00 0.06 0.12 0.01
 02.03.13 03:00 0.05 0.09 0.01
 -------- 04:00 0.04 0.07 0.01
 -------- 05:00 0.05 0.11 0.01
 -------- 06:00 0.04 0.11 0.01
 -------- 07:00 0.04 0.10 0.01
 02.03.13 08:00 0.04 0.13 0.01
 -------- 09:00 0.06 0.13 0.01
 -------- 10:00 0.05 0.12 0.02
 -------- 11:00 0.06 0.13 0.03
 -------- 12:00 0.06 0.12 0.03
 02.03.13 13:00 0.06 0.10 0.02
 -------- 14:00 0.06 0.12 0.02
 -------- 15:00 0.06 0.10 0.02
 -------- 16:00 0.06 0.12 0.02
 -------- 17:00 0.06 0.13 0.02
 02.03.13 18:00 0.06 0.15 0.02
 -------- 19:00 0.06 0.20 0.01
 -------- 20:00 0.09 0.33 0.03
 -------- 21:00 0.11 0.41 0.03
 -------- 22:00 0.13 0.43 0.09
 02.03.13 23:00 0.16 0.47 0.27
 -------- 00:00 0.19 0.47 0.33
 -------- 01:00 0.19 0.44 0.27
 -------- 02:00 0.18 0.40 0.21
 -------- 03:00 0.19 0.41 0.32
 03.03.13 04:00 0.19 0.38 0.22
 -------- 05:00 0.18 0.39 0.20
 -------- 06:00 0.18 0.42 0.24
 -------- 07:00 0.19 0.37 0.21
 -------- 08:00 0.21 0.37 0.25
 03.03.13 09:00 0.18 0.38 0.21
 -------- 10:00 0.13 0.37 0.14
 -------- 11:00 0.09 0.22 0.05
 -------- 12:00 0.06 0.17 0.03
