 Date Time CO NO2 NO
 24.03.13 12:00 0.06 0.14 0.02
 -------- 13:00 0.06 0.13 0.02
 -------- 14:00 0.06 0.12 0.02
 -------- 15:00 0.06 0.12 0.02
 -------- 16:00 0.06 0.13 0.02
 24.03.13 17:00 0.06 0.13 0.02
 -------- 18:00 0.06 0.13 0.01
 -------- 19:00 0.06 0.12 0.01
 -------- 20:00 0.06 0.12 0.01
 -------- 21:00 0.06 0.13 0.01
 24.03.13 22:00 0.06 0.15 0.01
 -------- 23:00 0.06 0.14 0.01
 -------- 00:00 0.06 0.13 0.01
 -------- 01:00 0.06 0.11 0.01
 -------- 02:00 0.06 0.13 0.01
 25.03.13 03:00 0.06 0.14 0.01
 -------- 04:00 0.06 0.17 0.01
 -------- 05:00 0.06 0.18 0.02
 -------- 06:00 0.06 0.16 0.01
 -------- 07:00 0.06 0.13 0.01
 25.03.13 08:00 0.06 0.14 0.01
 -------- 09:00 0.07 0.16 0.02
 -------- 10:00 0.06 0.16 0.03
 -------- 11:00 0.06 0.13 0.03
 -------- 12:00 0.06 0.13 0.03
 25.03.13 13:00 0.06 0.10 0.02
 -------- 14:00 0.06 0.12 0.02
 -------- 15:00 0.06 0.14 0.03
 -------- 16:00 0.06 0.18 0.04
 -------- 17:00 0.06 0.16 0.03
 25.03.13 18:00 0.06 0.14 0.02
 -------- 19:00 0.08 0.21 0.02
 -------- 20:00 0.07 0.24 0.01
 -------- 21:00 0.06 0.17 0.01
 -------- 22:00 0.06 0.15 0.01
 25.03.13 23:00 0.06 0.15 0.01
 -------- 00:00 0.06 0.16 0.01
 -------- 01:00 0.06 0.16 0.01
 -------- 02:00 0.05 0.15 0.01
 -------- 03:00 0.04 0.14 0.01
 26.03.13 04:00 0.05 0.15 0.01
 -------- 05:00 0.05 0.16 0.01
 -------- 06:00 0.06 0.19 0.01
 -------- 07:00 0.07 0.24 0.02
 -------- 08:00 0.09 0.27 0.03
 26.03.13 09:00 0.08 0.18 0.03
 -------- 10:00 0.07 0.14 0.03
 -------- 11:00 0.06 0.12 0.03
