 Date Time CO NO2 NO
 21.01.13 00:00 0.09 0.28 0.09
 -------- 01:00 0.08 0.27 0.07
 -------- 02:00 0.11 0.26 0.07
 -------- 03:00 0.11 0.24 0.05
 -------- 04:00 0.11 0.25 0.06
 21.01.13 05:00 0.11 0.24 0.07
 -------- 06:00 0.11 0.24 0.06
 -------- 07:00 0.11 0.25 0.09
 -------- 08:00 0.17 0.28 0.17
 -------- 09:00 0.15 0.27 0.12
 21.01.13 10:00 0.13 0.23 0.10
 -------- 11:00 0.12 0.18 0.08
 -------- 12:00 0.10 0.14 0.07
 -------- 13:00 0.09 0.16 0.09
 -------- 14:00 0.08 0.13 0.06
 21.01.13 15:00 0.08 0.14 0.05
 -------- 16:00 0.10 0.19 0.06
 -------- 17:00 0.10 0.23 0.07
 -------- 18:00 0.10 0.27 0.08
 -------- 19:00 0.11 0.29 0.06
 21.01.13 20:00 0.12 0.28 0.04
 -------- 21:00 0.11 0.25 0.03
 -------- 22:00 0.10 0.24 0.03
 -------- 23:00 0.09 0.26 0.04
 -------- 00:00 0.08 0.25 0.02
 22.01.13 01:00 0.07 0.25 0.02
 -------- 02:00 0.06 0.25 0.02
 -------- 03:00 0.06 0.24 0.02
 -------- 04:00 0.06 0.22 0.01
 -------- 05:00 0.06 0.25 0.01
 22.01.13 06:00 0.07 0.26 0.02
 -------- 07:00 0.08 0.30 0.04
