 Date Time CO NO2 NO
 23.01.13 16:00 0.06 0.17 0.02
 -------- 17:00 0.08 0.26 0.04
 -------- 18:00 0.09 0.34 0.05
 -------- 19:00 0.10 0.34 0.05
 -------- 20:00 0.11 0.35 0.08
 23.01.13 21:00 0.14 0.36 0.14
 -------- 22:00 0.14 0.38 0.18
 -------- 23:00 0.16 0.37 0.21
 -------- 00:00 0.18 0.38 0.24
 -------- 01:00 0.19 0.38 0.27
 24.01.13 02:00 0.17 0.36 0.25
 -------- 03:00 0.16 0.36 0.24
 -------- 04:00 0.17 0.39 0.35
 -------- 05:00 0.18 0.37 0.31
 -------- 06:00 0.17 0.38 0.30
 24.01.13 07:00 0.18 0.38 0.30
 -------- 08:00 0.18 0.39 0.27
 -------- 09:00 0.16 0.37 0.22
 -------- 10:00 0.14 0.38 0.21
 -------- 11:00 0.12 0.34 0.13
 24.01.13 12:00 0.08 0.26 0.07
 -------- 13:00 0.06 0.20 0.04
 -------- 14:00 0.04 0.16 0.03
 -------- 15:00 0.04 0.14 0.02
 -------- 16:00 0.04 0.18 0.03
 24.01.13 17:00 0.04 0.14 0.01
 -------- 18:00 0.03 0.13 0.01
 -------- 19:00 0.02 0.11 0.01
 -------- 20:00 0.05 0.17 0.01
 -------- 21:00 0.07 0.26 0.01
 24.01.13 22:00 0.06 0.21 0.01
 -------- 23:00 0.07 0.21 0.01
 -------- 00:00 0.06 0.21 0.01
