 Date Time CO NO2 NO
 12.01.13 12:00 0.12 0.20 0.07
 -------- 13:00 0.13 0.24 0.13
 -------- 14:00 0.17 0.27 0.16
 -------- 15:00 0.21 0.30 0.24
 -------- 16:00 0.21 0.31 0.24
 12.01.13 17:00 0.20 0.30 0.22
 -------- 18:00 0.21 0.30 0.22
 -------- 19:00 0.21 0.30 0.23
 -------- 20:00 0.17 0.28 0.19
 -------- 21:00 0.21 0.29 0.26
 12.01.13 22:00 0.24 0.31 0.31
 -------- 23:00 0.23 0.34 0.33
 -------- 00:00 0.23 0.36 0.28
 -------- 01:00 0.17 0.27 0.12
 -------- 02:00 0.15 0.25 0.15
 13.01.13 03:00 0.14 0.23 0.13
 -------- 04:00 0.13 0.21 0.09
 -------- 05:00 0.09 0.18 0.03
 -------- 06:00 0.07 0.13 0.01
 -------- 07:00 0.06 0.10 0.01
 13.01.13 08:00 0.06 0.13 0.01
 -------- 09:00 0.08 0.18 0.02
 -------- 10:00 0.08 0.17 0.02
 -------- 11:00 0.08 0.14 0.03
 -------- 12:00 0.08 0.13 0.03
 13.01.13 13:00 0.08 0.13 0.03
 -------- 14:00 0.08 0.13 0.03
 -------- 15:00 0.08 0.13 0.02
 -------- 16:00 0.06 0.10 0.01
 -------- 17:00 0.06 0.09 0.01
 13.01.13 18:00 0.06 0.12 0.01
 -------- 19:00 0.06 0.12 0.01
 -------- 20:00 0.07 0.14 0.01
 -------- 21:00 0.06 0.10 0.01
 -------- 22:00 0.06 0.12 0.01
 13.01.13 23:00 0.06 0.13 0.01
 -------- 00:00 0.06 0.11 0.01
 -------- 01:00 0.06 0.09 0.01
 -------- 02:00 0.06 0.09 0.01
 -------- 03:00 0.06 0.11 0.01
 14.01.13 04:00 0.06 0.12 0.01
 -------- 05:00 0.06 0.11 0.01
 -------- 06:00 0.06 0.12 0.01
 -------- 07:00 0.06 0.14 0.01
 -------- 08:00 0.07 0.17 0.01
 14.01.13 09:00 0.09 0.23 0.03
 -------- 10:00 0.09 0.21 0.04
 -------- 11:00 0.08 0.22 0.05
