 Date Time CO NO2 NO
 07.04.13 12:00 0.04 0.09 0.01
 -------- 13:00 0.06 0.10 0.01
 -------- 14:00 0.06 0.10 0.01
 -------- 15:00 0.06 0.12 0.01
 -------- 16:00 0.06 0.11 0.01
 07.04.13 17:00 0.06 0.11 0.01
 -------- 18:00 0.06 0.10 0.01
 -------- 19:00 0.06 0.13 0.01
 -------- 20:00 0.06 0.17 0.01
 -------- 21:00 0.07 0.23 0.01
 07.04.13 22:00 0.09 0.31 0.01
 -------- 23:00 0.09 0.33 0.02
 -------- 00:00 0.09 0.38 0.02
 -------- 01:00 0.14 0.50 0.21
 -------- 02:00 0.16 0.50 0.28
 08.04.13 03:00 0.12 0.40 0.09
 -------- 04:00 0.14 0.38 0.15
 -------- 05:00 0.12 0.36 0.12
 -------- 06:00 0.13 0.35 0.21
 -------- 07:00 0.17 0.37 0.29
 08.04.13 08:00 0.21 0.37 0.27
 -------- 09:00 0.24 0.44 0.36
 -------- 10:00 0.20 0.46 0.24
 -------- 11:00 0.13 0.30 0.08
 -------- 12:00 0.07 0.19 0.03
 08.04.13 13:00 0.05 0.10 0.01
 -------- 14:00 0.04 0.08 0.01
 -------- 15:00 0.02 0.08 0.01
 -------- 16:00 0.03 0.07 0.01
 -------- 17:00 0.04 0.09 0.01
 08.04.13 18:00 0.04 0.09 0.01
 -------- 19:00 0.04 0.10 0.01
 -------- 20:00 0.05 0.25 0.01
 -------- 21:00 0.10 0.54 0.03
 -------- 22:00 0.13 0.55 0.07
 08.04.13 23:00 0.12 0.54 0.12
 -------- 00:00 0.14 0.52 0.14
 -------- 01:00 0.19 0.52 0.27
 -------- 02:00 0.18 0.51 0.26
 -------- 03:00 0.18 0.49 0.26
 09.04.13 04:00 0.19 0.48 0.29
 -------- 05:00 0.18 0.44 0.25
 -------- 06:00 0.19 0.45 0.26
 -------- 07:00 0.22 0.43 0.36
 -------- 08:00 0.29 0.52 0.56
 09.04.13 09:00 0.23 0.53 0.35
 -------- 10:00 0.11 0.38 0.08
 -------- 11:00 0.09 0.27 0.04
