 Date Time CO NO2 NO
 28.01.13 00:00 0.15 0.38 0.16
 -------- 01:00 0.13 0.38 0.10
 -------- 02:00 0.15 0.36 0.14
 -------- 03:00 0.15 0.38 0.18
 -------- 04:00 0.13 0.38 0.17
 28.01.13 05:00 0.11 0.37 0.10
 -------- 06:00 0.08 0.36 0.05
 -------- 07:00 0.08 0.39 0.07
 -------- 08:00 0.10 0.41 0.13
 -------- 09:00 0.13 0.44 0.17
 28.01.13 10:00 0.13 0.41 0.18
 -------- 11:00 0.13 0.39 0.16
 -------- 12:00 0.13 0.39 0.16
 -------- 13:00 0.13 0.37 0.16
 -------- 14:00 0.09 0.27 0.06
 28.01.13 15:00 0.08 0.25 0.05
 -------- 16:00 0.09 0.27 0.05
 -------- 17:00 0.09 0.31 0.05
 -------- 18:00 0.08 0.30 0.02
 -------- 19:00 0.09 0.34 0.03
 28.01.13 20:00 0.09 0.31 0.02
 -------- 21:00 0.08 0.29 0.01
 -------- 22:00 0.08 0.29 0.01
 -------- 23:00 0.08 0.28 0.01
 -------- 00:00 0.08 0.28 0.01
 29.01.13 01:00 0.07 0.27 0.01
 -------- 02:00 0.06 0.24 0.02
 -------- 03:00 0.06 0.24 0.01
 -------- 04:00 0.06 0.22 0.01
 -------- 05:00 0.06 0.21 0.01
 29.01.13 06:00 0.07 0.27 0.01
 -------- 07:00 0.08 0.28 0.01
 -------- 08:00 0.09 0.33 0.05
 -------- 09:00 0.12 0.35 0.08
 -------- 10:00 0.13 0.35 0.13
 29.01.13 11:00 0.15 0.33 0.17
 -------- 12:00 0.13 0.31 0.13
 -------- 13:00 0.14 0.33 0.17
 -------- 14:00 0.15 0.34 0.17
 -------- 15:00 0.14 0.34 0.15
 29.01.13 16:00 0.13 0.35 0.15
 -------- 17:00 0.12 0.34 0.10
 -------- 18:00 0.12 0.33 0.06
 -------- 19:00 0.12 0.33 0.05
 -------- 20:00 0.13 0.37 0.12
 29.01.13 21:00 0.14 0.37 0.15
 -------- 22:00 0.12 0.35 0.08
 -------- 23:00 0.11 0.33 0.05
