 Date Time CO NO2 NO
 30.12.12 00:00 0.04 0.09 0.01
 -------- 01:00 0.05 0.09 0.01
 -------- 02:00 0.04 0.06 0.01
 -------- 03:00 0.04 0.05 0.01
 -------- 04:00 0.05 0.05 0.01
 30.12.12 05:00 0.06 0.07 0.01
 -------- 06:00 0.06 0.09 0.01
 -------- 07:00 0.06 0.09 0.01
 -------- 08:00 0.06 0.10 0.01
 -------- 09:00 0.06 0.09 0.01
 30.12.12 10:00 0.06 0.08 0.01
 -------- 11:00 0.06 0.08 0.01
 -------- 12:00 0.06 0.07 0.01
 -------- 13:00 0.06 0.07 0.01
 -------- 14:00 0.07 0.09 0.02
 30.12.12 15:00 0.07 0.11 0.02
 -------- 16:00 0.07 0.10 0.01
 -------- 17:00 0.07 0.11 0.01
 -------- 18:00 0.08 0.14 0.01
 -------- 19:00 0.08 0.15 0.01
 30.12.12 20:00 0.07 0.14 0.01
 -------- 21:00 0.08 0.20 0.01
 -------- 22:00 0.09 0.24 0.04
 -------- 23:00 0.10 0.26 0.07
 -------- 00:00 0.09 0.25 0.05
 31.12.12 01:00 0.11 0.26 0.07
 -------- 02:00 0.12 0.27 0.13
 -------- 03:00 0.13 0.28 0.14
 -------- 04:00 0.14 0.27 0.17
 -------- 05:00 0.13 0.27 0.14
 31.12.12 06:00 0.12 0.25 0.10
 -------- 07:00 0.09 0.22 0.04
 -------- 08:00 0.08 0.20 0.02
 -------- 09:00 0.09 0.22 0.03
 -------- 10:00 0.09 0.20 0.02
 31.12.12 11:00 0.08 0.18 0.02
 -------- 12:00 0.07 0.16 0.02
 -------- 13:00 0.07 0.16 0.03
 -------- 14:00 0.09 0.18 0.03
 -------- 15:00 0.10 0.20 0.03
 31.12.12 16:00 0.10 0.20 0.03
 -------- 17:00 0.10 0.22 0.02
 -------- 18:00 0.10 0.22 0.01
 -------- 19:00 0.09 0.22 0.02
 -------- 20:00 0.09 0.21 0.02
 31.12.12 21:00 0.09 0.20 0.01
 -------- 22:00 0.08 0.20 0.01
 -------- 23:00 0.09 0.19 0.01
 -------- 00:00 0.08 0.15 0.01
