 Date Time CO NO2 NO
 26.09.12 12:00 0.04 0.06 0.01
 -------- 13:00 0.04 0.07 0.01
 -------- 14:00 0.04 0.07 0.02
 -------- 15:00 0.09 0.13 0.02
 -------- 16:00 0.13 0.06 0.01
 26.09.12 17:00 0.06 0.09 0.01
 -------- 18:00 0.07 0.13 0.02
 -------- 19:00 0.11 0.23 0.05
 -------- 20:00 0.15 0.22 0.11
 -------- 21:00 0.15 0.22 0.14
 26.09.12 22:00 0.14 0.19 0.13
 -------- 23:00 0.13 0.17 0.15
 -------- 00:00 0.14 0.14 0.14
 -------- 01:00 0.18 0.16 0.33
 -------- 02:00 0.20 0.19 0.41
 27.09.12 03:00 0.25 0.14 0.59
 -------- 04:00 0.25 0.14 0.60
 -------- 05:00 0.28 0.18 0.80
 -------- 06:00 0.27 0.17 0.88
 -------- 07:00 0.36 0.21 1.19
 27.09.12 08:00 0.44 0.35 1.34
 -------- 09:00 0.34 0.25 0.78
 -------- 10:00 0.24 0.34 0.33
 -------- 11:00 0.14 0.29 0.16
 -------- 12:00 0.07 0.25 0.09
 27.09.12 13:00 0.09 0.22 0.08
 -------- 14:00 0.07 0.21 0.06
 -------- 15:00 0.07 0.23 0.04
 -------- 16:00 0.11 0.25 0.05
 -------- 17:00 0.10 0.25 0.05
 27.09.12 18:00 0.10 0.27 0.05
 -------- 19:00 0.10 0.27 0.02
 -------- 20:00 0.10 0.29 0.03
 -------- 21:00 0.09 0.25 0.02
 -------- 22:00 0.09 0.24 0.02
 27.09.12 23:00 0.09 0.24 0.02
 -------- 00:00 0.09 0.21 0.02
 -------- 01:00 0.07 0.17 0.01
 -------- 02:00 0.08 0.22 0.03
 -------- 03:00 0.06 0.24 0.05
 28.09.12 04:00 0.06 0.18 0.02
 -------- 05:00 0.06 0.19 0.02
 -------- 06:00 0.06 0.20 0.02
 -------- 07:00 0.06 0.18 0.02
 -------- 08:00 0.08 0.21 0.02
 28.09.12 09:00 0.07 0.18 0.02
 -------- 10:00 0.08 0.23 0.03
 -------- 11:00 0.08 0.21 0.03
