 Date Time CO NO2 NO
 04.02.13 12:00 0.16 0.29 0.18
 -------- 13:00 0.12 0.22 0.08
 -------- 14:00 0.08 0.18 0.04
 -------- 15:00 0.08 0.18 0.04
 -------- 16:00 0.08 0.19 0.04
 04.02.13 17:00 0.07 0.15 0.03
 -------- 18:00 0.06 0.16 0.02
 -------- 19:00 0.06 0.16 0.02
 -------- 20:00 0.06 0.14 0.01
 -------- 21:00 0.04 0.10 0.01
 04.02.13 22:00 0.04 0.12 0.01
 -------- 23:00 0.04 0.12 0.01
 -------- 00:00 0.04 0.10 0.01
 -------- 01:00 0.04 0.09 0.01
 -------- 02:00 0.04 0.07 0.01
 05.02.13 03:00 0.04 0.06 0.00
 -------- 04:00 0.04 0.06 0.00
 -------- 05:00 0.04 0.08 0.00
 -------- 06:00 0.04 0.08 0.01
 -------- 07:00 0.06 0.13 0.01
 05.02.13 08:00 0.06 0.13 0.01
 -------- 09:00 0.06 0.17 0.01
 -------- 10:00 0.07 0.21 0.02
 -------- 11:00 0.08 0.23 0.03
 -------- 12:00 0.08 0.20 0.04
 05.02.13 13:00 0.07 0.18 0.04
 -------- 14:00 0.08 0.23 0.07
 -------- 15:00 0.08 0.22 0.06
 -------- 16:00 0.08 0.20 0.04
 -------- 17:00 0.08 0.20 0.02
 05.02.13 18:00 0.08 0.24 0.02
