 Date Time CO NO2 NO
 15.01.13 12:00 0.06 0.14 0.02
 -------- 13:00 0.06 0.16 0.02
 -------- 14:00 0.07 0.17 0.02
 -------- 15:00 0.08 0.21 0.03
 -------- 16:00 0.08 0.19 0.02
 15.01.13 17:00 0.07 0.20 0.01
 -------- 18:00 0.08 0.22 0.01
 -------- 19:00 0.08 0.21 0.01
 -------- 20:00 0.08 0.26 0.01
 -------- 21:00 0.08 0.25 0.01
 15.01.13 22:00 0.08 0.24 0.01
 -------- 23:00 0.08 0.21 0.01
 -------- 00:00 0.08 0.26 0.01
 -------- 01:00 0.08 0.33 0.03
 -------- 02:00 0.08 0.32 0.01
 16.01.13 03:00 0.08 0.34 0.02
 -------- 04:00 0.07 0.34 0.02
 -------- 05:00 0.06 0.32 0.02
 -------- 06:00 0.07 0.35 0.05
 -------- 07:00 0.08 0.42 0.11
 16.01.13 08:00 0.09 0.40 0.12
 -------- 09:00 0.10 0.35 0.08
 -------- 10:00 0.11 0.33 0.07
 -------- 11:00 0.12 0.32 0.09
 -------- 12:00 0.22 0.31 0.11
 16.01.13 13:00 0.13 0.33 0.13
 -------- 14:00 0.13 0.33 0.12
 -------- 15:00 0.13 0.32 0.13
 -------- 16:00 0.19 0.33 0.15
 -------- 17:00 0.17 0.35 0.18
 16.01.13 18:00 0.22 0.40 0.31
 -------- 19:00 0.19 0.38 0.24
 -------- 20:00 0.16 0.32 0.14
 -------- 21:00 0.14 0.31 0.12
 -------- 22:00 0.14 0.30 0.11
 16.01.13 23:00 0.11 0.29 0.07
 -------- 00:00 0.10 0.27 0.04
 -------- 01:00 0.08 0.25 0.04
 -------- 02:00 0.07 0.22 0.02
 -------- 03:00 0.06 0.19 0.01
 17.01.13 04:00 0.06 0.18 0.01
 -------- 05:00 0.06 0.16 0.01
 -------- 06:00 0.06 0.17 0.01
 -------- 07:00 0.07 0.21 0.03
 -------- 08:00 0.08 0.22 0.03
 17.01.13 09:00 0.08 0.24 0.04
 -------- 10:00 0.08 0.23 0.03
 -------- 11:00 0.08 0.22 0.04
