 Date Time CO NO2 NO
 23.03.13 00:00 0.06 0.22 0.04
 -------- 01:00 0.06 0.18 0.02
 -------- 02:00 0.06 0.18 0.02
 -------- 03:00 0.06 0.17 0.02
 -------- 04:00 0.06 0.17 0.02
 23.03.13 05:00 0.06 0.15 0.01
 -------- 06:00 0.06 0.19 0.02
 -------- 07:00 0.08 0.26 0.03
 -------- 08:00 0.08 0.25 0.04
 -------- 09:00 0.08 0.23 0.05
 23.03.13 10:00 0.08 0.25 0.06
 -------- 11:00 0.08 0.22 0.06
 -------- 12:00 0.08 0.17 0.04
 -------- 13:00 0.06 0.14 0.03
 -------- 14:00 0.06 0.12 0.02
 23.03.13 15:00 0.06 0.12 0.02
 -------- 16:00 0.06 0.11 0.02
 -------- 17:00 0.06 0.12 0.02
 -------- 18:00 0.06 0.13 0.02
 -------- 19:00 0.06 0.13 0.01
 23.03.13 20:00 0.06 0.18 0.02
 -------- 21:00 0.05 0.18 0.02
 -------- 22:00 0.06 0.17 0.02
 -------- 23:00 0.06 0.15 0.01
 -------- 00:00 0.06 0.15 0.01
 24.03.13 01:00 0.05 0.14 0.01
 -------- 02:00 0.04 0.13 0.01
 -------- 03:00 0.04 0.10 0.01
 -------- 04:00 0.04 0.11 0.01
 -------- 05:00 0.04 0.10 0.01
 24.03.13 06:00 0.05 0.11 0.01
 -------- 07:00 0.04 0.09 0.01
 -------- 08:00 0.05 0.12 0.01
 -------- 09:00 0.06 0.10 0.01
 -------- 10:00 0.06 0.11 0.01
 24.03.13 11:00 0.06 0.14 0.02
 -------- 12:00 0.06 0.13 0.02
 -------- 13:00 0.06 0.13 0.02
 -------- 14:00 0.06 0.12 0.02
 -------- 15:00 0.06 0.12 0.02
 24.03.13 16:00 0.06 0.13 0.02
 -------- 17:00 0.06 0.13 0.02
 -------- 18:00 0.06 0.13 0.01
 -------- 19:00 0.06 0.12 0.01
 -------- 20:00 0.06 0.12 0.01
 24.03.13 21:00 0.06 0.13 0.01
 -------- 22:00 0.06 0.15 0.01
 -------- 23:00 0.06 0.14 0.01
 -------- 00:00 0.06 0.13 0.01
