 Date Time CO SO2 OZ NO2 NO PM10
 01.01.13 00:00 0.04 0.00 0.03 0.25 0.02 0.12
 -------- 01:00 0.04 0.00 0.04 0.25 0.02 0.22
 -------- 02:00 0.03 0.00 0.06 0.24 0.02 0.19
 -------- 03:00 0.02 0.00 0.06 0.25 0.02 0.16
 -------- 04:00 0.02 0.00 0.09 0.23 0.01 0.12
 01.01.13 05:00 0.02 0.00 0.10 0.21 0.00 0.09
 -------- 06:00 ---- 0.00 0.17 0.17 0.00 0.06
 -------- 07:00 ---- 0.00 0.19 0.18 0.00 0.05
 -------- 08:00 ---- 0.00 0.13 0.23 0.01 0.05
 -------- 09:00 ---- 0.00 0.10 0.22 0.01 0.05
 01.01.13 10:00 ---- 0.00 0.13 0.21 0.01 0.05
 -------- 11:00 ---- 0.00 0.14 0.21 0.01 0.05
 -------- 12:00 0.02 0.00 0.27 0.13 0.01 0.04
 -------- 13:00 0.02 0.00 0.29 0.12 0.01 0.04
 -------- 14:00 0.02 0.00 0.28 0.11 0.00 0.04
 01.01.13 15:00 0.02 0.00 0.31 0.10 0.00 0.04
 -------- 16:00 0.02 0.00 0.31 0.12 0.00 0.04
 -------- 17:00 0.02 0.00 0.26 0.14 ---- 0.04
 -------- 18:00 0.02 0.00 0.23 0.18 ---- 0.04
 -------- 19:00 0.02 0.00 0.21 0.19 ---- 0.04
 01.01.13 20:00 0.02 0.00 0.19 0.19 ---- 0.04
 -------- 21:00 0.02 0.00 0.22 0.17 0.00 0.04
 -------- 22:00 0.02 0.00 0.23 0.15 ---- 0.04
 -------- 23:00 0.02 0.00 0.24 0.14 ---- 0.03
 -------- 00:00 0.02 0.00 0.22 0.13 ---- 0.03
 02.01.13 01:00 0.02 0.00 0.24 0.11 ---- 0.03
 -------- 02:00 0.02 0.00 0.25 0.10 ---- 0.02
 -------- 03:00 0.02 0.00 0.26 0.09 0.01 0.03
 -------- 04:00 ---- 0.00 0.29 0.08 ---- 0.03
 -------- 05:00 ---- 0.00 0.30 0.07 ---- 0.04
 02.01.13 06:00 ---- 0.00 0.34 0.08 ---- 0.04
 -------- 07:00 ---- 0.00 0.33 0.08 ---- 0.05
 -------- 08:00 0.02 0.00 0.34 0.08 ---- 0.05
 -------- 09:00 0.02 0.00 0.36 0.09 ---- 0.05
 -------- 10:00 0.02 0.00 0.35 0.10 ---- 0.05
 02.01.13 11:00 0.02 0.00 0.33 0.11 ---- 0.05
 -------- 12:00 0.02 0.00 0.34 0.11 0.00 0.05
 -------- 13:00 0.02 0.00 0.35 0.12 0.01 0.05
 -------- 14:00 0.02 0.00 0.34 0.14 0.01 0.06
 -------- 15:00 0.02 0.00 0.35 0.16 0.01 0.06
 02.01.13 16:00 0.02 0.00 0.34 0.17 0.01 0.05
 -------- 17:00 0.04 0.00 0.32 0.18 0.00 0.05
 -------- 18:00 0.02 0.00 0.31 0.18 0.00 0.05
 -------- 19:00 0.02 0.00 0.33 0.18 0.00 0.05
 -------- 20:00 0.02 0.00 0.33 0.17 0.00 0.05
 02.01.13 21:00 0.02 0.00 0.34 0.18 ---- 0.05
 -------- 22:00 0.02 0.00 0.31 0.20 0.00 0.05
 -------- 23:00 0.02 0.00 0.30 0.23 0.00 0.06
