 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 08.04.13 00:00 0.06 ---- 0.28 0.20 0.00 0.05 ----
 -------- 01:00 0.06 ---- 0.29 0.19 0.00 0.05 ----
 -------- 02:00 0.06 ---- 0.24 0.21 ---- 0.04 ----
 -------- 03:00 0.07 ---- 0.07 0.37 0.08 0.07 ----
 -------- 04:00 0.11 ---- 0.01 0.40 0.22 0.09 ----
 08.04.13 05:00 0.12 ---- 0.01 0.39 0.31 0.10 ----
 -------- 06:00 0.13 ---- 0.01 0.40 0.35 0.09 ----
 -------- 07:00 0.13 0.01 0.01 0.42 0.42 0.09 ----
 -------- 08:00 0.16 0.01 0.02 0.43 0.34 0.10 ----
 -------- 09:00 0.14 0.01 0.06 0.36 0.19 0.08 ----
 08.04.13 10:00 0.09 0.00 0.21 0.28 0.07 0.07 ----
 -------- 11:00 0.09 0.00 0.22 0.28 0.08 0.08 ----
 -------- 12:00 0.07 0.01 0.33 0.20 0.04 0.07 ----
 -------- 13:00 0.06 0.01 0.36 0.18 0.04 0.06 ----
 -------- 14:00 0.06 0.01 0.43 0.14 0.02 0.05 ----
 08.04.13 15:00 0.06 0.00 0.48 0.12 0.02 0.05 ----
 -------- 16:00 0.05 0.00 0.51 0.11 0.01 0.05 ----
 -------- 17:00 0.06 0.01 0.52 0.12 0.01 0.04 ----
 -------- 18:00 0.06 0.00 0.57 0.11 0.01 0.04 ----
 -------- 19:00 0.06 0.00 0.56 0.13 0.01 0.05 ----
 08.04.13 20:00 0.06 0.00 0.43 0.22 0.01 0.06 ----
 -------- 21:00 0.09 0.00 0.23 0.36 0.02 0.08 ----
 -------- 22:00 0.08 0.00 0.12 0.41 0.00 0.10 ----
 -------- 23:00 0.13 0.00 0.03 0.51 0.12 0.18 ----
 -------- 00:00 0.20 0.01 0.02 0.54 0.32 0.26 ----
 09.04.13 01:00 0.19 0.01 0.01 0.51 0.24 0.18 ----
 -------- 02:00 0.17 0.01 0.02 0.51 0.22 0.15 ----
 -------- 03:00 0.16 0.01 0.01 0.51 0.31 0.15 ----
 -------- 04:00 0.18 0.01 0.01 0.54 0.46 0.14 ----
 -------- 05:00 0.19 0.02 0.01 0.58 0.76 0.20 ----
 09.04.13 06:00 0.19 0.02 0.01 0.56 0.63 0.17 ----
 -------- 07:00 0.19 0.02 0.01 0.61 0.83 0.18 ----
 -------- 08:00 0.18 0.02 0.02 0.53 0.44 0.16 ----
 -------- 09:00 0.19 0.01 0.04 0.49 0.29 0.19 ----
 -------- 10:00 0.18 0.02 0.07 0.54 0.29 0.21 ----
 09.04.13 11:00 0.15 0.02 0.12 0.49 0.15 0.15 ----
 -------- 12:00 0.14 0.02 0.18 0.42 0.12 0.14 ----
 -------- 13:00 0.11 0.01 0.20 0.45 0.09 0.13 ----
 -------- 14:00 0.10 0.01 0.22 0.38 0.06 0.10 ----
 -------- 15:00 0.08 0.02 0.34 0.29 0.04 0.08 ----
 09.04.13 16:00 0.09 0.01 0.32 0.34 0.04 0.10 ----
 -------- 17:00 0.08 0.01 0.46 0.18 0.02 0.05 ----
 -------- 18:00 0.06 0.01 0.59 0.11 0.01 0.04 ----
 -------- 19:00 0.08 0.01 0.40 0.30 0.03 0.08 ----
 -------- 20:00 0.09 0.01 0.20 0.39 0.01 0.10 ----
 09.04.13 21:00 0.15 0.00 0.05 0.53 0.04 0.13 ----
 -------- 22:00 0.16 0.01 0.01 0.55 0.05 0.15 ----
 -------- 23:00 0.17 0.01 0.01 0.55 0.09 0.15 ----
