 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 30.04.13 12:00 0.06 0.01 0.34 0.15 0.01 0.06 ----
 -------- 13:00 0.06 0.01 0.28 0.17 0.02 0.07 ----
 -------- 14:00 0.07 0.01 0.21 0.19 0.02 0.05 ----
 -------- 15:00 0.09 0.01 0.14 0.22 0.05 0.07 ----
 -------- 16:00 0.09 0.01 0.12 0.20 0.05 0.06 ----
 30.04.13 17:00 0.08 0.01 0.13 0.18 0.05 0.05 ----
 -------- 18:00 0.07 0.01 0.21 0.14 0.03 0.03 ----
 -------- 19:00 0.06 0.01 0.25 0.15 0.03 0.04 ----
 -------- 20:00 0.07 0.02 0.21 0.21 0.03 0.05 ----
 -------- 21:00 0.09 0.01 0.09 0.29 0.05 0.07 ----
 30.04.13 22:00 0.10 0.01 0.13 0.26 0.05 0.07 ----
 -------- 23:00 0.10 0.01 0.05 0.33 0.08 0.08 ----
 -------- 00:00 0.10 0.01 0.09 0.28 0.05 0.06 ----
 -------- 01:00 0.08 0.01 0.14 0.26 0.04 0.05 ----
 -------- 02:00 0.06 0.01 0.20 0.21 0.03 0.05 ----
 01.05.13 03:00 0.06 0.01 0.22 0.19 0.03 0.04 ----
 -------- 04:00 0.06 0.01 0.28 0.14 0.02 0.04 ----
 -------- 05:00 0.05 0.01 0.29 0.14 0.02 0.03 ----
 -------- 06:00 0.05 0.01 0.21 0.18 0.02 0.05 ----
 -------- 07:00 0.06 0.01 0.16 0.22 0.04 0.06 ----
 01.05.13 08:00 0.06 0.01 0.21 0.17 0.03 0.06 ----
 -------- 09:00 0.06 0.01 0.26 0.13 0.03 0.05 ----
 -------- 10:00 0.06 0.01 0.28 0.13 0.02 0.05 ----
 -------- 11:00 0.04 0.01 0.31 0.12 0.02 0.05 ----
 -------- 12:00 0.04 0.01 0.34 0.10 0.02 0.04 ----
 01.05.13 13:00 0.04 0.01 0.39 0.09 0.01 0.04 ----
 -------- 14:00 0.04 0.01 0.41 0.09 0.01 0.05 ----
 -------- 15:00 0.04 0.01 0.42 0.09 0.01 0.04 ----
 -------- 16:00 0.06 0.01 0.42 0.10 0.01 0.04 ----
 -------- 17:00 0.06 0.01 0.42 0.09 0.01 0.04 ----
 01.05.13 18:00 0.06 0.01 0.42 0.09 0.01 0.04 ----
 -------- 19:00 0.06 0.01 0.40 0.12 0.01 0.04 ----
 -------- 20:00 0.06 0.01 0.39 0.15 0.01 0.04 ----
 -------- 21:00 0.07 0.01 0.35 0.17 0.01 0.06 ----
 -------- 22:00 0.09 0.01 0.13 0.30 0.03 0.11 ----
 01.05.13 23:00 0.10 0.01 0.07 0.31 0.02 0.09 ----
 -------- 00:00 0.14 0.01 0.03 0.36 0.08 0.11 ----
 -------- 01:00 0.19 0.01 0.01 0.38 0.39 0.23 ----
 -------- 02:00 0.17 0.01 0.01 0.35 0.30 0.19 ----
 -------- 03:00 0.15 0.01 0.01 0.35 0.31 0.19 ----
 02.05.13 04:00 0.13 0.01 0.01 0.32 0.21 0.13 ----
 -------- 05:00 0.12 0.01 0.01 0.31 0.25 0.12 ----
 -------- 06:00 0.13 0.01 0.01 0.31 0.27 0.15 ----
 -------- 07:00 0.12 0.02 0.02 0.32 0.23 0.18 ----
 -------- 08:00 0.12 0.01 0.07 0.29 0.15 0.12 ----
 02.05.13 09:00 0.12 0.02 0.07 0.33 0.19 0.15 ----
 -------- 10:00 0.09 0.01 0.25 0.20 0.07 0.07 ----
 -------- 11:00 0.06 0.01 0.41 0.13 0.02 0.02 ----
