 Date Time CO SO2 OZ NO2 NO PM10
 02.03.13 00:00 0.06 0.00 0.17 0.17 0.01 0.03
 -------- 01:00 0.06 0.00 0.14 0.16 0.01 0.02
 -------- 02:00 0.06 0.00 0.16 0.16 0.00 0.03
 -------- 03:00 0.05 0.00 0.25 0.10 0.01 0.03
 -------- 04:00 0.04 0.00 0.27 0.10 0.00 0.03
 02.03.13 05:00 0.04 0.00 0.27 0.10 0.01 0.03
 -------- 06:00 0.05 0.00 0.26 0.12 0.02 0.03
 -------- 07:00 0.04 0.00 0.29 0.10 0.00 0.03
 -------- 08:00 0.05 ---- 0.28 0.13 0.01 0.03
 -------- 09:00 0.06 0.00 0.26 0.13 0.01 0.03
 02.03.13 10:00 0.06 ---- 0.26 0.13 0.02 0.03
 -------- 11:00 0.06 ---- 0.27 0.13 0.02 0.03
 -------- 12:00 0.06 ---- 0.31 0.10 0.02 0.04
 -------- 13:00 0.06 0.00 0.27 0.13 0.03 0.04
 -------- 14:00 0.06 0.00 0.30 0.13 0.03 0.03
 02.03.13 15:00 0.06 ---- 0.29 0.15 0.03 0.04
 -------- 16:00 0.06 ---- 0.32 0.14 0.02 0.03
 -------- 17:00 0.06 ---- 0.34 0.13 0.01 0.03
 -------- 18:00 0.04 ---- 0.36 0.12 0.01 0.02
 -------- 19:00 0.06 ---- 0.26 0.20 0.00 0.04
 02.03.13 20:00 0.06 ---- 0.19 0.24 0.01 0.04
 -------- 21:00 0.06 ---- 0.16 0.27 0.01 0.04
 -------- 22:00 0.07 ---- 0.10 0.30 0.00 0.04
 -------- 23:00 0.08 0.00 0.03 0.37 0.01 0.04
 -------- 00:00 0.11 0.00 0.01 0.39 0.14 0.06
 03.03.13 01:00 0.14 0.01 0.01 0.41 0.31 0.06
 -------- 02:00 0.17 0.01 0.01 0.44 0.47 0.07
 -------- 03:00 0.18 0.02 0.02 0.48 0.72 0.09
 -------- 04:00 0.23 0.02 0.02 0.47 0.80 0.13
 -------- 05:00 0.19 0.01 0.02 0.43 0.36 0.09
 03.03.13 06:00 0.13 0.00 0.01 0.39 0.16 0.05
 -------- 07:00 0.09 0.00 0.02 0.36 0.04 0.03
 -------- 08:00 0.08 ---- 0.09 0.29 0.01 0.02
 -------- 09:00 0.07 0.00 0.26 0.16 0.01 0.04
 -------- 10:00 0.07 0.00 0.27 0.17 0.02 0.03
 03.03.13 11:00 0.06 ---- 0.28 0.16 0.04 0.04
 -------- 12:00 0.07 ---- 0.28 0.18 0.04 0.04
 -------- 13:00 0.08 0.00 0.23 0.23 0.07 0.05
 -------- 14:00 0.06 0.00 0.30 0.16 0.04 0.05
 -------- 15:00 0.06 0.00 0.35 0.12 0.02 0.05
 03.03.13 16:00 0.06 0.00 0.34 0.14 0.02 0.06
 -------- 17:00 0.05 ---- 0.34 0.13 0.01 0.07
 -------- 18:00 0.04 ---- 0.35 0.13 0.00 0.08
 -------- 19:00 0.04 ---- 0.32 0.17 0.00 0.07
 -------- 20:00 0.06 0.00 0.19 0.26 0.01 0.07
 03.03.13 21:00 0.06 0.01 0.20 0.24 0.00 0.06
 -------- 22:00 0.06 0.02 0.20 0.24 0.01 0.06
 -------- 23:00 0.06 0.00 0.21 0.23 0.01 0.04
