 Date Time CO SO2 OZ NO2 NO PM10
 12.02.13 12:00 0.03 ---- 0.12 0.23 0.01 0.04
 -------- 13:00 0.02 ---- 0.20 0.22 0.01 0.03
 -------- 14:00 0.02 ---- 0.20 0.24 0.01 0.03
 -------- 15:00 0.02 ---- 0.21 0.23 0.01 0.04
 -------- 16:00 0.02 ---- 0.20 0.23 0.01 0.04
 12.02.13 17:00 0.02 ---- 0.17 0.27 0.01 0.04
 -------- 18:00 0.02 ---- 0.17 0.26 0.00 0.04
 -------- 19:00 0.02 ---- 0.20 0.23 0.01 0.05
 -------- 20:00 0.02 ---- 0.10 0.32 0.00 0.06
 -------- 21:00 0.03 0.00 0.07 0.35 0.01 0.06
 12.02.13 22:00 0.03 0.00 0.10 0.29 ---- 0.06
 -------- 23:00 0.02 0.00 0.11 0.28 0.00 0.06
 -------- 00:00 0.02 0.00 0.09 0.30 0.00 0.06
 -------- 01:00 0.02 0.00 0.09 0.30 0.00 0.07
 -------- 02:00 0.02 ---- 0.09 0.28 0.00 0.07
 13.02.13 03:00 0.02 0.00 0.06 0.31 0.00 0.07
 -------- 04:00 0.02 0.00 0.05 0.32 ---- 0.06
 -------- 05:00 0.02 ---- 0.04 0.31 0.00 0.06
 -------- 06:00 0.02 ---- 0.07 0.30 ---- 0.05
 -------- 07:00 0.02 ---- 0.03 0.39 0.02 0.07
 13.02.13 08:00 0.05 ---- 0.01 0.43 0.09 0.08
 -------- 09:00 0.07 ---- 0.01 0.44 0.12 0.09
 -------- 10:00 0.05 ---- 0.02 0.44 0.10 0.08
 -------- 11:00 0.02 ---- 0.04 0.41 0.11 0.08
 -------- 12:00 0.03 ---- 0.05 0.42 0.15 0.11
 13.02.13 13:00 0.02 ---- 0.08 0.40 0.12 0.11
 -------- 14:00 0.03 ---- 0.09 0.44 0.12 0.12
 -------- 15:00 0.04 ---- 0.08 0.44 0.11 0.11
 -------- 16:00 0.04 ---- 0.09 0.44 0.08 0.11
 -------- 17:00 0.04 ---- 0.07 0.46 0.07 0.10
 13.02.13 18:00 0.04 ---- 0.04 0.50 0.05 0.09
 -------- 19:00 0.06 ---- 0.01 0.54 0.07 0.09
 -------- 20:00 0.05 ---- 0.01 0.53 0.08 0.10
 -------- 21:00 0.04 ---- 0.01 0.51 0.07 0.09
 -------- 22:00 0.03 ---- 0.01 0.49 0.04 0.07
 13.02.13 23:00 0.02 ---- 0.05 0.41 0.01 0.06
 -------- 00:00 0.02 ---- 0.01 0.48 0.03 0.08
 -------- 01:00 ---- ---- 0.01 0.46 0.01 0.08
 -------- 02:00 ---- ---- 0.01 0.46 0.04 0.08
 -------- 03:00 ---- ---- 0.01 0.47 0.02 0.08
 14.02.13 04:00 ---- ---- 0.01 0.44 0.02 0.08
 -------- 05:00 ---- ---- 0.01 0.42 0.02 0.07
 -------- 06:00 0.04 ---- 0.01 0.43 0.04 0.07
 -------- 07:00 0.04 0.01 0.01 0.44 0.07 0.08
 -------- 08:00 0.04 0.01 0.01 0.43 0.05 0.07
 14.02.13 09:00 0.06 0.00 0.01 0.41 0.06 0.08
 -------- 10:00 0.06 0.00 0.03 0.40 0.11 0.09
 -------- 11:00 0.08 0.01 0.04 0.41 0.15 0.11
