 Date Time CO SO2 OZ NO2 NO PM10
 28.02.13 00:00 0.09 0.01 0.01 0.36 0.11 0.08
 -------- 01:00 0.07 0.00 0.11 0.27 0.04 0.06
 -------- 02:00 0.06 0.00 0.19 0.20 0.02 0.03
 -------- 03:00 0.06 0.00 0.22 0.19 0.01 0.03
 -------- 04:00 0.04 0.00 0.28 0.16 0.01 0.02
 28.02.13 05:00 0.04 0.00 0.33 0.14 0.01 0.02
 -------- 06:00 0.04 ---- 0.25 0.19 0.01 0.02
 -------- 07:00 0.05 0.00 0.20 0.24 0.02 0.02
 -------- 08:00 0.06 0.00 0.17 0.25 0.03 0.03
 -------- 09:00 0.06 0.00 0.17 0.25 0.04 0.03
 28.02.13 10:00 0.06 0.00 0.20 0.23 0.04 0.04
 -------- 11:00 0.06 0.00 0.23 0.21 0.03 0.03
 -------- 12:00 0.06 0.00 0.20 0.24 0.04 0.03
 -------- 13:00 0.06 0.00 0.20 0.25 0.04 0.03
 -------- 14:00 0.06 0.00 0.22 0.24 0.04 0.03
 28.02.13 15:00 0.06 0.00 0.22 0.24 0.04 0.03
 -------- 16:00 0.06 0.00 0.21 0.25 0.04 0.03
 -------- 17:00 0.06 0.00 0.25 0.23 0.03 0.03
 -------- 18:00 0.07 0.00 0.19 0.27 0.04 0.04
 -------- 19:00 0.08 0.00 0.12 0.31 0.06 0.04
 28.02.13 20:00 0.07 0.00 0.16 0.28 0.04 0.03
 -------- 21:00 0.07 0.00 0.15 0.29 0.04 0.03
 -------- 22:00 0.08 0.00 0.09 0.31 0.06 0.04
 -------- 23:00 0.07 0.00 0.09 0.31 0.07 0.03
 -------- 00:00 0.06 0.00 0.16 0.27 0.04 0.02
 01.03.13 01:00 0.06 0.00 0.21 0.23 0.03 0.02
 -------- 02:00 0.06 0.00 0.25 0.18 0.02 0.02
 -------- 03:00 0.06 0.00 0.28 0.15 0.01 0.03
 -------- 04:00 0.06 ---- 0.30 0.13 0.01 0.03
 -------- 05:00 0.06 ---- 0.31 0.13 0.01 0.03
 01.03.13 06:00 0.06 ---- 0.28 0.15 0.01 0.02
 -------- 07:00 0.06 ---- 0.28 0.14 0.01 0.02
 -------- 08:00 0.06 ---- 0.28 0.14 0.01 0.02
 -------- 09:00 0.07 ---- 0.23 0.18 0.02 0.02
 -------- 10:00 0.08 0.00 0.16 0.23 0.03 0.03
 01.03.13 11:00 0.08 0.00 0.16 0.23 0.04 0.04
 -------- 12:00 0.08 0.00 0.15 0.25 0.06 0.06
 -------- 13:00 0.08 ---- 0.20 0.20 0.03 0.05
 -------- 14:00 0.08 ---- 0.20 0.19 0.03 0.04
 -------- 15:00 0.06 ---- 0.21 0.20 0.03 0.04
 01.03.13 16:00 0.06 ---- 0.22 0.20 0.03 0.03
 -------- 17:00 0.06 ---- 0.22 0.22 0.03 0.03
 -------- 18:00 0.06 ---- 0.21 0.22 0.02 0.03
 -------- 19:00 0.06 ---- 0.22 0.23 0.01 0.03
 -------- 20:00 0.06 ---- 0.26 0.18 0.01 0.02
 01.03.13 21:00 0.06 0.00 0.27 0.16 0.01 0.02
 -------- 22:00 0.05 0.00 0.28 0.15 0.01 0.02
 -------- 23:00 0.05 0.00 0.22 0.17 0.02 0.02
