 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 13.04.13 12:00 0.06 0.01 0.46 0.26 0.04 0.08 ----
 -------- 13:00 0.06 0.01 0.50 0.24 0.03 0.07 ----
 -------- 14:00 0.06 0.01 0.52 0.25 0.04 0.08 ----
 -------- 15:00 0.06 0.01 0.55 0.25 0.03 0.09 ----
 -------- 16:00 0.06 0.01 0.59 0.25 0.04 0.08 ----
 13.04.13 17:00 0.06 0.01 0.59 0.26 0.03 0.08 ----
 -------- 18:00 0.06 0.01 0.58 0.26 0.03 0.08 ----
 -------- 19:00 0.06 0.01 0.56 0.27 0.03 0.08 ----
 -------- 20:00 0.07 0.01 0.49 0.28 0.03 0.08 ----
 -------- 21:00 0.08 0.01 0.40 0.29 0.04 0.09 ----
 13.04.13 22:00 0.08 0.01 0.40 0.29 0.03 0.08 ----
 -------- 23:00 0.09 0.00 0.33 0.30 0.04 0.09 ----
 -------- 00:00 0.09 0.00 0.34 0.30 0.04 0.09 ----
 -------- 01:00 0.07 0.00 0.40 0.28 0.03 0.07 ----
 -------- 02:00 0.06 0.01 0.52 0.21 0.02 0.06 ----
 14.04.13 03:00 0.05 0.01 0.53 0.19 0.02 0.07 ----
 -------- 04:00 0.04 0.01 0.53 0.19 0.01 0.07 ----
 -------- 05:00 0.05 0.01 0.50 0.19 0.02 0.07 ----
 -------- 06:00 0.05 0.01 0.47 0.19 0.02 0.05 ----
 -------- 07:00 0.06 0.00 0.44 0.21 0.03 0.06 ----
 14.04.13 08:00 0.06 0.00 0.37 0.25 0.03 0.07 ----
 -------- 09:00 0.08 0.01 0.30 0.28 0.06 0.10 ----
 -------- 10:00 0.08 0.01 0.34 0.28 0.07 0.12 ----
 -------- 11:00 0.08 0.01 0.40 0.28 0.06 0.12 ----
 -------- 12:00 0.08 0.01 0.48 0.27 0.06 0.13 ----
 14.04.13 13:00 0.08 0.01 0.55 0.27 0.05 0.12 ----
 -------- 14:00 0.08 0.01 0.60 0.27 0.04 0.12 ----
 -------- 15:00 0.07 0.01 0.67 0.27 0.03 0.11 ----
 -------- 16:00 0.06 0.01 0.70 0.27 0.03 0.10 ----
 -------- 17:00 0.06 0.01 0.69 0.27 0.03 0.09 ----
 14.04.13 18:00 0.06 0.01 0.70 0.27 0.03 0.09 ----
 -------- 19:00 0.06 0.01 0.64 0.27 0.03 0.09 ----
 -------- 20:00 0.09 0.01 0.48 0.30 0.04 0.11 ----
 -------- 21:00 0.11 0.01 0.36 0.31 0.05 0.12 ----
 -------- 22:00 0.12 0.01 0.31 0.33 0.06 0.12 ----
 14.04.13 23:00 0.09 0.01 0.35 0.32 0.06 0.09 ----
 -------- 00:00 0.12 0.01 0.15 0.38 0.07 0.11 ----
 -------- 01:00 0.12 0.01 0.21 0.34 0.08 0.10 ----
 -------- 02:00 0.07 0.01 0.37 0.29 0.06 0.07 ----
 -------- 03:00 0.06 0.01 0.51 0.24 0.04 0.07 ----
 15.04.13 04:00 0.05 0.01 0.49 0.22 0.04 0.06 ----
 -------- 05:00 0.04 0.01 0.45 0.21 0.04 0.06 ----
 -------- 06:00 0.05 0.01 0.38 0.20 0.05 0.07 ----
 -------- 07:00 0.06 0.00 0.26 0.23 0.06 0.07 ----
 -------- 08:00 0.09 0.01 0.09 0.31 0.13 0.12 ----
 15.04.13 09:00 0.11 0.01 0.19 0.33 0.13 0.17 ----
 -------- 10:00 0.11 0.01 0.27 0.35 0.13 0.18 ----
 -------- 11:00 0.11 0.01 0.29 0.36 0.13 0.20 ----
