 Date Time CO SO2 OZ NO2 NO PM10
 09.12.12 12:00 ---- 0.00 0.09 0.23 0.05 0.04
 -------- 13:00 ---- 0.00 0.11 0.19 0.04 0.04
 -------- 14:00 0.02 0.00 0.15 0.18 0.02 0.04
 -------- 15:00 ---- 0.00 0.18 0.18 0.02 0.03
 -------- 16:00 0.02 0.00 0.15 0.23 0.03 0.05
 09.12.12 17:00 0.02 0.00 0.11 0.24 0.02 0.05
 -------- 18:00 0.02 ---- 0.08 0.27 0.02 0.05
 -------- 19:00 0.03 0.00 0.06 0.28 0.03 0.05
 -------- 20:00 0.04 0.00 0.01 0.33 0.07 0.06
 -------- 21:00 0.06 0.00 0.01 0.34 0.08 0.07
 09.12.12 22:00 0.06 0.00 0.01 0.33 0.09 0.07
 -------- 23:00 0.06 0.00 0.02 0.32 0.12 0.06
 -------- 00:00 0.04 0.01 ---- 0.34 0.25 0.06
 -------- 01:00 0.05 0.01 0.01 0.33 0.26 0.07
 -------- 02:00 0.07 0.01 0.01 0.33 0.23 0.08
 10.12.12 03:00 0.08 0.01 0.01 0.35 0.30 0.09
 -------- 04:00 0.07 0.01 0.01 0.36 0.28 0.08
 -------- 05:00 0.05 0.01 0.01 0.36 0.21 0.08
 -------- 06:00 0.02 0.01 0.01 0.34 0.10 0.06
 -------- 07:00 0.02 0.02 0.01 0.35 0.13 0.07
 10.12.12 08:00 0.02 0.01 ---- 0.28 0.06 0.08
 -------- 09:00 ---- 0.00 0.01 0.25 0.04 0.08
 -------- 10:00 0.03 0.00 0.01 0.26 0.11 0.07
 -------- 11:00 0.04 0.01 0.02 0.26 0.17 0.11
 -------- 12:00 0.05 0.01 0.01 0.25 0.19 0.08
 10.12.12 13:00 0.05 0.01 0.01 0.24 0.17 0.08
 -------- 14:00 0.06 0.01 0.02 0.25 0.19 0.08
 -------- 15:00 0.07 0.01 0.01 0.26 0.19 0.08
 -------- 16:00 0.08 0.01 0.01 0.28 0.23 0.08
 -------- 17:00 0.07 0.01 0.01 0.28 0.19 0.07
 10.12.12 18:00 0.05 0.01 0.01 0.26 0.12 0.06
 -------- 19:00 0.04 0.01 ---- 0.23 0.08 0.05
 -------- 20:00 0.02 0.00 0.01 0.21 0.02 0.04
 -------- 21:00 0.02 0.00 0.07 0.21 0.01 0.03
 -------- 22:00 ---- 0.00 0.26 0.14 0.00 0.02
 10.12.12 23:00 ---- 0.00 0.32 0.13 ---- 0.02
 -------- 00:00 ---- 0.00 0.35 0.12 ---- 0.02
 -------- 01:00 ---- 0.00 0.34 0.11 ---- 0.02
 -------- 02:00 ---- 0.00 0.38 0.09 ---- 0.03
 -------- 03:00 ---- 0.00 0.38 0.09 ---- 0.03
 11.12.12 04:00 ---- 0.00 0.41 0.09 ---- 0.03
 -------- 05:00 ---- 0.00 0.46 0.08 ---- 0.03
 -------- 06:00 0.02 0.00 0.44 0.09 ---- 0.03
 -------- 07:00 0.02 0.00 0.39 0.13 0.00 0.03
 -------- 08:00 0.02 0.00 0.38 0.14 ---- 0.03
 11.12.12 09:00 0.02 0.00 0.40 0.16 0.00 0.03
 -------- 10:00 0.02 0.00 0.37 0.16 0.00 0.03
 -------- 11:00 0.02 0.00 0.31 0.21 0.01 0.04
