 Date Time CO SO2 OZ NO2 NO PM10
 06.02.13 00:00 0.02 0.00 0.18 0.20 0.00 0.04
 -------- 01:00 0.02 0.00 0.14 0.26 0.01 0.05
 -------- 02:00 0.02 0.00 0.18 0.20 0.01 0.04
 -------- 03:00 0.02 ---- 0.23 0.17 0.01 0.04
 -------- 04:00 0.02 ---- 0.24 0.17 ---- 0.04
 06.02.13 05:00 ---- ---- 0.29 0.12 0.00 0.04
 -------- 06:00 ---- ---- 0.29 0.12 0.00 0.04
 -------- 07:00 0.02 ---- 0.25 0.20 0.00 0.04
 -------- 08:00 0.03 ---- 0.20 0.23 0.00 0.05
 -------- 09:00 0.03 ---- 0.21 0.21 0.00 0.04
 06.02.13 10:00 0.02 ---- 0.24 0.20 0.01 0.04
 -------- 11:00 0.02 ---- 0.24 0.20 0.01 0.04
 -------- 12:00 0.02 ---- 0.23 0.20 0.02 0.05
 -------- 13:00 0.02 ---- 0.25 0.20 0.02 0.05
 -------- 14:00 0.02 ---- 0.25 0.22 0.01 0.06
 06.02.13 15:00 0.03 ---- 0.21 0.29 0.02 0.05
 -------- 16:00 0.04 ---- 0.25 0.24 0.01 0.04
 -------- 17:00 0.04 ---- 0.23 0.25 0.01 0.04
 -------- 18:00 0.04 ---- 0.20 0.25 0.01 0.05
 -------- 19:00 0.04 ---- 0.20 0.23 0.01 0.05
 06.02.13 20:00 0.04 ---- 0.18 0.22 0.01 0.05
 -------- 21:00 0.03 0.00 0.18 0.20 0.00 0.05
 -------- 22:00 0.02 0.00 0.21 0.18 0.00 0.04
 -------- 23:00 0.02 0.00 0.21 0.19 0.00 0.05
 -------- 00:00 0.02 0.01 0.17 0.22 0.00 0.06
 07.02.13 01:00 0.02 0.00 0.19 0.20 0.00 0.07
 -------- 02:00 0.02 0.00 0.27 0.14 0.00 0.05
 -------- 03:00 0.02 0.00 0.29 0.12 0.00 0.05
 -------- 04:00 0.02 0.00 0.26 0.14 0.00 0.04
 -------- 05:00 0.02 0.00 0.29 0.11 ---- 0.04
 07.02.13 06:00 0.02 0.00 0.26 0.12 ---- 0.05
 -------- 07:00 0.03 0.00 0.20 0.15 0.00 0.06
 -------- 08:00 0.04 0.00 0.18 0.18 0.00 0.06
 -------- 09:00 0.04 0.00 0.16 0.20 0.01 0.06
 -------- 10:00 0.04 0.00 0.15 0.20 0.01 0.06
 07.02.13 11:00 0.04 0.00 0.16 0.20 0.01 0.09
 -------- 12:00 0.04 0.00 0.15 0.22 0.03 0.09
 -------- 13:00 0.04 0.00 0.20 0.17 0.01 0.05
 -------- 14:00 0.04 0.00 0.19 0.21 0.02 0.06
 -------- 15:00 0.04 0.00 0.16 0.24 0.02 0.06
 07.02.13 16:00 0.04 0.00 0.16 0.24 0.01 0.07
 -------- 17:00 0.03 0.00 0.14 0.24 0.01 0.08
 -------- 18:00 0.02 0.00 0.12 0.27 0.01 0.08
 -------- 19:00 0.02 0.00 0.20 0.18 0.00 0.06
 -------- 20:00 0.03 0.00 0.17 0.21 0.00 0.09
 07.02.13 21:00 0.03 0.00 0.17 0.18 0.00 0.08
 -------- 22:00 0.04 0.00 0.16 0.21 0.01 0.07
 -------- 23:00 0.02 0.00 0.15 0.19 0.00 0.07
