 Date Time CO SO2 OZ NO2 NO PM10
 15.10.12 00:00 ---- ---- 0.26 0.15 ---- 0.05
 -------- 01:00 ---- ---- 0.31 0.12 0.00 0.04
 -------- 02:00 ---- ---- 0.30 0.14 0.00 0.04
 -------- 03:00 0.02 ---- 0.24 0.16 ---- 0.05
 -------- 04:00 0.02 ---- 0.28 0.14 ---- 0.04
 15.10.12 05:00 0.02 ---- 0.22 0.17 0.00 0.04
 -------- 06:00 0.02 ---- 0.07 0.25 0.01 0.04
 -------- 07:00 0.03 0.00 0.02 0.31 0.04 0.06
 -------- 08:00 0.06 0.00 0.01 0.31 0.08 0.06
 -------- 09:00 0.10 0.00 0.02 0.32 0.18 0.07
 15.10.12 10:00 0.12 0.01 0.03 0.36 0.20 0.09
 -------- 11:00 0.10 0.01 0.07 0.34 0.10 0.10
 -------- 12:00 0.07 0.00 0.13 0.31 0.07 0.07
 -------- 13:00 0.03 0.00 0.14 0.33 0.08 0.07
 -------- 14:00 ---- 0.00 0.30 0.20 0.03 0.05
 15.10.12 15:00 ---- 0.00 0.25 0.25 0.02 0.06
 -------- 16:00 ---- 0.00 0.29 0.21 0.01 0.05
 -------- 17:00 ---- ---- 0.48 0.14 0.00 0.04
 -------- 18:00 ---- ---- 0.49 0.17 0.00 0.04
 -------- 19:00 ---- ---- 0.38 0.24 0.00 0.05
 15.10.12 20:00 ---- ---- 0.23 0.29 0.00 0.06
 -------- 21:00 ---- ---- 0.20 0.28 0.00 0.05
 -------- 22:00 ---- 0.00 0.20 0.23 0.00 0.04
 -------- 23:00 0.02 0.00 0.20 0.24 0.00 0.05
 -------- 00:00 0.02 0.00 0.34 0.14 0.00 0.06
 16.10.12 01:00 0.02 ---- 0.35 0.13 ---- 0.05
 -------- 02:00 ---- ---- 0.35 0.11 0.00 0.04
 -------- 03:00 ---- ---- 0.31 0.10 0.00 0.05
 -------- 04:00 ---- ---- 0.29 0.10 0.00 0.03
 -------- 05:00 ---- ---- 0.26 0.10 ---- 0.03
 16.10.12 06:00 ---- ---- 0.24 0.12 ---- 0.04
 -------- 07:00 0.02 ---- 0.16 0.17 0.00 0.04
 -------- 08:00 0.03 0.00 0.06 0.24 0.02 0.06
 -------- 09:00 0.04 0.00 0.03 0.26 0.03 0.07
 -------- 10:00 0.04 0.00 0.04 0.26 0.03 0.07
 16.10.12 11:00 0.04 0.00 0.06 0.26 0.05 0.07
 -------- 12:00 0.04 0.00 0.06 0.26 0.05 0.08
 -------- 13:00 0.04 0.00 0.06 0.26 0.07 0.09
 -------- 14:00 0.04 0.00 0.05 0.25 0.06 0.10
 -------- 15:00 0.04 0.00 0.05 0.26 0.07 0.09
 16.10.12 16:00 0.04 0.00 0.05 0.25 0.05 0.09
 -------- 17:00 0.04 0.00 0.03 0.27 0.07 0.10
 -------- 18:00 0.04 0.00 0.03 0.26 0.04 0.08
 -------- 19:00 0.03 0.00 0.01 0.27 0.08 0.11
 -------- 20:00 0.02 0.00 0.01 0.27 0.06 0.10
 16.10.12 21:00 0.02 0.00 0.01 0.25 0.06 0.08
 -------- 22:00 0.03 0.00 0.01 0.24 0.11 0.11
 -------- 23:00 0.03 0.00 0.01 0.22 0.07 0.10
