 Date Time CO SO2 OZ NO2 NO PM10
 27.03.13 00:00 0.08 0.00 0.17 0.29 0.01 0.03
 -------- 01:00 0.08 0.00 0.10 0.38 0.04 0.04
 -------- 02:00 0.08 0.00 0.04 0.42 0.09 0.04
 -------- 03:00 0.07 0.00 0.04 0.40 0.08 0.05
 -------- 04:00 0.06 0.00 0.02 0.41 0.10 0.06
 27.03.13 05:00 0.06 0.00 0.05 0.37 0.03 0.04
 -------- 06:00 0.06 0.00 0.05 0.39 0.10 0.05
 -------- 07:00 0.11 0.00 0.02 0.48 0.42 0.07
 -------- 08:00 0.13 0.00 0.03 0.43 0.30 0.07
 -------- 09:00 0.13 0.00 0.08 0.36 0.20 0.06
 27.03.13 10:00 0.10 0.00 0.14 0.29 0.13 0.05
 -------- 11:00 0.09 0.00 0.18 0.26 0.10 0.06
 -------- 12:00 0.07 0.00 0.29 0.17 0.05 0.04
 -------- 13:00 0.06 0.00 0.36 0.12 0.02 0.03
 -------- 14:00 0.06 0.00 0.38 0.11 0.03 0.03
 27.03.13 15:00 0.06 0.00 0.38 0.13 0.03 0.03
 -------- 16:00 0.06 0.00 0.42 0.12 0.02 0.03
 -------- 17:00 0.06 0.00 0.45 0.12 0.02 0.05
 -------- 18:00 0.06 0.00 0.46 0.12 0.01 0.03
 -------- 19:00 0.07 0.00 0.43 0.16 0.01 0.04
 27.03.13 20:00 0.06 0.00 0.35 0.23 0.02 0.04
 -------- 21:00 0.08 0.00 0.22 0.31 0.02 0.05
 -------- 22:00 0.08 0.00 0.14 0.40 0.07 0.06
 -------- 23:00 0.10 0.00 0.04 0.46 0.08 0.07
 -------- 00:00 0.09 0.00 0.03 0.46 0.08 0.06
 28.03.13 01:00 0.10 0.00 0.01 0.46 0.11 0.06
 -------- 02:00 0.08 0.00 0.02 0.44 0.06 0.06
 -------- 03:00 0.08 0.00 0.04 0.43 0.05 0.05
 -------- 04:00 0.07 0.00 0.03 0.42 0.06 0.06
 -------- 05:00 0.06 0.00 0.05 0.37 0.03 0.05
 28.03.13 06:00 0.06 0.00 0.02 0.41 0.13 0.05
 -------- 07:00 0.08 0.00 0.01 0.41 0.26 0.06
 -------- 08:00 0.12 0.00 0.03 0.42 0.27 0.06
 -------- 09:00 0.10 0.00 0.09 0.35 0.17 0.06
 -------- 10:00 0.09 0.00 0.15 0.29 0.13 0.07
 28.03.13 11:00 0.08 0.00 0.18 0.26 0.10 0.06
 -------- 12:00 0.05 0.00 0.30 0.17 0.04 0.04
 -------- 13:00 0.04 0.00 0.35 0.13 0.03 0.03
 -------- 14:00 0.04 0.00 0.38 0.13 0.03 0.03
 -------- 15:00 0.04 0.00 0.41 0.13 0.02 0.03
 28.03.13 16:00 0.04 0.00 0.43 0.14 0.02 0.03
 -------- 17:00 0.04 0.00 0.43 0.14 0.02 0.03
 -------- 18:00 0.05 0.00 0.42 0.17 0.02 0.03
 -------- 19:00 0.05 0.00 0.38 0.22 0.02 0.03
 -------- 20:00 0.07 0.00 0.22 0.35 0.04 0.04
 28.03.13 21:00 0.09 0.00 0.04 0.45 0.08 0.05
 -------- 22:00 0.09 0.00 0.06 0.43 0.06 0.05
 -------- 23:00 0.09 0.00 0.05 0.44 0.07 0.05
