 Date Time CO SO2 OZ NO2 NO PM10
 08.01.13 00:00 0.02 ---- 0.14 0.15 0.01 0.02
 -------- 01:00 0.02 ---- 0.16 0.17 0.01 0.02
 -------- 02:00 0.02 ---- 0.14 0.16 0.00 0.02
 -------- 03:00 0.02 ---- 0.17 0.14 ---- 0.02
 -------- 04:00 0.02 ---- 0.15 0.14 0.00 0.03
 08.01.13 05:00 0.02 ---- 0.16 0.13 0.00 0.02
 -------- 06:00 0.02 ---- 0.15 0.14 0.01 0.02
 -------- 07:00 0.02 ---- 0.09 0.18 0.01 ----
 -------- 08:00 0.02 ---- 0.03 0.23 0.02 ----
 -------- 09:00 0.03 0.00 0.01 0.25 0.04 ----
 08.01.13 10:00 0.04 0.00 0.02 0.24 0.05 ----
 -------- 11:00 0.04 0.00 0.04 0.22 0.07 ----
 -------- 12:00 0.04 0.00 0.04 0.23 0.09 ----
 -------- 13:00 0.05 0.00 0.05 0.23 0.09 ----
 -------- 14:00 0.04 0.00 0.04 0.26 0.11 ----
 08.01.13 15:00 0.02 0.00 0.03 0.26 0.09 ----
 -------- 16:00 0.03 0.00 0.03 0.26 0.06 ----
 -------- 17:00 0.02 ---- 0.04 0.26 0.03 ----
 -------- 18:00 0.02 ---- 0.05 0.23 0.02 ----
 -------- 19:00 ---- ---- 0.06 0.24 0.01 ----
 08.01.13 20:00 ---- ---- 0.03 0.27 0.02 ----
 -------- 21:00 ---- 0.00 0.05 0.28 0.02 ----
 -------- 22:00 0.02 0.00 0.05 0.27 0.02 ----
 -------- 23:00 ---- 0.00 0.03 0.28 0.01 ----
 -------- 00:00 0.02 0.00 0.04 0.26 0.01 ----
 09.01.13 01:00 ---- 0.00 0.14 0.18 0.00 ----
 -------- 02:00 ---- ---- 0.10 0.23 0.01 ----
 -------- 03:00 ---- 0.00 0.05 0.28 0.03 ----
 -------- 04:00 ---- ---- 0.10 0.21 ---- ----
 -------- 05:00 ---- ---- 0.12 0.20 0.01 ----
 09.01.13 06:00 ---- ---- 0.11 0.21 0.01 ----
 -------- 07:00 ---- ---- 0.10 0.22 0.01 ----
 -------- 08:00 0.02 0.00 0.07 0.26 0.03 ----
 -------- 09:00 0.02 0.00 0.08 0.26 0.02 ----
 -------- 10:00 0.02 0.00 0.08 0.29 0.05 ----
 09.01.13 11:00 0.02 0.00 0.07 0.28 0.05 ----
 -------- 12:00 0.03 0.00 0.08 0.25 0.05 ----
 -------- 13:00 0.03 0.00 0.07 0.28 0.08 ----
 -------- 14:00 0.04 0.00 0.06 0.29 0.10 0.03
 -------- 15:00 0.04 0.00 0.06 0.27 0.07 0.26
 09.01.13 16:00 0.03 0.00 0.11 0.25 0.05 0.10
 -------- 17:00 0.03 0.00 0.08 0.31 0.07 0.08
 -------- 18:00 0.04 0.00 0.01 0.37 0.12 0.09
 -------- 19:00 0.04 0.00 0.04 0.33 0.08 0.06
 -------- 20:00 0.03 0.00 0.07 0.31 0.07 0.06
 09.01.13 21:00 ---- 0.00 0.10 0.28 0.04 0.06
 -------- 22:00 ---- 0.00 0.10 0.29 0.04 0.04
 -------- 23:00 ---- 0.00 0.21 0.23 0.02 0.03
