 Date Time CO SO2 OZ NO2 NO PM10
 14.01.13 00:00 0.02 0.00 0.15 0.20 0.02 0.04
 -------- 01:00 ---- 0.00 0.18 0.19 0.02 0.04
 -------- 02:00 ---- 0.00 0.19 0.19 0.03 0.04
 -------- 03:00 ---- 0.00 0.20 0.17 0.03 0.03
 -------- 04:00 ---- 0.00 0.20 0.17 0.03 0.03
 14.01.13 05:00 ---- 0.00 0.18 0.18 0.03 0.03
 -------- 06:00 ---- 0.00 0.15 0.20 0.03 0.03
 -------- 07:00 0.02 0.00 0.08 0.27 0.06 0.04
 -------- 08:00 0.04 0.00 0.04 0.32 0.09 0.04
 -------- 09:00 0.04 0.00 0.03 0.34 0.12 0.05
 14.01.13 10:00 0.03 0.00 0.04 0.33 0.11 0.05
 -------- 11:00 0.04 0.01 0.04 0.35 0.15 0.06
 -------- 12:00 0.03 0.01 0.07 0.33 0.11 0.06
 -------- 13:00 0.02 0.00 0.12 0.31 0.09 0.04
 -------- 14:00 0.02 0.00 0.09 0.34 0.11 0.05
 14.01.13 15:00 0.02 0.01 0.08 0.36 0.11 0.05
 -------- 16:00 0.02 0.00 0.11 0.34 0.07 0.05
 -------- 17:00 0.02 0.00 0.16 0.32 0.06 0.04
 -------- 18:00 0.02 0.00 0.15 0.32 0.05 0.04
 -------- 19:00 0.02 0.00 0.17 0.28 0.04 0.03
 14.01.13 20:00 0.02 0.00 0.31 0.22 0.02 0.02
 -------- 21:00 0.02 0.00 0.32 0.23 0.02 0.02
 -------- 22:00 0.02 0.00 0.29 0.23 0.02 0.02
 -------- 23:00 0.02 0.00 0.28 0.23 0.02 0.02
 -------- 00:00 0.02 0.00 0.28 0.23 0.02 0.02
 15.01.13 01:00 ---- 0.00 0.29 0.22 0.02 0.02
 -------- 02:00 ---- ---- 0.33 0.18 0.02 0.02
 -------- 03:00 ---- ---- 0.34 0.17 0.02 0.02
 -------- 04:00 ---- ---- 0.45 0.12 0.01 0.02
 -------- 05:00 ---- ---- 0.45 0.11 0.01 0.02
 15.01.13 06:00 0.02 ---- 0.39 0.15 0.01 0.02
 -------- 07:00 0.02 ---- 0.24 0.28 0.04 0.02
 -------- 08:00 0.03 ---- 0.19 0.29 0.04 0.03
 -------- 09:00 0.04 0.00 0.18 0.32 0.05 0.03
 -------- 10:00 0.04 0.00 0.16 0.34 0.06 0.04
 15.01.13 11:00 0.04 0.00 0.11 0.36 0.07 0.04
 -------- 12:00 0.04 0.00 0.16 0.32 0.06 0.04
 -------- 13:00 0.04 0.00 0.17 0.30 0.06 0.04
 -------- 14:00 0.04 0.00 0.17 0.32 0.06 0.04
 -------- 15:00 0.04 0.00 0.12 0.38 0.09 0.05
 15.01.13 16:00 0.04 0.00 0.08 0.40 0.11 0.06
 -------- 17:00 0.03 0.00 0.07 0.40 0.08 0.05
 -------- 18:00 0.04 0.00 0.02 0.42 0.07 0.05
 -------- 19:00 0.03 0.00 0.06 0.38 0.06 0.05
 -------- 20:00 0.03 0.00 0.09 0.36 0.05 0.05
 15.01.13 21:00 0.04 0.00 0.05 0.40 0.06 0.04
 -------- 22:00 0.03 0.00 0.07 0.37 0.04 0.04
 -------- 23:00 0.02 ---- 0.20 0.29 0.02 0.03
