 Date Time CO SO2 OZ NO2 NO PM10
 24.01.13 00:00 0.05 0.00 ---- 0.52 0.35 0.04
 -------- 01:00 0.04 0.00 ---- 0.54 0.31 0.04
 -------- 02:00 0.04 0.00 0.01 0.54 0.33 0.04
 -------- 03:00 0.04 0.00 0.01 0.53 0.38 0.05
 -------- 04:00 0.05 0.00 ---- 0.52 0.39 0.05
 24.01.13 05:00 0.05 0.00 ---- 0.54 0.46 0.07
 -------- 06:00 0.04 0.00 ---- 0.52 0.29 0.04
 -------- 07:00 0.04 0.00 0.01 0.55 0.31 0.04
 -------- 08:00 0.05 0.00 0.01 0.53 0.36 0.05
 -------- 09:00 0.07 0.00 ---- 0.53 0.37 0.05
 24.01.13 10:00 0.07 0.00 ---- 0.59 0.44 0.06
 -------- 11:00 0.03 0.00 ---- 0.50 0.26 0.05
 -------- 12:00 0.03 0.00 ---- 0.48 0.30 0.06
 -------- 13:00 0.03 0.00 ---- 0.47 0.28 0.06
 -------- 14:00 ---- 0.00 ---- 0.44 0.16 0.04
 24.01.13 15:00 ---- 0.00 ---- 0.39 0.09 0.03
 -------- 16:00 ---- 0.00 ---- 0.36 0.07 0.02
 -------- 17:00 ---- 0.00 ---- 0.30 0.03 0.02
 -------- 18:00 ---- 0.00 ---- 0.26 0.02 0.01
 -------- 19:00 ---- 0.00 ---- 0.23 0.01 0.01
 24.01.13 20:00 0.02 0.00 ---- 0.27 0.02 0.01
 -------- 21:00 0.02 0.00 ---- 0.37 0.04 0.02
 -------- 22:00 0.02 0.00 ---- 0.33 0.03 0.02
 -------- 23:00 0.02 0.00 ---- 0.31 0.02 0.02
 -------- 00:00 0.02 0.00 ---- 0.24 0.02 0.02
 25.01.13 01:00 ---- 0.00 ---- 0.28 0.01 0.01
 -------- 02:00 ---- 0.00 ---- 0.30 0.01 0.02
 -------- 03:00 ---- 0.00 ---- 0.29 0.00 0.02
 -------- 04:00 ---- 0.00 ---- 0.30 0.01 0.02
 -------- 05:00 ---- 0.00 ---- 0.29 0.02 0.02
 25.01.13 06:00 0.02 0.00 ---- 0.20 0.01 0.02
 -------- 07:00 0.02 0.00 ---- 0.27 0.02 0.02
 -------- 08:00 0.03 0.00 ---- 0.34 0.03 0.02
 -------- 09:00 0.05 0.00 ---- 0.40 0.06 0.03
 -------- 10:00 0.05 0.00 ---- 0.38 0.07 0.02
 25.01.13 11:00 0.03 0.00 ---- 0.27 0.03 0.02
 -------- 12:00 0.03 0.00 ---- 0.25 0.04 0.02
 -------- 13:00 0.04 0.00 ---- 0.28 0.07 0.02
 -------- 14:00 0.04 0.00 ---- 0.28 0.07 0.03
 -------- 15:00 0.05 0.00 ---- 0.34 0.09 0.04
 25.01.13 16:00 0.04 0.00 ---- 0.32 0.07 0.03
 -------- 17:00 0.02 ---- 0.08 0.37 0.06 0.04
 -------- 18:00 0.02 ---- 0.05 0.42 0.06 0.04
 -------- 19:00 0.02 ---- 0.04 0.43 0.07 0.04
 -------- 20:00 0.02 ---- 0.06 0.39 0.05 0.04
 25.01.13 21:00 ---- ---- 0.07 0.36 0.04 0.03
 -------- 22:00 ---- ---- 0.08 0.34 0.03 0.03
 -------- 23:00 ---- ---- 0.04 0.40 0.06 0.03
